[ASV | EN | OT | Proverbs | Chapter 29 | Verse 1] He that being often reproved hardeneth his neck Shall suddenly be destroyed, and that without remedy.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 2] When the righteous are increased, the people rejoice; But when a wicked man beareth rule, the people sigh.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 3] Whoso loveth wisdom rejoiceth his father; But he that keepeth company with harlots wasteth his substance.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 4] The king by justice establisheth the land; But he that exacteth gifts overthroweth it.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 5] A man that flattereth his neighbor Spreadeth a net for his steps.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 6] In the transgression of an evil man there is a snare; But the righteous doth sing and rejoice.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous taketh knowledge of the cause of the poor; The wicked hath not understanding to know it.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 8] Scoffers set a city in a flame; But wise men turn away wrath.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man hath a controversy with a foolish man, Whether he be angry or laugh, there will be no rest.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 10] The bloodthirsty hate him that is perfect; And as for the upright, they seek his life.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool uttereth all his anger; But a wise man keepeth it back and stilleth it.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 12] If a ruler hearkeneth to falsehood, All his servants are wicked.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor man and the oppressor meet together; Jehovah lighteneth the eyes of them both.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 14] The king that faithfully judgeth the poor, His throne shall be established forever.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 15] The rod and reproof give wisdom; But a child left to himself causeth shame to his mother.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked are increased, transgression increaseth; But the righteous shall look upon their fall.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 17] Correct thy son, and he will give thee rest; Yea, he will give delight unto thy soul.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 18] Where there is no vision, the people cast off restraint; But he that keepeth the law, happy is he.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 19] A servant will not be corrected by words; For though he understand, he will not give heed.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 20] Seest thou a man that is hasty in his words? There is more hope of a fool than of him.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 21] He that delicately bringeth up his servant from a child Shall have him become a son at the last.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 22] An angry man stirreth up strife, And a wrathful man aboundeth in transgression.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 23] A man’s pride shall bring him low; But he that is of a lowly spirit shall obtain honor.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 24] Whoso is partner with a thief hateth his own soul; He heareth the adjuration and uttereth nothing.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 25] The fear of man bringeth a snare; But whoso putteth his trust in Jehovah shall be safe.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 26] Many seek the ruler’s favor; But a man’s judgment cometh from Jehovah.
[ASV | EN | OT | Proverbs | Chapter 29 | Verse 27] An unjust man is an abomination to the righteous; And he that is upright in the way is an abomination to the wicked.
