[ASV | EN | OT | Proverbs | Chapter 22 | Verse 1] A good name is rather to be chosen than great riches, And loving favor rather than silver and gold.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 2] The rich and the poor meet together: Jehovah is the maker of them all.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 3] A prudent man seeth the evil, and hideth himself; But the simple pass on, and suffer for it.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 4] The reward of humility and the fear of Jehovah Is riches, and honor, and life.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 5] Thorns and snares are in the way of the perverse: He that keepeth his soul shall be far from them.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 6] Train up a child in the way he should go, And even when he is old he will not depart from it.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 7] The rich ruleth over the poor; And the borrower is servant to the lender.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 8] He that soweth iniquity shall reap calamity; And the rod of his wrath shall fail.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 9] He that hath a bountiful eye shall be blessed; For he giveth of his bread to the poor.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 10] Cast out the scoffer, and contention will go out; Yea, strife and ignominy will cease.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 11] He that loveth pureness of heart, For the grace of his lips the king will be his friend.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 12] The eyes of Jehovah preserve him that hath knowledge; But he overthroweth the words of the treacherous man.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 13] The sluggard saith, There is a lion without; I shall be slain in the streets.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 14] The mouth of strange women is a deep pit; He that is abhorred of Jehovah shall fall therein.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 15] Foolishness is bound up in the heart of a child; But the rod of correction shall drive it far from him.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 16] He that oppresseth the poor to increase his gain, And he that giveth to the rich, shall come only to want.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 17] Incline thine ear, and hear the words of the wise, And apply thy heart unto my knowledge.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 18] For it is a pleasant thing if thou keep them within thee, If they be established together upon thy lips.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 19] That thy trust may be in Jehovah, I have made them known to thee this day, even to thee.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 20] Have not I written unto thee excellent things Of counsels and knowledge,
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 21] To make thee know the certainty of the words of truth, That thou mayest carry back words of truth to them that send thee?
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 22] Rob not the poor, because he is poor; Neither oppress the afflicted in the gate:
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 23] For Jehovah will plead their cause, And despoil of life those that despoil them.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 24] Make no friendship with a man that is given to anger; And with a wrathful man thou shalt not go:
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 25] Lest thou learn his ways, And get a snare to thy soul.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 26] Be thou not one of them that strike hands, Or of them that are sureties for debts.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 27] If thou hast not wherewith to pay, Why should he take away thy bed from under thee?
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 28] Remove not the ancient landmark, Which thy fathers have set.
[ASV | EN | OT | Proverbs | Chapter 22 | Verse 29] Seest thou a man diligent in his business? he shall stand before kings; He shall not stand before mean men.
