[ASV | EN | OT | Proverbs | Chapter 8 | Verse 1] Doth not wisdom cry, And understanding put forth her voice?
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 2] On the top of high places by the way, Where the paths meet, she standeth;
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 3] Beside the gates, at the entry of the city, At the coming in at the doors, she crieth aloud:
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 4] Unto you, O men, I call; And my voice is to the sons of men.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 5] O ye simple, understand prudence; And, ye fools, be of an understanding heart.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 6] Hear, for I will speak excellent things; And the opening of my lips shall be right things.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 7] For my mouth shall utter truth; And wickedness is an abomination to my lips.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 8] All the words of my mouth are in righteousness; There is nothing crooked or perverse in them.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 9] They are all plain to him that understandeth, And right to them that find knowledge.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 10] Receive my instruction, and not silver; And knowledge rather than choice gold.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 11] For wisdom is better than rubies; And all the things that may be desired are not to be compared unto it.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 12] I wisdom have made prudence my dwelling, And find out knowledge and discretion.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 13] The fear of Jehovah is to hate evil: Pride, and arrogancy, and the evil way, And the perverse mouth, do I hate.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 14] Counsel is mine, and sound knowledge: I am understanding; I have might.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 15] By me kings reign, And princes decree justice.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 16] By me princes rule, And nobles, even all the judges of the earth.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 17] I love them that love me; And those that seek me diligently shall find me.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 18] Riches and honor are with me; Yea, durable wealth and righteousness.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 19] My fruit is better than gold, yea, than fine gold; And my revenue than choice silver.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 20] I walk in the way of righteousness, In the midst of the paths of justice;
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 21] That I may cause those that love me to inherit substance, And that I may fill their treasuries.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 22] Jehovah possessed me in the beginning of his way, Before his works of old.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 23] I was set up from everlasting, from the beginning, Before the earth was.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 24] When there were no depths, I was brought forth, When there were no fountains abounding with water.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 25] Before the mountains were settled, Before the hills was I brought forth;
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 26] While as yet he had not made the earth, nor the fields, Nor the beginning of the dust of the world.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 27] When he established the heavens, I was there: When he set a circle upon the face of the deep,
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 28] When he made firm the skies above, When the fountains of the deep became strong,
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 29] When he gave to the sea its bound, That the waters should not transgress his commandment, When he marked out the foundations of the earth;
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 30] Then I was by him, as a master workman; And I was daily his delight, Rejoicing always before him,
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 31] Rejoicing in his habitable earth; And my delight was with the sons of men.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 32] Now therefore, my sons, hearken unto me; For blessed are they that keep my ways.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 33] Hear instruction, and be wise, And refuse it not.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 34] Blessed is the man that heareth me, Watching daily at my gates, Waiting at the posts of my doors.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 35] For whoso findeth me findeth life, And shall obtain favor of Jehovah.
[ASV | EN | OT | Proverbs | Chapter 8 | Verse 36] But he that sinneth against me wrongeth his own soul: All they that hate me love death.
