[ASV | EN | OT | Proverbs | Chapter 15 | Verse 1] A soft answer turneth away wrath; But a grievous word stirreth up anger.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 2] The tongue of the wise uttereth knowledge aright; But the mouth of fools poureth out folly.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 3] The eyes of Jehovah are in every place, Keeping watch upon the evil and the good.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 4] A gentle tongue is a tree of life; But perverseness therein is a breaking of the spirit.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 5] A fool despiseth his father’s correction; But he that regardeth reproof getteth prudence.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 6] In the house of the righteous is much treasure; But in the revenues of the wicked is trouble.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 7] The lips of the wise disperse knowledge; But the heart of the foolish doeth not so.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 8] The sacrifice of the wicked is an abomination to Jehovah; But the prayer of the upright is his delight.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 9] The way of the wicked is an abomination to Jehovah; But he loveth him that followeth after righteousness.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 10] There is grievous correction for him that forsaketh the way; And he that hateth reproof shall die.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 11] Sheol and Abaddon are before Jehovah; How much more then the hearts of the children of men!
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 12] A scoffer loveth not to be reproved; He will not go unto the wise.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 13] A glad heart maketh a cheerful countenance; But by sorrow of heart the spirit is broken.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 14] The heart of him that hath understanding seeketh knowledge; But the mouth of fools feedeth on folly.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 15] All the days of the afflicted are evil; But he that is of a cheerful heart hath a continual feast.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 16] Better is little, with the fear of Jehovah, Than great treasure and trouble therewith.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 17] Better is a dinner of herbs, where love is, Than a stalled ox and hatred therewith.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 18] A wrathful man stirreth up contention; But he that is slow to anger appeaseth strife.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 19] The way of the sluggard is as a hedge of thorns; But the path of the upright is made a highway.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 20] A wise son maketh a glad father; But a foolish man despiseth his mother.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 21] Folly is joy to him that is void of wisdom; But a man of understanding maketh straight his going.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 22] Where there is no counsel, purposes are disappointed; But in the multitude of counselors they are established.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 23] A man hath joy in the answer of his mouth; And a word in due season, how good is it!
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 24] To the wise the way of life goeth upward, That he may depart from Sheol beneath.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 25] Jehovah will root up the house of the proud; But he will establish the border of the widow.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 26] Evil devices are an abomination to Jehovah; But pleasant words are pure.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 27] He that is greedy of gain troubleth his own house; But he that hateth bribes shall live.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 28] The heart of the righteous studieth to answer; But the mouth of the wicked poureth out evil things.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 29] Jehovah is far from the wicked; But he heareth the prayer of the righteous.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 30] The light of the eyes rejoiceth the heart; And good tidings make the bones fat.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 31] The ear that hearkeneth to the reproof of life Shall abide among the wise.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 32] He that refuseth correction despiseth his own soul; But he that hearkeneth to reproof getteth understanding.
[ASV | EN | OT | Proverbs | Chapter 15 | Verse 33] The fear of Jehovah is the instruction of wisdom; And before honor goeth humility.
