[ASV | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my law; But let thy heart keep my commandments:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 2] For length of days, and years of life, And peace, will they add to thee.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not kindness and truth forsake thee: Bind them about thy neck; Write them upon the tablet of thy heart:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 4] So shalt thou find favor and good understanding In the sight of God and man.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in Jehovah with all thy heart, And lean not upon thine own understanding:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy ways acknowledge him, And he will direct thy paths.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thine own eyes; Fear Jehovah, and depart from evil:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 8] It will be health to thy navel, And marrow to thy bones.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 9] Honor Jehovah with thy substance, And with the firstfruits of all thine increase:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 10] So shall thy barns be filled with plenty, And thy vats shall overflow with new wine.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, despise not the chastening of Jehovah; Neither be weary of his reproof:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 12] For whom Jehovah loveth he reproveth, Even as a father the son in whom he delighteth.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 13] Happy is the man that findeth wisdom, And the man that getteth understanding.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 14] For the gaining of it is better than the gaining of silver, And the profit thereof than fine gold.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies: And none of the things thou canst desire are to be compared unto her.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand; In her left hand are riches and honor.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness, And all her paths are peace.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold upon her: And happy is everyone that retaineth her.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 19] Jehovah by wisdom founded the earth; By understanding he established the heavens.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge the depths were broken up, And the skies drop down the dew.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let them not depart from thine eyes; Keep sound wisdom and discretion:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 22] So shall they be life unto thy soul, And grace to thy neck.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk in thy way securely, And thy foot shall not stumble.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 24] When thou liest down, thou shalt not be afraid: Yea, thou shalt lie down, and thy sleep shall be sweet.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden fear, Neither of the desolation of the wicked, when it cometh:
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 26] For Jehovah will be thy confidence, And will keep thy foot from being taken.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not good from them to whom it is due, When it is in the power of thy hand to do it.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not unto thy neighbor, Go, and come again, And tomorrow I will give; When thou hast it by thee.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 29] Devise not evil against thy neighbor, Seeing he dwelleth securely by thee.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not with a man without cause, If he have done thee no harm.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy thou not the man of violence, And choose none of his ways.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 32] For the perverse is an abomination to Jehovah; But his friendship is with the upright.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of Jehovah is in the house of the wicked; But he blesseth the habitation of the righteous.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 34] Surely he scoffeth at the scoffers; But he giveth grace unto the lowly.
[ASV | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherit glory; But shame shall be the promotion of fools.
