[ASV | EN | OT | Proverbs | Chapter 11 | Verse 1] A false balance is an abomination to Jehovah; But a just weight is his delight.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 2] When pride cometh, then cometh shame; But with the lowly is wisdom.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 3] The integrity of the upright shall guide them; But the perverseness of the treacherous shall destroy them.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 4] Riches profit not in the day of wrath; But righteousness delivereth from death.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 5] The righteousness of the perfect shall direct his way; But the wicked shall fall by his own wickedness.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 6] The righteousness of the upright shall deliver them; But the treacherous shall be taken in their own iniquity.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 7] When a wicked man dieth, his expectation shall perish; And the hope of iniquity perisheth.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 8] The righteous is delivered out of trouble; And the wicked cometh in his stead.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 9] With his mouth the godless man destroyeth his neighbor; But through knowledge shall the righteous be delivered.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 10] When it goeth well with the righteous, the city rejoiceth; And when the wicked perish, there is shouting.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the upright the city is exalted; But it is overthrown by the mouth of the wicked.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 12] He that despiseth his neighbor is void of wisdom; But a man of understanding holdeth his peace.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 13] He that goeth about as a talebearer revealeth secrets; But he that is of a faithful spirit concealeth a matter.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 14] Where no wise guidance is, the people falleth; But in the multitude of counselors there is safety.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 15] He that is surety for a stranger shall smart for it; But he that hateth suretyship is secure.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman obtaineth honor; And violent men obtain riches.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 17] The merciful man doeth good to his own soul; But he that is cruel troubleth his own flesh.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked earneth deceitful wages; But he that soweth righteousness hath a sure reward.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 19] He that is steadfast in righteousness shall attain unto life; And he that pursueth evil doeth it to his own death.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 20] They that are perverse in heart are an abomination to Jehovah; But such as are perfect in their way are his delight.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 21] Though hand join in hand, the evil man shall not be unpunished; But the seed of the righteous shall be delivered.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 22] As a ring of gold in a swine’s snout, So is a fair woman that is without discretion.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the righteous is only good; But the expectation of the wicked is wrath.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 24] There is that scattereth, and increaseth yet more; And there is that withholdeth more than is meet, but it tendeth only to want.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 25] The liberal soul shall be made fat; And he that watereth shall be watered also himself.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 26] He that withholdeth grain, the people shall curse him; But blessing shall be upon the head of him that selleth it.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 27] He that diligently seeketh good seeketh favor; But he that searcheth after evil, it shall come unto him.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 28] He that trusteth in his riches shall fall; But the righteous shall flourish as the green leaf.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 29] He that troubleth his own house shall inherit the wind; And the foolish shall be servant to the wise of heart.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruit of the righteous is a tree of life; And he that is wise winneth souls.
[ASV | EN | OT | Proverbs | Chapter 11 | Verse 31] Behold, the righteous shall be recompensed in the earth; How much more the wicked and the sinner!
