[ASV | EN | OT | Proverbs | Chapter 7 | Verse 1] My son, keep my words, And lay up my commandments with thee.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 2] Keep my commandments and live; And my law as the apple of thine eye.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 3] Bind them upon thy fingers; Write them upon the tablet of thy heart.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 4] Say unto wisdom, Thou art my sister; And call understanding thy kinswoman:
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 5] That they may keep thee from the strange woman, From the foreigner that flattereth with her words.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 6] For at the window of my house I looked forth through my lattice;
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 7] And I beheld among the simple ones, I discerned among the youths, A young man void of understanding,
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 8] Passing through the street near her corner; And he went the way to her house,
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 9] In the twilight, in the evening of the day, In the middle of the night and in the darkness.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 10] And, behold, there met him a woman With the attire of a harlot, and wily of heart.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 11] (She is clamorous and willful; Her feet abide not in her house:
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 12] Now she is in the streets, now in the broad places, And lieth in wait at every corner.)
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 13] So she caught him, and kissed him, And with an impudent face she said unto him:
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 14] Sacrifices of peace offerings are with me; This day have I paid my vows.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 15] Therefore came I forth to meet thee, Diligently to seek thy face, and I have found thee.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 16] I have spread my couch with carpets of tapestry, With striped cloths of the yarn of Egypt.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 17] I have perfumed my bed With myrrh, aloes, and cinnamon.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 18] Come, let us take our fill of love until the morning; Let us solace ourselves with loves.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 19] For the man is not at home; He is gone a long journey:
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 20] He hath taken a bag of money with him; He will come home at the full moon.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 21] With her much fair speech she causeth him to yield; With the flattering of her lips she forceth him along.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 22] He goeth after her straightaway, As an ox goeth to the slaughter, Or as one in fetters to the correction of the fool;
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 23] Till an arrow strike through his liver; As a bird hasteth to the snare, And knoweth not that it is for his life.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 24] Now therefore, my sons, hearken unto me, And attend to the words of my mouth.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 25] Let not thy heart decline to her ways; Go not astray in her paths.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 26] For she hath cast down many wounded: Yea, all her slain are a mighty host.
[ASV | EN | OT | Proverbs | Chapter 7 | Verse 27] Her house is the way to Sheol, Going down to the chambers of death.
