[ASV | EN | OT | Proverbs | Chapter 14 | Verse 1] Every wise woman buildeth her house; But the foolish plucketh it down with her own hands.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 2] He that walketh in his uprightness feareth Jehovah; But he that is perverse in his ways despiseth him.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 3] In the mouth of the foolish is a rod for his pride; But the lips of the wise shall preserve them.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 4] Where no oxen are, the crib is clean; But much increase is by the strength of the ox.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 5] A faithful witness will not lie; But a false witness uttereth lies.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 6] A scoffer seeketh wisdom, and findeth it not; But knowledge is easy unto him that hath understanding.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 7] Go into the presence of a foolish man, And thou shalt not perceive in him the lips of knowledge.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 8] The wisdom of the prudent is to understand his way; But the folly of fools is deceit.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 9] A trespass offering mocketh fools; But among the upright there is good will.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 10] The heart knoweth its own bitterness; And a stranger doth not intermeddle with its joy.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 11] The house of the wicked shall be overthrown; But the tent of the upright shall flourish.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 12] There is a way which seemeth right unto a man; But the end thereof are the ways of death.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 13] Even in laughter the heart is sorrowful; And the end of mirth is heaviness.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 14] The backslider in heart shall be filled with his own ways; And a good man shall be satisfied from himself.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 15] The simple believeth every word; But the prudent man looketh well to his going.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 16] A wise man feareth, and departeth from evil; But the fool beareth himself insolently, and is confident.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 17] He that is soon angry will deal foolishly; And a man of wicked devices is hated.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 18] The simple inherit folly; But the prudent are crowned with knowledge.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 19] The evil bow down before the good; And the wicked, at the gates of the righteous.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 20] The poor is hated even of his own neighbor; But the rich hath many friends.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 21] He that despiseth his neighbor sinneth; But he that hath pity on the poor, happy is he.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 22] Do they not err that devise evil? But mercy and truth shall be to them that devise good.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 23] In all labor there is profit; But the talk of the lips tendeth only to penury.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 24] The crown of the wise is their riches; But the folly of fools is only folly.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 25] A true witness delivereth souls; But he that uttereth lies causeth deceit.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 26] In the fear of Jehovah is strong confidence; And his children shall have a place of refuge.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 27] The fear of Jehovah is a fountain of life, That one may depart from the snares of death.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 28] In the multitude of people is the king’s glory; But in the want of people is the destruction of the prince.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 29] He that is slow to anger is of great understanding; But he that is hasty of spirit exalteth folly.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 30] A tranquil heart is the life of the flesh; But envy is the rottenness of the bones.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 31] He that oppresseth the poor reproacheth his Maker; But he that hath mercy on the needy honoreth him.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 32] The wicked is thrust down in his evildoing; But the righteous hath a refuge in his death.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 33] Wisdom resteth in the heart of him that hath understanding; But that which is in the inward part of fools is made known.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 34] Righteousness exalteth a nation; But sin is a reproach to any people.
[ASV | EN | OT | Proverbs | Chapter 14 | Verse 35] The king’s favor is toward a servant that dealeth wisely; But his wrath will be against him that causeth shame.
