[ASV | EN | OT | Proverbs | Chapter 21 | Verse 1] The king’s heart is in the hand of Jehovah as the watercourses: He turneth it whithersoever he will.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 2] Every way of a man is right in his own eyes; But Jehovah weigheth the hearts.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 3] To do righteousness and justice Is more acceptable to Jehovah than sacrifice.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 4] A high look, and a proud heart, Even the lamp of the wicked, is sin.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 5] The thoughts of the diligent tend only to plenteousness; But everyone that is hasty hasteth only to want.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 6] The getting of treasures by a lying tongue Is a vapor driven to and fro by them that seek death.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 7] The violence of the wicked shall sweep them away, Because they refuse to do justice.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 8] The way of him that is laden with guilt is exceeding crooked; But as for the pure, his work is right.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 9] It is better to dwell in the corner of the housetop, Than with a contentious woman in a wide house.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 10] The soul of the wicked desireth evil: His neighbor findeth no favor in his eyes.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 11] When the scoffer is punished, the simple is made wise; And when the wise is instructed, he receiveth knowledge.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 12] The righteous man considereth the house of the wicked, How the wicked are overthrown to their ruin.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 13] Whoso stoppeth his ears at the cry of the poor, He also shall cry, but shall not be heard.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret pacifieth anger; And a present in the bosom, strong wrath.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 15] It is joy to the righteous to do justice; But it is a destruction to the workers of iniquity.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 16] The man that wandereth out of the way of understanding Shall rest in the assembly of the dead.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 17] He that loveth pleasure shall be a poor man: He that loveth wine and oil shall not be rich.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked is a ransom for the righteous; And the treacherous cometh in the stead of the upright.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 19] It is better to dwell in a desert land, Than with a contentious and fretful woman.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 20] There is precious treasure and oil in the dwelling of the wise; But a foolish man swalloweth it up.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 21] He that followeth after righteousness and kindness Findeth life, righteousness, and honor.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 22] A wise man scaleth the city of the mighty, And bringeth down the strength of the confidence thereof.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 23] Whoso keepeth his mouth and his tongue Keepeth his soul from troubles.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 24] The proud and haughty man, scoffer is his name; He worketh in the arrogance of pride.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 25] The desire of the sluggard killeth him; For his hands refuse to labor.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 26] There is that coveteth greedily all the day long; But the righteous giveth and withholdeth not.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked is an abomination; How much more, when he bringeth it with a wicked mind!
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 28] A false witness shall perish; But the man that heareth shall speak so as to endure.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hardeneth his face; But as for the upright, he establisheth his ways.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisdom nor understanding Nor counsel against Jehovah.
[ASV | EN | OT | Proverbs | Chapter 21 | Verse 31] The horse is prepared against the day of battle; But victory is of Jehovah.
