[ASV | EN | OT | Proverbs | Chapter 20 | Verse 1] Wine is a mocker, strong drink a brawler; And whosoever erreth thereby is not wise.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 2] The terror of a king is as the roaring of a lion: He that provoketh him to anger sinneth against his own life.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 3] It is an honor for a man to keep aloof from strife; But every fool will be quarreling.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 4] The sluggard will not plow by reason of the winter; Therefore he shall beg in harvest, and have nothing.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 5] Counsel in the heart of man is like deep water; But a man of understanding will draw it out.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 6] Most men will proclaim every one his own kindness; But a faithful man who can find?
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 7] A righteous man that walketh in his integrity, Blessed are his children after him.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 8] A king that sitteth on the throne of judgment Scattereth away all evil with his eyes.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 9] Who can say, I have made my heart clean, I am pure from my sin?
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 10] Diverse weights, and diverse measures, Both of them alike are an abomination to Jehovah.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 11] Even a child maketh himself known by his doings, Whether his work be pure, and whether it be right.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 12] The hearing ear, and the seeing eye, Jehovah hath made even both of them.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 13] Love not sleep, lest thou come to poverty; Open thine eyes, and thou shalt be satisfied with bread.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 14] It is bad, it is bad, saith the buyer; But when he is gone his way, then he boasteth.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 15] There is gold, and abundance of rubies; But the lips of knowledge are a precious jewel.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 16] Take his garment that is surety for a stranger; And hold him in pledge that is surety for foreigners.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 17] Bread of falsehood is sweet to a man; But afterward his mouth shall be filled with gravel.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 18] Every purpose is established by counsel; And by wise guidance make thou war.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 19] He that goeth about as a talebearer revealeth secrets; Therefore company not with him that openeth wide his lips.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 20] Whoso curseth his father or his mother, His lamp shall be put out in blackness of darkness.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 21] An inheritance may be gotten hastily at the beginning; But the end thereof shall not be blessed.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 22] Say not thou, I will recompense evil: Wait for Jehovah, and he will save thee.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 23] Diverse weights are an abomination to Jehovah; And a false balance is not good.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 24] A man’s goings are of Jehovah; How then can man understand his way?
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 25] It is a snare to a man rashly to say, It is holy, And after vows to make inquiry.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 26] A wise king winnoweth the wicked, And bringeth the threshing wheel over them.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 27] The spirit of man is the lamp of Jehovah, Searching all his innermost parts.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 28] Kindness and truth preserve the king; And his throne is upholden by kindness.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 29] The glory of young men is their strength; And the beauty of old men is the hoary head.
[ASV | EN | OT | Proverbs | Chapter 20 | Verse 30] Stripes that wound cleanse away evil; And strokes reach the innermost parts.
