[ASV | EN | OT | Proverbs | Chapter 10 | Verse 1] The proverbs of Solomon. A wise son maketh a glad father; But a foolish son is the heaviness of his mother.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit nothing; But righteousness delivereth from death.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 3] Jehovah will not suffer the soul of the righteous to famish; But he thrusteth away the desire of the wicked.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 4] He becometh poor that worketh with a slack hand; But the hand of the diligent maketh rich.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 5] He that gathereth in summer is a wise son; But he that sleepeth in harvest is a son that causeth shame.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are upon the head of the righteous; But violence covereth the mouth of the wicked.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 7] The memory of the righteous is blessed; But the name of the wicked shall rot.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart will receive commandments; But a prating fool shall fall.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 9] He that walketh uprightly walketh surely; But he that perverteth his ways shall be known.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 10] He that winketh with the eye causeth sorrow; But a prating fool shall fall.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of the righteous is a fountain of life; But violence covereth the mouth of the wicked.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirreth up strifes; But love covereth all transgressions.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lips of him that hath discernment wisdom is found; But a rod is for the back of him that is void of understanding.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 14] Wise men lay up knowledge; But the mouth of the foolish is a present destruction.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 15] The rich man’s wealth is his strong city: The destruction of the poor is their poverty.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 16] The labor of the righteous tendeth to life; The increase of the wicked, to sin.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 17] He is in the way of life that heedeth correction; But he that forsaketh reproof erreth.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 18] He that hideth hatred is of lying lips; And he that uttereth a slander is a fool.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 19] In the multitude of words there wanteth not transgression; But he that refraineth his lips doeth wisely.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the righteous is as choice silver: The heart of the wicked is little worth.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of the righteous feed many; But the foolish die for lack of understanding.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of Jehovah, it maketh rich; And he addeth no sorrow therewith.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 23] It is as sport to a fool to do wickedness; And so is wisdom to a man of understanding.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 24] The fear of the wicked, it shall come upon him; And the desire of the righteous shall be granted.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 25] When the whirlwind passeth, the wicked is no more; But the righteous is an everlasting foundation.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, and as smoke to the eyes, So is the sluggard to them that send him.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of Jehovah prolongeth days; But the years of the wicked shall be shortened.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 28] The hope of the righteous shall be gladness; But the expectation of the wicked shall perish.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of Jehovah is a stronghold to the upright; But it is a destruction to the workers of iniquity.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous shall never be removed; But the wicked shall not dwell in the land.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the righteous bringeth forth wisdom; But the perverse tongue shall be cut off.
[ASV | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous know what is acceptable; But the mouth of the wicked speaketh perverseness.
