[ASV | EN | OT | Proverbs | Chapter 12 | Verse 1] Whoso loveth correction loveth knowledge; But he that hateth reproof is brutish.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 2] A good man shall obtain favor of Jehovah; But a man of wicked devices will he condemn.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 3] A man shall not be established by wickedness; But the root of the righteous shall not be moved.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 4] A worthy woman is the crown of her husband; But she that maketh ashamed is as rottenness in his bones.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 5] The thoughts of the righteous are just; But the counsels of the wicked are deceit.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 6] The words of the wicked are of lying in wait for blood; But the mouth of the upright shall deliver them.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 7] The wicked are overthrown, and are not; But the house of the righteous shall stand.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 8] A man shall be commended according to his wisdom; But he that is of a perverse heart shall be despised.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 9] Better is he that is lightly esteemed, and hath a servant, Than he that honoreth himself, and lacketh bread.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 10] A righteous man regardeth the life of his beast; But the tender mercies of the wicked are cruel.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 11] He that tilleth his land shall have plenty of bread; But he that followeth after vain persons is void of understanding.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 12] The wicked desireth the net of evil men; But the root of the righteous yieldeth fruit.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 13] In the transgression of the lips is a snare to the evil man; But the righteous shall come out of trouble.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 14] A man shall be satisfied with good by the fruit of his mouth; And the doings of a man’s hands shall be rendered unto him.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 15] The way of a fool is right in his own eyes; But he that is wise hearkeneth unto counsel.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 16] A fool’s vexation is presently known; But a prudent man concealeth shame.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 17] He that uttereth truth showeth forth righteousness; But a false witness, deceit.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 18] There is that speaketh rashly like the piercings of a sword; But the tongue of the wise is health.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 19] The lip of truth shall be established forever; But a lying tongue is but for a moment.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 20] Deceit is in the heart of them that devise evil; But to the counselors of peace is joy.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 21] There shall no mischief happen to the righteous; But the wicked shall be filled with evil.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 22] Lying lips are an abomination to Jehovah; But they that deal truly are his delight.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 23] A prudent man concealeth knowledge; But the heart of fools proclaimeth foolishness.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 24] The hand of the diligent shall bear rule; But the slothful shall be put under taskwork.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 25] Heaviness in the heart of a man maketh it stoop; But a good word maketh it glad.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 26] The righteous is a guide to his neighbor; But the way of the wicked causeth them to err.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 27] The slothful man roasteth not that which he took in hunting; But the precious substance of men is to the diligent.
[ASV | EN | OT | Proverbs | Chapter 12 | Verse 28] In the way of righteousness is life; And in the pathway thereof there is no death.
