[BSB | EN | OT | Joshua | Chapter 19 | Verse 1] The second lot came out for the clans of the tribe of Simeon: Their inheritance lay within the territory of Judah
[BSB | EN | OT | Joshua | Chapter 19 | Verse 2] and included Beersheba (or Sheba), Moladah,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 3] Hazar-shual, Balah, Ezem,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 4] Eltolad, Bethul, Hormah,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 5] Ziklag, Beth-marcaboth, Hazar-susah,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 6] Beth-lebaoth, and Sharuhen—thirteen cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Rimmon, Ether, and Ashan—four cities, along with their villages,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 8] and all the villages surrounding these cities as far as Baalath-beer (Ramah of the Negev). This was the inheritance of the clans of the tribe of Simeon.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 9] The inheritance of the Simeonites was taken from the territory of Judah, because the share for Judah’s descendants was too large for them. So the Simeonites received an inheritance within Judah’s portion.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 10] The third lot came up for the clans of the tribe of Zebulun: The border of their inheritance stretched as far as Sarid.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 11] It went up westward to Maralah, reached Dabbesheth, and met the brook east of Jokneam.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 12] From Sarid it turned eastward along the border of Chisloth-tabor and went on to Daberath and up to Japhia.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 13] From there it crossed eastward to Gath-hepher and to Eth-kazin; it extended to Rimmon and curved around toward Neah.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 14] Then the border circled around the north side of Neah to Hannathon and ended at the Valley of Iphtah-el.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 15] It also included Kattath, Nahalal, Shimron, Idalah, and Bethlehem. There were twelve cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 16] This was the inheritance of the clans of the tribe of Zebulun, including these cities and their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 17] The fourth lot came out for the clans of the tribe of Issachar:
[BSB | EN | OT | Joshua | Chapter 19 | Verse 18] Their territory included Jezreel, Chesulloth, Shunem,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 19] Hapharaim, Shion, Anaharath,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 20] Rabbith, Kishion, Ebez,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 21] Remeth, En-gannim, En-haddah, and Beth-pazzez.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 22] The border reached Tabor, Shahazumah, and Beth-shemesh, and ended at the Jordan. There were sixteen cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 23] This was the inheritance of the clans of the tribe of Issachar, including these cities and their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 24] The fifth lot came out for the clans of the tribe of Asher:
[BSB | EN | OT | Joshua | Chapter 19 | Verse 25] Their territory included Helkath, Hali, Beten, Achshaph,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 26] Allammelech, Amad, and Mishal. On the west the border touched Carmel and Shihor-libnath,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 27] then turned eastward toward Beth-dagon, touched Zebulun and the Valley of Iphtah-el, and went north to Beth-emek and Neiel, passing Cabul on the left.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 28] It went on to Ebron, Rehob, Hammon, and Kanah, as far as Greater Sidon.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 29] The border then turned back toward Ramah as far as the fortified city of Tyre, turned toward Hosah, and came out at the Sea in the region of Achzib,
[BSB | EN | OT | Joshua | Chapter 19 | Verse 30] Ummah, Aphek, and Rehob. There were twenty-two cities, along with their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 31] This was the inheritance of the clans of the tribe of Asher, including these cities and their villages.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 32] The sixth lot came out for the clans of the tribe of Naphtali:
[BSB | EN | OT | Joshua | Chapter 19 | Verse 33] Their border started at Heleph and the great tree of Zaanannim, passing Adami-nekeb and Jabneel as far as Lakkum and ending at the Jordan.
[BSB | EN | OT | Joshua | Chapter 19 | Verse 34] Then the border turned westward to Aznoth-tabor and ran from there to Hukkok, touching Zebulun on the south side, Asher on the west, and Judah at the Jordan on the east.
