[BSB | EN | OT | Joshua | Chapter 13 | Verse 1] Now Joshua was old and well along in years, and the LORD said to him, “You are old and well along in years, but very much of the land remains to be possessed.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 2] This is the land that remains: All the territory of the Philistines and the Geshurites,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 3] from the Shihor east of Egypt to the territory of Ekron on the north (considered to be Canaanite territory)—that of the five Philistine rulers of Gaza, Ashdod, Ashkelon, Gath, and Ekron, as well as that of the Avvites;
[BSB | EN | OT | Joshua | Chapter 13 | Verse 4] to the south, all the land of the Canaanites, from Mearah of the Sidonians to Aphek, as far as the border of the Amorites;
[BSB | EN | OT | Joshua | Chapter 13 | Verse 5] the land of the Gebalites; and all Lebanon to the east, from Baal-gad below Mount Hermon to Lebo-hamath.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 6] All the inhabitants of the hill country from Lebanon to Misrephoth-maim—all the Sidonians—I Myself will drive out before the Israelites. Be sure to divide it by lot as an inheritance to Israel, as I have commanded you.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 7] Now therefore divide this land as an inheritance to the nine tribes and the half-tribe of Manasseh.”
[BSB | EN | OT | Joshua | Chapter 13 | Verse 8] The other half of Manasseh, along with the Reubenites and Gadites, had received the inheritance Moses had given them beyond the Jordan to the east, just as Moses the servant of the LORD had assigned to them:
[BSB | EN | OT | Joshua | Chapter 13 | Verse 9] The area from Aroer on the rim of the Arnon Valley, along with the city in the middle of the valley, the whole plateau of Medeba as far as Dibon,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 10] and all the cities of Sihon king of the Amorites who reigned in Heshbon, as far as the border of the Ammonites;
[BSB | EN | OT | Joshua | Chapter 13 | Verse 11] also Gilead and the territory of the Geshurites and Maacathites, all of Mount Hermon, and all Bashan as far as Salecah—
[BSB | EN | OT | Joshua | Chapter 13 | Verse 12] the whole kingdom of Og in Bashan, who had reigned in Ashtaroth and Edrei and had remained as a remnant of the Rephaim. Moses had struck them down and dispossessed them,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 13] but the Israelites did not drive out the Geshurites or the Maacathites. So Geshur and Maacath dwell among the Israelites to this day.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 14] To the tribe of Levi, however, Moses had given no inheritance. The offerings made by fire to the LORD, the God of Israel, are their inheritance, just as He had promised them.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 15] This is what Moses had given to the clans of the tribe of Reuben:
[BSB | EN | OT | Joshua | Chapter 13 | Verse 16] The territory from Aroer on the rim of the Arnon Valley, along with the city in the middle of the valley, to the whole plateau beyond Medeba,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 17] to Heshbon and all its cities on the plateau, including Dibon, Bamoth-baal, Beth-baal-meon,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 18] Jahaz, Kedemoth, Mephaath,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 19] Kiriathaim, Sibmah, Zereth-shahar on the hill in the valley,
[BSB | EN | OT | Joshua | Chapter 13 | Verse 20] Beth-peor, the slopes of Pisgah, and Beth-jeshimoth—
[BSB | EN | OT | Joshua | Chapter 13 | Verse 21] all the cities of the plateau and all the kingdom of Sihon king of the Amorites, who reigned in Heshbon until Moses killed him and the chiefs of Midian (Evi, Rekem, Zur, Hur, and Reba), the princes of Sihon who lived in the land.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 22] The Israelites also killed the diviner Balaam son of Beor along with the others they put to the sword.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 23] And the border of the Reubenites was the bank of the Jordan. This was the inheritance of the clans of the Reubenites, including the cities and villages.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 24] This is what Moses had given to the clans of the tribe of Gad:
[BSB | EN | OT | Joshua | Chapter 13 | Verse 25] The territory of Jazer, all the cities of Gilead, and half the land of the Ammonites as far as Aroer, near Rabbah;
[BSB | EN | OT | Joshua | Chapter 13 | Verse 26] the territory from Heshbon to Ramath-mizpeh and Betonim, and from Mahanaim to the border of Debir;
[BSB | EN | OT | Joshua | Chapter 13 | Verse 27] and in the valley, Beth-haram, Beth-nimrah, Succoth, and Zaphon, with the rest of the kingdom of Sihon king of Heshbon (the territory on the east side of the Jordan up to the edge of the Sea of Chinnereth ).
[BSB | EN | OT | Joshua | Chapter 13 | Verse 28] This was the inheritance of the clans of the Gadites, including the cities and villages.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 29] This is what Moses had given to the clans of the half-tribe of Manasseh, that is, to half the tribe of the descendants of Manasseh:
[BSB | EN | OT | Joshua | Chapter 13 | Verse 30] The territory from Mahanaim through all Bashan—all the kingdom of Og king of Bashan, including all the towns of Jair that are in Bashan, sixty cities;
[BSB | EN | OT | Joshua | Chapter 13 | Verse 31] half of Gilead; and Ashtaroth and Edrei, the royal cities of Og in Bashan. All this was for the clans of the descendants of Machir son of Manasseh, that is, half of the descendants of Machir.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 32] These were the portions Moses had given them on the plains of Moab beyond the Jordan, east of Jericho.
[BSB | EN | OT | Joshua | Chapter 13 | Verse 33] To the tribe of Levi, however, Moses had given no inheritance. The LORD, the God of Israel, is their inheritance, just as He had promised them.
