[BSB | EN | OT | Joshua | Chapter 12 | Verse 1] Now these are the kings of the land whom the Israelites struck down and whose lands they took beyond the Jordan to the east, from the Arnon Valley to Mount Hermon, including all the Arabah eastward:
[BSB | EN | OT | Joshua | Chapter 12 | Verse 2] Sihon king of the Amorites, who lived in Heshbon. He ruled from Aroer on the rim of the Arnon Valley, along the middle of the valley, up to the Jabbok River (the border of the Ammonites), that is, half of Gilead,
[BSB | EN | OT | Joshua | Chapter 12 | Verse 3] as well as the Arabah east of the Sea of Chinnereth to the Sea of the Arabah (the Salt Sea ), eastward through Beth-jeshimoth, and southward below the slopes of Pisgah.
[BSB | EN | OT | Joshua | Chapter 12 | Verse 4] And Og king of Bashan, one of the remnant of the Rephaim, who lived in Ashtaroth and Edrei.
[BSB | EN | OT | Joshua | Chapter 12 | Verse 5] He ruled over Mount Hermon, Salecah, all of Bashan up to the border of the Geshurites and Maacathites, and half of Gilead to the border of Sihon king of Heshbon.
[BSB | EN | OT | Joshua | Chapter 12 | Verse 6] Moses, the servant of the LORD, and the Israelites had struck them down and given their land as an inheritance to the Reubenites, the Gadites, and the half-tribe of Manasseh.
[BSB | EN | OT | Joshua | Chapter 12 | Verse 7] And these are the kings of the land that Joshua and the Israelites conquered beyond the Jordan to the west, from Baal-gad in the Valley of Lebanon to Mount Halak, which rises toward Seir (according to the allotments to the tribes of Israel, Joshua gave them as an inheritance
[BSB | EN | OT | Joshua | Chapter 12 | Verse 8] the hill country, the foothills, the Arabah, the slopes, the wilderness, and the Negev—the lands of the Hittites, Amorites, Canaanites, Perizzites, Hivites, and Jebusites):
[BSB | EN | OT | Joshua | Chapter 12 | Verse 9] the king of Jericho, one; the king of Ai, which is near Bethel, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 10] the king of Jerusalem, one; the king of Hebron, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 11] the king of Jarmuth, one; the king of Lachish, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 12] the king of Eglon, one; the king of Gezer, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 13] the king of Debir, one; the king of Geder, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 14] the king of Hormah, one; the king of Arad, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 15] the king of Libnah, one; the king of Adullam, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 16] the king of Makkedah, one; the king of Bethel, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 17] the king of Tappuah, one; the king of Hepher, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 18] the king of Aphek, one; the king of Lasharon, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 19] the king of Madon, one; the king of Hazor, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 20] the king of Shimron-meron, one; the king of Achshaph, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 21] the king of Taanach, one; the king of Megiddo, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 22] the king of Kedesh, one; the king of Jokneam in Carmel, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 23] the king of Dor in Naphath-dor, one; the king of Goiim in Gilgal, one;
[BSB | EN | OT | Joshua | Chapter 12 | Verse 24] and the king of Tirzah, one. So there were thirty-one kings in all.
