[BSB | EN | OT | Joshua | Chapter 15 | Verse 1] Now the allotment for the clans of the tribe of Judah extended to the border of Edom, to the Wilderness of Zin at the extreme southern boundary:
[BSB | EN | OT | Joshua | Chapter 15 | Verse 2] Their southern border started at the bay on the southern tip of the Salt Sea,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 3] proceeded south of the Ascent of Akrabbim, continued on to Zin, went over to the south of Kadesh-barnea, ran past Hezron up to Addar, and curved toward Karka.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 4] It proceeded to Azmon, joined the Brook of Egypt, and ended at the Sea. This was their southern border.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 5] The eastern border was the Salt Sea as far as the mouth of the Jordan. The northern border started from the bay of the sea at the mouth of the Jordan,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 6] went up to Beth-hoglah, proceeded north of Beth-arabah, and went up to the Stone of Bohan son of Reuben.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 7] Then the border went up to Debir from the Valley of Achor, turning north to Gilgal, which faces the Ascent of Adummim south of the ravine. It continued along the waters of En-shemesh and came out at En-rogel.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 8] From there the border went up the Valley of Hinnom along the southern slope of the Jebusites (that is, Jerusalem) and ascended to the top of the hill that faces the Valley of Hinnom on the west, at the northern end of the Valley of Rephaim.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 9] From the hilltop the border curved to the spring of the Waters of Nephtoah, proceeded to the cities of Mount Ephron, and then bent around toward Baalah (that is, Kiriath-jearim).
[BSB | EN | OT | Joshua | Chapter 15 | Verse 10] The border curled westward from Baalah to Mount Seir, ran along the northern slope of Mount Jearim (that is, Chesalon), went down to Beth-shemesh, and crossed to Timnah.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 11] Then it went out to the northern slope of Ekron, curved toward Shikkeron, proceeded to Mount Baalah, went on to Jabneel, and ended at the Sea.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 12] And the western border was the coastline of the Great Sea. These are the boundaries around the clans of the descendants of Judah.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 13] According to the LORD’s command to him, Joshua gave Caleb son of Jephunneh a portion among the sons of Judah—Kiriath-arba, that is, Hebron. (Arba was the forefather of Anak.)
[BSB | EN | OT | Joshua | Chapter 15 | Verse 14] And Caleb drove out from there the three sons of Anak—the descendants of Sheshai, Ahiman, and Talmai, the children of Anak.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 15] From there he marched against the inhabitants of Debir (formerly known as Kiriath-sepher).
[BSB | EN | OT | Joshua | Chapter 15 | Verse 16] And Caleb said, “To the man who strikes down Kiriath-sepher and captures it, I will give my daughter Acsah in marriage.”
[BSB | EN | OT | Joshua | Chapter 15 | Verse 17] So Othniel son of Caleb’s brother Kenaz captured the city, and Caleb gave his daughter Acsah to him in marriage.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 18] One day Acsah came to Othniel and urged him to ask her father for a field. When she got off her donkey, Caleb asked her, “What do you desire?”
[BSB | EN | OT | Joshua | Chapter 15 | Verse 19] “Give me a blessing,” she answered. “Since you have given me land in the Negev, give me springs of water as well.” So Caleb gave her both the upper and lower springs.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 20] This is the inheritance of the clans of the tribe of Judah.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 21] These were the southernmost cities of the tribe of Judah in the Negev toward the border of Edom: Kabzeel, Eder, Jagur,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 22] Kinah, Dimonah, Adadah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 23] Kedesh, Hazor, Ithnan,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 24] Ziph, Telem, Bealoth,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 25] Hazor-hadattah, Kerioth-hezron (that is, Hazor),
[BSB | EN | OT | Joshua | Chapter 15 | Verse 26] Amam, Shema, Moladah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 27] Hazar-gaddah, Heshmon, Beth-pelet,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 28] Hazar-shual, Beersheba, Biziothiah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 29] Baalah, Iim, Ezem,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 30] Eltolad, Chesil, Hormah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 31] Ziklag, Madmannah, Sansannah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 32] Lebaoth, Shilhim, Ain, and Rimmon—twenty-nine cities in all, along with their villages.
[BSB | EN | OT | Joshua | Chapter 15 | Verse 33] These were in the foothills: Eshtaol, Zorah, Ashnah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 34] Zanoah, En-gannim, Tappuah, Enam,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 35] Jarmuth, Adullam, Socoh, Azekah,
[BSB | EN | OT | Joshua | Chapter 15 | Verse 36] Shaaraim, Adithaim, and Gederah (or Gederothaim)—fourteen cities, along with their villages.
