[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 1] Ἐγὼ ἄνθος τοῦ πεδίου, κρίνον τῶν κοιλάδων.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 2] Ὡς κρίνον ἐν μέσῳ ἀκανθῶν, οὕτως ἡ πλησίον μου ἀναμέσον τῶν θυγατέρων.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 3] Ὡς μῆλον ἐν τοῖς ξύλοις τοῦ δρυμοῦ, οὕτως ἀδελφιδός μου ἀναμέσον τῶν υἱῶν· ἐν τῇ σκιᾷ αὐτοῦ ἐπεθύμησα, καὶ ἐκάθισα, καὶ καρπὸς αὐτοῦ γλυκὺς ἐν λάρυγγί μου.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 4] Εἰσαγάγετέ με εἰς οἶκον τοῦ οἴνου, τάξατε ἐπʼ ἐμὲ ἀγάπην.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 5] Στηρίσατέ με ἐν μύροις, στοιβάσατέ με ἐν μήλοις, ὅτι τετρωμένη ἀγάπης ἐγώ.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 6] Εὐώνυμος αὐτοῦ ὑπὸ τὴν κεφαλήν μου, καὶ ἡ δεξιὰ αὐτοῦ περιλήψεταί με.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 7] Ὥρκισα ὑμᾶς θυγατέρες Ἱερουσαλὴμ ἐν δυνάμεσι καὶ ἐν ἰσχύσεσι τοῦ ἀγροῦ· ἐὰν ἐγείρητε καὶ ἐξεγείρητε τὴν ἀγάπην ἕως οὗ θελήσῃ.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 8] Φωνὴ ἀδελφιδοῦ μου, ἰδοὺ οὗτος ἥκει πηδῶν ἐπὶ τὰ ὄρη, διαλλόμενος ἐπὶ τοὺς βουνούς.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 9] Ὅμοιός ἐστιν ἀδελφιδός μου τῇ δορκάδι ἢ νεβρῷ ἐλάφων ἐπὶ τὰ ὄρη Βαιθήλ· ἰδοὺ οὗτος ὀπίσω τοῦ τοίχου ἡμῶν, παρακύπτων διὰ τῶν θυρίδων, ἐκκύπτων διὰ τῶν δικτύων.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 10] Ἀποκρίνεται ἀδελφιδός μου, καὶ λέγει μοι, ἀνάστα, ἐλθὲ ἡ πλησίον μου, καλή μου, περιστερά μου.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 11] Ὅτι ἰδοὺ ὁ χειμὼν παρῆλθεν, ὁ ὑετὸς ἀπῆλθεν, ἐπορεύθη ἑαυτῷ.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 12] Τὰ ἄνθη ὤφθη ἐν τῇ γῇ, καιρὸς τῆς τομῆς ἔφθακε, φωνὴ τῆς τρυγόνος ἠκούσθη ἐν τῇ γῇ ἡμῶν.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 13] Ἡ συκὴ ἐξήνεγκεν ὀλύνθους αὐτῆς, αἱ ἄμπελοι κυπρίζουσιν, ἔδωκαν ὀσμήν· ἀνάστα, ἐλθὲ ἡ πλησίον μου, καλή μου, περιστερά μου, καὶ ἐλθὲ.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 14] Σὺ περιστερά μου, ἐν σκέπῃ τῆς πέτρας, ἐχόμενα τοῦ προτειχίσματος· δεῖξόν μοι τὴν ὄψιν σου, καὶ ἀκούτισόν με τὴν φωνήν σου, ὅτι ἡ φωνή σου ἡδεῖα, καὶ ἡ ὄψις σου ὡραῖα.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 15] Πιάσατε ἡμῖν ἀλώπεκας μικροὺς ἀφανίζοντας ἀμπελῶνας· καὶ αἱ ἄμπελοι ἡμῶν κυπρίζουσαι.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 16] Ἀδελφιδός μου ἐμοὶ, κᾀγὼ αὐτῷ· ὁ ποιμαίνων ἐν τοῖς κρίνοις.
[LXX | EL | OT | Song of Solomon | Chapter 2 | Verse 17] Ἕως οὗ διαπνεύσῃ ἡ ἡμέρα, καὶ κινηθῶσιν αἱ σκιαί· ἀπόστρεψον, ὁμοιώθητι σὺ ἀδελφιδε μου τῷ δόρκωνι ἢ νεβρῷ ἐλάφων ἐπὶ ὄρη κοιλωμάτων.
