[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 1] Καταβήτω ἀδελφιδός μου εἰς κῆπον αὐτοῦ, καὶ φαγέτω καρπὸν ἀκροδρύων αὐτοῦ· εἰσῆλθον εἰς κῆπόν μου ἀδελφή μου νύμφη· ἐτρύγησα σμύρναν μου μετὰ ἀρωμάτων μου, ἔφαγον ἄρτον μου μετὰ μέλιτός μου, ἔπιον οἶνόν μου μετὰ γάλακτός μου· φάγετε πλήσιοι καὶ πίετε, καὶ μεθύσθητε ἀδελφοί.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 2] Ἐγὼ καθεύδω, καὶ ἡ καρδία μου ἀγρυπνεῖ. φωνὴ ἀδελφιδοῦ μου κρούει ἐπὶ τὴν θύραν, ἀνοιξόν μοι ἡ πλησίον μου, ἄδελφή μου, περιστερά μου, τελεία μου· ὅτι ἡ κεφαλή μου ἐπλήσθη δρόσου, καὶ οἱ βόστρυχοί μου ψεκάδων νυκτός.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 3] Ἐξεδυσάμην τὸν χιτῶνά μου, πῶς ἐνδύοσμαι αὐτόν; ἐνιψάμην τοὺς πόδας μου, πῶς μολυνῶ αὐτούς;
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 4] Ἀδελφιδός μου ἀπέστειλε χεῖρα αὐτοῦ ἀπὸ τῆς ὀπῆς, καὶ ἡ κοιλία μου ἐθροήθη ἐπʼ αὐτόν.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 5] Ἀνέστην ἐγὼ ἀνοῖξαι τῷ ἀδελφιδῷ μου, χεῖρές μου ἔσταξαν σμύρναν, δάκτυλοί μου σμύρναν πλήρη ἐπὶ χεῖρας τοῦ κλείθρου.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 6] Ἤνοιξα ἐγὼ τῷ ἀδελφιδῷ μου· ἀδελφιδός μου παρῆλθε· ψυχή μου ἐξῆλθεν ἐν λόγῳ αὐτοῦ· ἐζήτησα αὐτὸν καὶ οὐχ εὗρον αὐτὸν, ἐκάλεσα αὐτὸν καὶ οὐχ ὑπήκουσέ μου.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 7] Εὕροσάν με οἱ φύλακες οἱ κυκλοῦντες ἐν τῇ πόλει, ἐπάταξάν με, ἐτραυμάτισάν με· ᾖραν τὸ θέριστρόν μου ἀπʼ ἐμοῦ φύλακες τῶν τειχέων.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 8] Ὥρκισα ὑμᾶς θυγατέρες Ἱερουσαλὴμ ἐν ταῖς δυνάμεσι καὶ ἐν ταῖς ἰσχύσεσι τοῦ ἀγροῦ· ἐὰν εὕρητε τὸν ἀδελφιδόν μου, τί ἀπαγγείλητε αὐτῷ; ὅτι τετρωμένη ἀγάπης ἐγώ εἰμι.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 9] Τί ἀδελφιδός σου ἀπὸ ἀδελφιδοῦ, ἡ καλὴ ἐν γυναιξί; τί ἀδελφιδός σου ἀπὸ ἀδελφιδοῦ, ὅτι οὕτως ὥρκισας ἡμᾶς;
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 10] Ἀδελφιδός μου λευκὸς καὶ πυῤῥὸς, ἐκλελοχισμένος ἀπὸ μυριάδων.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 11] Κεφαλὴ αὐτοῦ χρυσίον κεφὰζ, βόστρυχοι αὐτοῦ ἐλάται, μέλανες ὡς κόραξ.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 12] Ὀφθαλμοὶ αὐτοῦ ὡς περιστεραὶ ἐπὶ πληρώματα ὑδάτων, λελουσμέναι ἐν γάλακτι, καθήμεναι ἐπὶ πληρώματα.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 13] Σιαγόνες αὐτοῦ ὡς φιάλαι τοῦ ἀρώματος φύουσαι μυρεψικά· χείλη αὐτοῦ κρίνα στάζοντα σμύρναν πλήρη.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 14] Χεῖρες αὐτοῦ τορευταὶ χρυσαῖ πεπληρωμέναι Θαρσίς· κοιλία αὐτοῦ πυξίον ἐλεφάντινον ἐπὶ λίθου σαπφείρου.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 15] Κνῆμαι αὐτοῦ στύλοι μαρμάρινοι τεθεμελιωμένοι ἐπὶ βάσεις χρυσᾶς· εἶδος αὐτοῦ ὡς Λίβανος, ἐκλεκτὸς ὡς κέδροι.
[LXX | EL | OT | Song of Solomon | Chapter 5 | Verse 16] Φάρυγξ αὐτοῦ γλυκασμοὶ καὶ ὅλος ἐπιθυμία· οὗτος ἀδελφιδός μου καὶ οὗτος πλησίον μου, θυγατέρες Ἱερουσαλήμ.
