[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 1] Ἐπίστρεφε ἐπίστρεφε ἡ Σουναμίτις· ἐπίστρεφε ἐπίστρεφε, καὶ ὀφόμεθα ἐν σοί. Τί ὄψεσθε ἐν τῇ Σουναμίτιδι; ἡ ἐρχομένη ὡς χοροὶ τῶν παρεμβολῶν.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 2] Ὡραιώθησαν διαβήματά σου ἐν ὑποδήμασί σου, θύγατερ ναδάβ· ῥυθμοὶ μηρῶν ὅμοιοι ὁρμίσκοις, ἔργον τεχνίτου.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 3] Ὀμφαλός σου κρατὴρ τορευτὸς, μὴ ὑστερούμενος κράμα· κοιλία σου θημωνία σίτου πεφραγμένη ἐν κρίνοις.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 4] Δύο μαστοί σου, ὡς δύο νεβροὶ δίδυμοι δορκάδος.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 5] Ὁ τράχηλός σου ὡς πύργος ἐλεφάντινος· οἱ ὀφθαλμοί σου ὡς λίμναι ἐν Ἐσεβὼν, ἐν πύλαις θυγατρὸς πολλῶν· μυκτήρ σου, ὡς πύργος τοῦ Λιβάνου σκοπεύων πρόσωπον Δαμασκοῦ.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 6] Κεφαλή σου ἐπὶ σὲ ὡς Κάρμηλος, καὶ πλόκιον κεφαλῆς σου ὡς πορφύρα· βασιλεὺς δεδεμένος ἐν παραδρομαῖς.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 7] Τί ὡραιώθης, καὶ τί ἡδύνθης ἀγάπη;
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 8] ἐν τρυφαῖς σου τοῦτο μέγεθός σου· ὡμοιώθης τῷ φοίνικι, καὶ οἱ μαστοί σου τοῖς βότρυσιν.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 9] Εἶπα, ἀναβήσομαι ἐπὶ τῷ φοίνικι, κρατήσω τῶν ὕψεων αὐτοῦ· καὶ ἔσονται δὴ μαστοί σου ὡς βότρυες τῆς ἀμπέλου, καὶ ὀσμὴ ῥινός σου ὡς μῆλα,
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 10] καὶ ὁ λάρυγξ σου ὡς οἶνος ὁ ἀγαθὸς, πορευόμενος τῷ ἀδελφιδῷ μου εἰς εὐθύτητα, ἱκανούμενος χείλεσί μου καὶ ὀδοῦσιν.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 11] Ἐγὼ τῷ ἀδελφιδῷ μου, καὶ ἐπʼ ἐμὲ ἡ ἐπιστροφὴ αὐτοῦ.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 12] Ἐλθὲ ἀδελφιδέ μου, ἐξέλθωμεν εἰς ἀγρὸν, αὐλισθῶμεν ἐν κώμαις.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 13] Ὀρθρίσωμεν εἰς ἀμπελῶνας· ἴδωμεν εἰ ἤνθησεν ἡ ἄμπελος, ἤνθησεν ὁ κυπρισμὸς, ἤνθησν αἱ ῥοαί· ἐκεῖ δώσω τοὺς μαστούς μου σοί.
[LXX | EL | OT | Song of Solomon | Chapter 7 | Verse 14] Οἱ μανδραγόραι ἔδωκαν ὀσμήν· καὶ ἐπὶ θύραις ἡμῶν πάντα ἀκρόδρυα νέα πρὸς παλαιὰ, ἀδελφιδέ μου, ἐτήρησά σοι.
