[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 1] Ἐπὶ κοίτην μου ἐν νυξὶν, ἐζήτησα ὃν ἠγάπησεν ἡ ψυχή μου· ἐζήτησα αὐτὸν, καὶ οὐχ εὗρον αὐτόν· ἐκάλεσα αὐτὸν, καὶ οὐχ ὑπήκουσέ μου.
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 2] Ἀναστήσομαι δὴ καὶ κυκλώσω ἐν τῇ πόλει, ἐν ταῖς ἀγοραῖς, καὶ ἐν ταῖς πλατείαις, καὶ ζητήσω ὃν ἠγάπησεν ἡ ψυχή μου· ἐζήτησα αὐτὸν, καὶ οὐχ εὗρον αὐτόν.
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 3] Εὕροσάν με οἱ τηροῦντες, οἱ κυκλοῦντες ἐν τῇ πόλει. Μὴ ὃν ἠγάπησεν ἡ ψυχή μου, ἴδετε;
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 4] Ὡς μικρὸν ὅτε παρῆλθον ἀπʼ αὐτῶν, ἕως οὗ εὗρον ὃν ἠγάπησεν ἡ ψυχή μου· ἐκράτησα αὐτὸν καὶ οὐκ ἀφῆκα αὐτὸν, ἕως οὗ εἰσήγαγον αὐτὸν εἰς οἶκον μητρός μου, καὶ εἰς ταμεῖον τῆς συλλαβούσης με.
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 5] Ὥρκισα ὑμᾶς θυγατέρες Ἱερουσαλὴμ ἐν ταῖς δυνάμεσι, καὶ ἐν ταῖς ἰσχύσεσι τοῦ ἀγροῦ· ἐὰν ἐγείρητε καὶ ἐξεγείρητε τὴν ἀγάπην ἕως ἂν θελήσῃ.
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 6] Τίς αὕτη ἡ ἀναβαίνουσα ἀπὸ τῆς ἐρήμου, ὡς στελέχη καπνοῦ τεθυμιαμένη σμύρναν καὶ λίβανον ἀπὸ πάντων κονιορτῶν μυρεψοῦ;
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 7] Ἰδοὺ ἡ κλίνη τοῦ Σαλωμὼν, ἑξήκοντα δυνατοὶ κύκλῳ αὐτῆς ἀπὸ δυνατῶν Ἰσραήλ·
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 8] Πάντες κατέχοντες ῥομφαίαν δεδιδαγμένοι πόλεμον· ἀνὴρ ῥομφαία αὐτοῦ ἐπὶ μηρὸν αὐτοῦ ἀπὸ θάμβους ἐν νυξί.
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 9] Φορεῖον ἐποίησεν ἑαυτῷ ὁ βασιλεὺς Σαλωμὼν ἀπὸ ξύλων τοῦ Λιβάνου·
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 10] Στύλους αὐτοῦ ἐποίησεν ἀργύριον, καὶ ἀνάκλιτον αὐτοῦ χρύσεον· ἐπίβασις αὐτοῦ πορφυρᾶ, ἐντὸς αὐτοῦ λιθόστρωτον, ἀγάπην ἀπὸ θυγατέρων Ἱερουσαλήμ.
[LXX | EL | OT | Song of Solomon | Chapter 3 | Verse 11] Θυγατέρες Σιὼν ἐξέλθατε, καὶ ἴδετε ἐν τῷ βασιλεῖ Σαλωμὼν, ἐν τῷ στεφάνῳ ᾧ ἐστεφάνωσεν αὐτὸν ἡ μήτηρ αὐτοῦ, ἐν ἡμέρᾳ νυμφεύσεως αὐτοῦ, καὶ ἐν ἡμέρᾳ εὐφροσύνης καρδίας αὐτοῦ.
