[BBE | EN | OT | Genesis | Chapter 10 | Verse 1] Now these are the generations of the sons of Noah, Shem, Ham, and Japheth: these are the sons which they had after the great flow of waters
[BBE | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth: Gomer and Magog and Madai and Javan and Tubal and Meshech and Tiras.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 3] And the sons of Gomer: Ashkenaz and Riphath and Togarmah.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 4] And the sons of Javan: Elishah and Tarshish, the Kittim and the Dodanim.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 5] From these came the nations of the sea-lands, with their different families and languages.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 6] And the sons of Ham: Cush and Mizraim and Put and Canaan.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 7] And the sons of Cush: Seba and Havilah and Sabtah and Raamah and Sabteca; and the sons of Raamah: Sheba and Dedan.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 8] And Cush was the father of Nimrod, who was the first of the great men of the earth.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 9] He was a very great bowman, so that there is a saying, Like Nimrod, a very great bowman.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 10] And at the first, his kingdom was Babel and Erech and Accad and Calneh, in the land of Shinar.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 11] From that land he went out into Assyria, building Nineveh with its wide streets and Calah,
[BBE | EN | OT | Genesis | Chapter 10 | Verse 12] And Resen between Nineveh and Calah, which is a very great town.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 13] And Mizraim was the father of the Ludim and Anamim and Lehabim and Naphtuhim;
[BBE | EN | OT | Genesis | Chapter 10 | Verse 14] And Pathrusim and Casluhim and Caphtorim, from whom came the Philistines.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 15] And Canaan was the father of Zidon, who was his oldest son, and Heth,
[BBE | EN | OT | Genesis | Chapter 10 | Verse 16] And the Jebusite and the Amorite and the Girgashite,
[BBE | EN | OT | Genesis | Chapter 10 | Verse 17] And the Hivite and the Arkite and the Sinite,
[BBE | EN | OT | Genesis | Chapter 10 | Verse 18] And the Arvadite and the Zemarite and the Hamathite; after that the families of the Canaanites went far and wide in all directions;
[BBE | EN | OT | Genesis | Chapter 10 | Verse 19] Their country stretching from Zidon to Gaza, in the direction of Gerar; and to Lasha, in the direction of Sodom and Gomorrah and Admah and Zeboiim.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 20] All these, with their different families, languages, lands, and nations, are the offspring of Ham.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 21] And Shem, the older brother of Japheth, the father of the children of Eber, had other sons in addition.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 22] These are the sons of Shem: Elam and Asshur and Arpachshad and Lud and Aram.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 23] And the sons of Aram: Uz and Hul and Gether and Mash.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 24] And Arpachshad became the father of Shelah; and Shelah became the father of Eber.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 25] And Eber had two sons: the name of the one was Peleg, because in his time the peoples of the earth became separate; and his brother's name was Joktan.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 26] And Joktan was the father of Almodad and Sheleph and Hazarmaveth and Jerah
[BBE | EN | OT | Genesis | Chapter 10 | Verse 27] And Hadoram and Uzal and Diklah
[BBE | EN | OT | Genesis | Chapter 10 | Verse 28] And Obal and Abimael and Sheba
[BBE | EN | OT | Genesis | Chapter 10 | Verse 29] And Ophir and Havilah and Jobab; all these were the sons of Joktan.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 30] And their country was from Mesha, in the direction of Sephar, the mountain of the east.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 31] These, with their families and their languages and their lands and their nations, are the offspring of Shem.
[BBE | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of the sons of Noah, in the order of their generations and their nations: from these came all the nations of the earth after the great flow of waters.
