[BBE | EN | OT | Genesis | Chapter 36 | Verse 1] Now these are the generations of Esau, that is to say, Edom.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 2] Esau's wives were women of Canaan: Adah, the daughter of Elon the Hittite, and Oholibamah, the daughter of Anah, the daughter of Zibeon the Hivite,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 3] And Basemath, Ishmael's daughter, the sister of Nebaioth.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 4] Adah had a son Eliphaz; and Basemath was the mother of Reuel;
[BBE | EN | OT | Genesis | Chapter 36 | Verse 5] Oholibamah was the mother of Jeush, Jalam, and Korah; these are the sons of Esau, whose birth took place in the land of Canaan.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 6] Esau took his wives and his sons and his daughters, and all the people of his house, and his beasts and his cattle and all his goods which he had got together in the land of Canaan, and went into the land of Seir, away from his brother Jacob.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 7] For their wealth was so great that the land was not wide enough for the two of them and all their cattle.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 8] So Esau made his living-place in the hill-country of Seir (Esau is Edom).
[BBE | EN | OT | Genesis | Chapter 36 | Verse 9] And these are the generations of Esau, the father of the Edomites in the hill-country of Seir:
[BBE | EN | OT | Genesis | Chapter 36 | Verse 10] These are the names of Esau's sons: Eliphaz, the son of Esau's wife Adah, and Reuel, the son of Esau's wife Basemath.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 11] The sons of Eliphaz were Teman, Omar, Zepho, Gatam, and Kenaz.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 12] And Eliphaz, the son of Esau, had connection with a woman named Timna, who gave birth to Amalek: all these were the children of Esau's wife Adah.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 13] And these are the sons of Reuel: Nahath, Zerah, Shammah, and Mizzah: they were the children of Esau's wife Basemath.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 14] And these are the sons of Esau's wife Oholibamah, the daughter of Anah, the daughter of Zibeon: she was the mother of Jeush, Jalam, and Korah.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 15] These were the chiefs among the sons of Esau: the sons of Eliphaz, Esau's first son: Teman, Omar, Zepho, Kenaz,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 16] Korah, Gatam, Amalek: all these were chiefs in the land of Edom, the offspring of Eliphaz, the seed of Adah.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 17] And these are the sons of Esau's son Reuel: Nahath, Zerah, Shammah, Mizzah: these were the chiefs of Reuel in the land of Edom, the children of Esau's wife Basemath.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 18] And these are the sons of Esau's wife Oholibamah: Jeush, Jalam, and Korah: these were the chiefs who came from Esau's wife Oholibamah, daughter of Anah.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 19] These were the sons of Esau (that is, Edom), and these were their chiefs.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 20] These are the sons of Seir the Horite who were living in that country; Lotan, Shobal, Zibeon, Anah,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 21] Dishon, Ezer, and Dishan: these are the chiefs of the Horites, offspring of Seir in the land of Edom.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 22] The children of Lotan were Hori and Hemam; Lotan's sister was Timna.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 23] And these are the children of Shobal: Alvan, Manahath, Ebal, Shepho, and Onam.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 24] And these are the children of Zibeon: Aiah and Anah; that same Anah who made the discovery of the water-springs in the waste land, when he was looking after the asses of his father Zibeon.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 25] And these are the children of Anah: Dishon and Oholibamah his daughter.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 26] These are the children of Dishon: Hemdan, Eshban, Ithran, and Keran.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 27] These are the children of Ezer: Bilhan, Zaavan, and Akan.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 28] These are the children of Dishan: Uz and Aran.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 29] These were the Horite chiefs: Lotan, Shobal, Zibeon, Anah,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 30] Dishon, Ezer, and Dishan. Such were the Horite chiefs in their order in the land of Seir.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 31] And these are the kings who were ruling in the land of Edom before there was any king over the children of Israel.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 32] Bela, son of Beor, was king in Edom, and the name of his chief town was Dinhabah.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 33] At his death, Jobab, son of Zerah of Bozrah, became king in his place.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 34] And at the death of Jobab, Husham, from the country of the Temanites, became king in his place.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 35] And at the death of Husham, Hadad, son of Bedad, who overcame the Midianites in the field of Moab, became king; his chief town was named Avith.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 36] And at the death of Hadad, Samlah of Masrekah became king.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 37] And at the death of Samlah, Shaul of Rehoboth by the River became king in his place.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 38] And at the death of Shaul, Baal-hanan, son of Achbor, became king.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 39] And at the death of Baal-hanan, Hadar became king in his place; his chief town was named Pau, and his wife's name was Mehetabel; she was the daughter of Matred, the daughter of Me-zahab.
[BBE | EN | OT | Genesis | Chapter 36 | Verse 40] These are the names of the chiefs of Esau in the order of their families and their places: Timna, Alvah, Jetheth,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 41] Oholibamah, Elah, Pinon,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 42] Kenaz, Teman, Mibzar,
[BBE | EN | OT | Genesis | Chapter 36 | Verse 43] Magdiel, Iram; these are the Edomite chiefs, in their places in their heritage; this is Esau, the father of the Edomites.
