[BBE | EN | OT | Genesis | Chapter 31 | Verse 1] Now it came to the ears of Jacob that Laban's sons were saying, Jacob has taken away all our father's property, and in this way he has got all this wealth.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 2] And Jacob saw that Laban's feeling for him was no longer what it had been before.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 3] Then the Lord said to Jacob, Go back to the land of your fathers, and to your relations, and I will be with you.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 4] And Jacob sent for Rachel and Leah to come to him in the field among his flock.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 5] And he said to them, It is clear to me that your father's feeling is no longer what it was to me; but the God of my father has been with me
[BBE | EN | OT | Genesis | Chapter 31 | Verse 6] And you have seen how I have done all in my power for your father,
[BBE | EN | OT | Genesis | Chapter 31 | Verse 7] But your father has not kept faith with me, and ten times he has made changes in my payment; but God has kept him from doing me damage.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 8] If he said, All those in the flock which have marks are to be yours, then all the flock gave birth to marked young; and if he said, All the banded ones are to be yours, then all the flock had banded young.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 9] So God has taken away your father's cattle and has given them to me.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 10] And at the time when the flock were with young, I saw in a dream that all the he-goats which were joined with the she-goats were banded and marked and coloured.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 11] And in my dream the angel of the Lord said to me, Jacob: and I said, Here am I.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 12] And he said, See how all the he-goats are banded and marked and coloured: for I have seen what Laban has done to you.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 13] I am the God of Beth-el, where you put oil on the pillar and took an oath to me: now then, come out of this land and go back to the country of your birth.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 14] Then Rachel and Leah said to him in answer, What part or heritage is there for us in our father's house?
[BBE | EN | OT | Genesis | Chapter 31 | Verse 15] Are we not as people from a strange country to him? for he took a price for us and now it is all used up.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 16] For the wealth which God has taken from him is ours and our children's; so now, whatever God has said to you, do.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 17] Then Jacob put his wives and his sons on camels;
[BBE | EN | OT | Genesis | Chapter 31 | Verse 18] And sending on before him all his cattle and his property which he had got together in Paddan-aram, he made ready to go to Isaac his father in the land of Canaan.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 19] Now Laban had gone to see to the cutting of the wool of his sheep; so Rachel secretly took the images of the gods of her father's house.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 20] And Jacob went away secretly, without giving news of his flight to Laban the Aramaean.
[BBE | EN | OT | Genesis | Chapter 31 | Verse 21] So he went away with all he had, and went across the River in the direction of the hill-country of Gilead.
