[BBE | EN | OT | Genesis | Chapter 35 | Verse 1] And God said to Jacob, Go up now to Beth-el and make your living-place there: and put up an altar there to the God who came to you when you were in flight from your brother Esau.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 2] Then Jacob said to all his people, Put away the strange gods which are among you, and make yourselves clean, and put on a change of clothing:
[BBE | EN | OT | Genesis | Chapter 35 | Verse 3] And let us go up to Beth-el: and there I will make an altar to God, who gave me an answer in the day of my trouble, and was with me wherever I went.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 4] Then they gave to Jacob all the strange gods which they had, and the rings which were in their ears; and Jacob put them away under the holy tree at Shechem.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 5] So they went on their journey: and the fear of God was on the towns round about, so that they made no attack on the sons of Jacob.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 6] And Jacob came to Luz in the land of Canaan (which is the same as Beth-el), he and all his people.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 7] And there he made an altar, naming the place El-beth-el: because it was there he had the vision of God when he was in flight from his brother.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 8] And Deborah, the servant who had taken care of Rebekah from her birth, came to her end, and was put to rest near Beth-el, under the holy tree: and they gave it the name of Allon-bacuth.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 9] Now when Jacob was on his way from Paddan-aram, God came to him again and, blessing him, said,
[BBE | EN | OT | Genesis | Chapter 35 | Verse 10] Jacob is your name, but it will be so no longer; from now your name will be Israel; so he was named Israel.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 11] And God said to him, I am God, the Ruler of all: be fertile, and have increase; a nation, truly a group of nations, will come from you, and kings will be your offspring;
[BBE | EN | OT | Genesis | Chapter 35 | Verse 12] And the land which I gave to Abraham and Isaac, I will give to you; and to your seed after you I will give the land.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 13] Then God went up from him in the place where he had been talking with him.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 14] And Jacob put up a pillar in the place where he had been talking with God, and put a drink offering on it, and oil.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 15] And he gave to the place where God had been talking with him, the name of Beth-el.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 16] So they went on from Beth-el; and while they were still some distance from Ephrath, the pains of birth came on Rachel and she had a hard time.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 17] And when her pain was very great, the woman who was helping her said, Have no fear; for now you will have another son.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 18] And in the hour when her life went from her (for death came to her), she gave the child the name Ben-oni: but his father gave him the name of Benjamin.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 19] So Rachel came to her end and was put to rest on the road to Ephrath (which is Beth-lehem).
[BBE | EN | OT | Genesis | Chapter 35 | Verse 20] And Jacob put up a pillar on her resting-place; which is named, The Pillar of the resting-place of Rachel, to this day.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 21] And Israel went journeying on and put up his tents on the other side of the tower of the flock.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 22] Now while they were living in that country, Reuben had connection with Bilhah, his father's servant-woman: and Israel had news of it.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 23] Now Jacob had twelve sons: the sons of Leah: Reuben, Jacob's first son, and Simeon and Levi and Judah and Issachar and Zebulun;
[BBE | EN | OT | Genesis | Chapter 35 | Verse 24] The sons of Rachel: Joseph and Benjamin;
[BBE | EN | OT | Genesis | Chapter 35 | Verse 25] The sons of Bilhah, Rachel's servant: Dan and Naphtali;
[BBE | EN | OT | Genesis | Chapter 35 | Verse 26] The sons of Zilpah, Leah's servant: Gad and Asher; these are the sons whom Jacob had in Paddan-aram.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 27] And Jacob came to his father Isaac at Mamre, at Kiriath-arba, that is, Hebron, where Abraham and Isaac had been living.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 28] And Isaac was a hundred and eighty years old.
[BBE | EN | OT | Genesis | Chapter 35 | Verse 29] Then Isaac came to his end and was put to rest with his father's people, an old man after a long life: and Jacob and Esau, his sons, put him in his last resting-place.
