[OEB | EN | NT | Galatians | Chapter 5 | Verse 1] It is for freedom that Christ set us free; stand firm therefore, and do not again be held under the yoke of slavery.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 2] Understand that I, Paul, myself tell you that if you allow yourselves to be circumcised, Christ will avail you nothing.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 3] I again declare to everyone who receives circumcision, that he binds himself to obey the whole Law.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 4] You have severed yourselves from Christ – you who are seeking to be pronounced righteous through Law; you have fallen away from love.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 5] For we, by the help of the Spirit, are eagerly waiting for the fulfilment of our hope – that we may be pronounced righteous as the result of faith.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 6] If we are in union with Christ Jesus, neither is circumcision nor the omission of it anything, but faith, working through love, is everything.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 7] You were once making good progress! Who has hindered you from obeying the truth?
[OEB | EN | NT | Galatians | Chapter 5 | Verse 8] The persuasion brought to bear on you does not come from him who calls you.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 9] A little yeast leavens all the dough.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 10] I, through my union with the Lord, am persuaded that you will learn to think with me. But the man who is disturbing your minds will have to bear his punishment, whoever he may be.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 11] If I, friends, am still proclaiming circumcision, why am I still persecuted? It seems that the cross has ceased to be an obstacle!
[OEB | EN | NT | Galatians | Chapter 5 | Verse 12] I could even wish that the people who are unsettling you would go further still and mutilate themselves.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 13] Remember, friends, to you the call came to give you freedom. Only, do not make your freedom an opportunity for self-indulgence but serve one another in a loving spirit.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 14] Indeed, the whole Law has been summed up in this one precept – “You must love your neighbour as you love yourself.”
[OEB | EN | NT | Galatians | Chapter 5 | Verse 15] But, if you are continually wounding and preying on one another, take care that you are not destroyed by one another.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 16] This is what I have to say – Let your steps be guided by the Spirit, and then you will never gratify the cravings of your earthly nature.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 17] For these cravings of our earthly nature conflict with the Spirit, and the Spirit with our earthly nature – they are two contrary principles – so that you cannot do what you wish.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 18] But, if you follow the guidance of the Spirit, you are not subject to Law.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 19] The sins of our earthly nature are unmistakable. They are sins like these – sexual immorality, impurity, indecency,
[OEB | EN | NT | Galatians | Chapter 5 | Verse 20] idolatry, sorcery, quarrels, strife, jealousy, outbursts of passion, rivalries, dissensions, divisions,
[OEB | EN | NT | Galatians | Chapter 5 | Verse 21] feelings of envy, drunkenness, revelry, and the like. And I warn you, as I warned you before, that those who indulge in such things will have no place in the kingdom of God.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 22] But the fruit produced by the Spirit is love, joy, peace, forbearance, kindliness, generosity, trustfulness, gentleness, self-control.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 23] Against such things there is no law!
[OEB | EN | NT | Galatians | Chapter 5 | Verse 24] And those who belong to Jesus, the Christ, have already crucified their earthly nature, with its passions and its cravings.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 25] Since our life is due to the Spirit, let us rule our conduct also by the Spirit.
[OEB | EN | NT | Galatians | Chapter 5 | Verse 26] Do not let us grow vain, and provoke or envy one another.
