[OEB | EN | NT | Galatians | Chapter 4 | Verse 1] My point is this – as long as the heir is under age, there is no difference between him and a slave, though he is master of the whole estate.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 2] He is subject to the control of guardians and stewards, during the period for which his father has power to appoint them.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 3] And so is it with us; when we were under age, as it were, we were slaves to the puerile teaching of this world;
[OEB | EN | NT | Galatians | Chapter 4 | Verse 4] but, when the full time came, God sent his Son – born a woman’s child, born subject to Law –
[OEB | EN | NT | Galatians | Chapter 4 | Verse 5] to ransom those who were subject to Law, so that we might take our position as sons.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 6] And it is because you are sons that God sent into our hearts the Spirit of his Son, with the cry – “Abba, our Father.”
[OEB | EN | NT | Galatians | Chapter 4 | Verse 7] You, therefore, are no longer a slave, but a son; and, if a son, then an heir also, by God’s appointment.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 8] Yet formerly, in your ignorance of God, you became slaves to “gods” which were no gods.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 9] But now that you have found God – or, rather, have been found by him – how is it that you are turning back to that poor and feeble puerile teaching, to which yet once again you are wanting to become slaves?
[OEB | EN | NT | Galatians | Chapter 4 | Verse 10] You are scrupulous in keeping days and months and seasons and years!
[OEB | EN | NT | Galatians | Chapter 4 | Verse 11] You make me fear that the labour which I have spent on you may have been wasted.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 12] I entreat you, friends, to become like me, as I became like you. You have never done me any wrong.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 13] You remember that it was owing to bodily infirmity that on the first occasion I told you the good news.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 14] And as for what must have tried you in my condition, it did not inspire you with scorn or disgust, but you welcomed me as if I had been an angel of God – or Christ Jesus himself!
[OEB | EN | NT | Galatians | Chapter 4 | Verse 15] What has become then, of your blessings? For I can bear witness that, had it been possible, you would have torn out your eyes and given them to me!
[OEB | EN | NT | Galatians | Chapter 4 | Verse 16] Am I to think, then, that I have become your enemy by telling you the truth?
[OEB | EN | NT | Galatians | Chapter 4 | Verse 17] Certain people are seeking your favour, but with no honourable object. No, indeed, they want to isolate you, so that you will have to seek their favour.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 18] It is always honourable to have your favour sought in an honourable cause, and not only when I am with you, my dear children –
[OEB | EN | NT | Galatians | Chapter 4 | Verse 19] you for whom I am again enduring a mother’s pains, until a likeness to Christ will have been formed in you.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 20] But I could wish to be with you now and speak in a different tone, for I am perplexed about you.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 21] Tell me, you who want to be still subject to Law – Why don’t you listen to the Law?
[OEB | EN | NT | Galatians | Chapter 4 | Verse 22] Scripture says that Abraham had two sons, one the child of the slave-woman and the other the child of the free woman.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 23] But the child of the slave-woman was born in the course of nature, while the child of the free woman was born in fulfilment of a promise.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 24] This story may be taken as an allegory. The women stand for two covenants. One covenant, given from Mount Sinai, produces a race of slaves and is represented by Hagar.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 25] Hagar stands for Mount Sinai in Arabia, and represents the Jerusalem of today, for she and her children are in slavery.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 26] But the Jerusalem above is free, and she it is who is our mother.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 27] For scripture says – “Rejoice, you barren one, who have never given birth, break into shouts, you who are never in labour, for many are the children of her who is desolate – yes, more than of her who has a husband.”
[OEB | EN | NT | Galatians | Chapter 4 | Verse 28] As for ourselves, friends, we, like Isaac, are children born in fulfilment of a promise.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 29] Yet at that time the child born in the course of nature persecuted the child born by the power of the Spirit; and it is the same now.
[OEB | EN | NT | Galatians | Chapter 4 | Verse 30] But what does the passage of scripture say? “Send away the slave-woman and her son; for the slave’s son will not be coheir with the son of the free woman.”
[OEB | EN | NT | Galatians | Chapter 4 | Verse 31] And so, friends, we are not children of a slave, but of her who is free.
