[OEB | EN | NT | Galatians | Chapter 6 | Verse 1] My friends, even if someone should be caught committing a sin, you who are spiritually minded should, in a gentle spirit, help them to recover themselves, taking care that you yourselves are not tempted.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 2] Bear one another’s burdens, and so carry out the Law of the Christ.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 3] If a person imagines themselves to be somebody, when they are really nobody, they deceive themselves.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 4] Let everyone test their own work, and then their cause for satisfaction will be in themselves and not in a comparison with their neighbour;
[OEB | EN | NT | Galatians | Chapter 6 | Verse 5] for everyone must bear their own load.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 6] The person, however, who is being instructed in the message ought always to share their blessings with their teacher.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 7] Do not be deceived. God cannot be mocked. What a person sows that they will reap.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 8] For the person who sows the field of their earthly nature will from that earthly nature reap corruption; while the one who sows the field of the spirit will from that spirit reap eternal life.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 9] Let us never tire of doing right, for at the proper season we will reap our harvest, if we do not grow weary.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 10] Therefore, I say, as the opportunity occurs, let us treat everyone with kindness, and especially members of the household of the faith.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 11] See in what large letters I am writing with my own hand.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 12] The people who are trying to compel you to be circumcised are the people who wish to appear to advantage in regard to outward observances. They do it only to avoid being persecuted for the cross of Jesus, the Christ
[OEB | EN | NT | Galatians | Chapter 6 | Verse 13] Even these men who are circumcised do not themselves keep the Law; yet they want you to be circumcised, so that they may boast of your observance of the rite.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 14] But, for my part, may I never boast of anything except the cross of Jesus Christ, our Master, through whom the world has been crucified to me, and I to the world.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 15] For neither is circumcision nor the omission of it anything; but a new nature is everything.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 16] May all who rule their conduct by this principle find peace and mercy – they who are the Israel of God.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 17] For the future let no one trouble me; for I bear the marks of Jesus branded on my body.
[OEB | EN | NT | Galatians | Chapter 6 | Verse 18] May the blessing of Jesus Christ, our Lord, rest on your souls, friends. Amen.
