[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 1] You are sons of the LORD your God; do not cut yourselves or shave your foreheads on behalf of the dead,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 2] for you are a people holy to the LORD your God. The LORD has chosen you to be a people for His prized possession out of all the peoples on the face of the earth.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 3] You must not eat any detestable thing.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 4] These are the animals that you may eat: The ox, the sheep, the goat,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 5] the deer, the gazelle, the roe deer, the wild goat, the ibex, the antelope, and the mountain sheep.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 6] You may eat any animal that has a split hoof divided in two and that chews the cud.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 7] But of those that chew the cud or have a completely divided hoof, you are not to eat the following: the camel, the rabbit, or the rock badger. Although they chew the cud, they do not have a divided hoof. They are unclean for you,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 8] as well as the pig; though it has a divided hoof, it does not chew the cud. It is unclean for you. You must not eat its meat or touch its carcass.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 9] Of all the creatures that live in the water, you may eat anything with fins and scales,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 10] but you may not eat anything that does not have fins and scales; it is unclean for you.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 11] You may eat any clean bird,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 12] but these you may not eat: the eagle, the bearded vulture, the black vulture,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 13] the red kite, the falcon, any kind of kite,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 14] any kind of raven,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 15] the ostrich, the screech owl, the gull, any kind of hawk,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 16] the little owl, the great owl, the white owl,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 17] the desert owl, the osprey, the cormorant,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 18] the stork, any kind of heron, the hoopoe, or the bat.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 19] All flying insects are unclean for you; they may not be eaten.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 20] But you may eat any clean bird.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 21] You are not to eat any carcass; you may give it to the foreigner residing within your gates, and he may eat it, or you may sell it to a foreigner. For you are a holy people belonging to the LORD your God. You must not cook a young goat in its mother’s milk.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 22] You must be sure to set aside a tenth of all the produce brought forth each year from your fields.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 23] And you are to eat a tenth of your grain, new wine, and oil, and the firstborn of your herds and flocks, in the presence of the LORD your God at the place He will choose as a dwelling for His Name, so that you may learn to fear the LORD your God always.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 24] But if the distance is too great for you to carry that with which the LORD your God has blessed you, because the place where the LORD your God will choose to put His Name is too far away,
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 25] then exchange it for money, take the money in your hand, and go to the place the LORD your God will choose.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 26] Then you may spend the money on anything you desire: cattle, sheep, wine, strong drink, or anything you wish. You are to feast there in the presence of the LORD your God and rejoice with your household.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 27] And do not neglect the Levite within your gates, since he has no portion or inheritance among you.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 28] At the end of every three years, bring a tenth of all your produce for that year and lay it up within your gates.
[BSB | EN | OT | Deuteronomy | Chapter 14 | Verse 29] Then the Levite (because he has no portion or inheritance among you), the foreigner, the fatherless, and the widow within your gates may come and eat and be satisfied. And the LORD your God will bless you in all the work of your hands.
