[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 1] If you see your brother’s ox or sheep straying, you must not ignore it; be sure to return it to your brother.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 2] If your brother does not live near you, or if you do not know who he is, you are to take the animal home to remain with you until your brother comes seeking it; then you can return it to him.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 3] And you shall do the same for his donkey, his cloak, or anything your brother has lost and you have found. You must not ignore it.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 4] If you see your brother’s donkey or ox fallen on the road, you must not ignore it; you must help him lift it up.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 5] A woman must not wear men’s clothing, and a man must not wear women’s clothing, for whoever does these things is detestable to the LORD your God.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 6] If you come across a bird’s nest with chicks or eggs, either in a tree or on the ground along the road, and the mother is sitting on the chicks or eggs, you must not take the mother along with the young.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 7] You may take the young, but be sure to let the mother go, so that it may be well with you and that you may prolong your days.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 8] If you build a new house, you are to construct a railing around your roof, so that you do not bring bloodguilt on your house if someone falls from it.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 9] Do not plant your vineyard with two types of seed; if you do, the entire harvest will be defiled —both the crop you plant and the fruit of your vineyard.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 10] Do not plow with an ox and a donkey yoked together.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 11] Do not wear clothes of wool and linen woven together.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 12] You are to make tassels on the four corners of the cloak you wear.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 13] Suppose a man marries a woman, has relations with her, and comes to hate her,
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 14] and he then accuses her of shameful conduct and gives her a bad name, saying, “I married this woman and had relations with her, but I discovered she was not a virgin.”
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 15] Then the young woman’s father and mother shall bring the proof of her virginity to the city elders at the gate
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 16] and say to the elders, “I gave my daughter in marriage to this man, but he has come to hate her.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 17] And now he has accused her of shameful conduct, saying, ‘I discovered that your daughter was not a virgin.’ But here is the proof of her virginity.” And they shall spread out the cloth before the city elders.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 18] Then the elders of that city shall take the man and punish him.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 19] They are also to fine him a hundred shekels of silver and give them to the young woman’s father, because this man has given a virgin of Israel a bad name. And she shall remain his wife; he must not divorce her as long as he lives.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 20] If, however, this accusation is true, and no proof of the young woman’s virginity can be found,
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 21] she shall be brought to the door of her father’s house, and there the men of her city will stone her to death. For she has committed an outrage in Israel by being promiscuous in her father’s house. So you must purge the evil from among you.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 22] If a man is found lying with another man’s wife, both the man who slept with her and the woman must die. You must purge the evil from Israel.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 23] If there is a virgin pledged in marriage to a man, and another man encounters her in the city and sleeps with her,
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 24] you must take both of them out to the gate of that city and stone them to death—the young woman because she did not cry out in the city, and the man because he has violated his neighbor’s wife. So you must purge the evil from among you.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 25] But if the man encounters a betrothed woman in the open country, and he overpowers her and lies with her, only the man who has done this must die.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 26] Do nothing to the young woman, because she has committed no sin worthy of death. This case is just like one in which a man attacks his neighbor and murders him.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 27] When he found her in the field, the betrothed woman cried out, but there was no one to save her.
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 28] If a man encounters a virgin who is not pledged in marriage, and he seizes her and lies with her, and they are discovered,
[BSB | EN | OT | Deuteronomy | Chapter 22 | Verse 29] then the man who lay with her must pay the young woman’s father fifty shekels of silver, and she must become his wife because he has violated her. He must not divorce her as long as he lives.
