[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 1] No man with crushed or severed genitals may enter the assembly of the LORD.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 2] No one of illegitimate birth may enter the assembly of the LORD, nor may any of his descendants, even to the tenth generation.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 3] No Ammonite or Moabite or any of their descendants may enter the assembly of the LORD, even to the tenth generation.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 4] For they did not meet you with food and water on your way out of Egypt, and they hired Balaam son of Beor from Pethor in Aram-naharaim to curse you.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 5] Yet the LORD your God would not listen to Balaam, and the LORD your God turned the curse into a blessing for you, because the LORD your God loves you.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 6] You are not to seek peace or prosperity from them as long as you live.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 7] Do not despise an Edomite, for he is your brother. Do not despise an Egyptian, because you lived as a foreigner in his land.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 8] The third generation of children born to them may enter the assembly of the LORD.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 9] When you are encamped against your enemies, then you shall keep yourself from every wicked thing.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 10] If any man among you becomes unclean because of a nocturnal emission, he must leave the camp and stay outside.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 11] When evening approaches, he must wash with water, and when the sun sets he may return to the camp.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 12] You must have a place outside the camp to go and relieve yourself.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 13] And you must have a digging tool in your equipment so that when you relieve yourself you can dig a hole and cover up your excrement.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 14] For the LORD your God walks throughout your camp to protect you and deliver your enemies to you. Your camp must be holy, lest He see anything unclean among you and turn away from you.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 15] Do not return a slave to his master if he has taken refuge with you.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 16] Let him live among you wherever he chooses, in the town of his pleasing. Do not oppress him.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 17] No daughter or son of Israel is to be a shrine prostitute.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 18] You must not bring the wages of a prostitute, whether female or male, into the house of the LORD your God to fulfill any vow, because both are detestable to the LORD your God.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 19] Do not charge your brother interest on money, food, or any other type of loan.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 20] You may charge a foreigner interest, but not your brother, so that the LORD your God may bless you in everything to which you put your hand in the land that you are entering to possess.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 21] If you make a vow to the LORD your God, do not be slow to keep it, because He will surely require it of you, and you will be guilty of sin.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 22] But if you refrain from making a vow, you will not be guilty of sin.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 23] Be careful to follow through on what comes from your lips, because you have freely vowed to the LORD your God with your own mouth.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 24] When you enter your neighbor’s vineyard, you may eat your fill of grapes, but you must not put any in your basket.
[BSB | EN | OT | Deuteronomy | Chapter 23 | Verse 25] When you enter your neighbor’s grainfield, you may pluck the heads of grain with your hand, but you must not put a sickle to your neighbor’s grain.
