[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 1] You shall not sacrifice to the LORD your God an ox or a sheep with any defect or serious flaw, for that is detestable to the LORD your God.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 2] If a man or woman among you in one of the towns that the LORD your God gives you is found doing evil in the sight of the LORD your God by transgressing His covenant
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 3] and going to worship other gods, bowing down to them or to the sun or moon or any of the host of heaven—which I have forbidden—
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 4] and if it is reported and you hear about it, you must investigate it thoroughly. If the report is true and such an abomination has happened in Israel,
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 5] you must bring out to your gates the man or woman who has done this evil thing, and you must stone that person to death.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 6] On the testimony of two or three witnesses a man shall be put to death, but he shall not be executed on the testimony of a lone witness.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 7] The hands of the witnesses shall be the first in putting him to death, and after that, the hands of all the people. So you must purge the evil from among you.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 8] If a case is too difficult for you to judge, whether the controversy within your gates is regarding bloodshed, lawsuits, or assaults, you must go up to the place the LORD your God will choose.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 9] You are to go to the Levitical priests and to the judge who presides at that time. Inquire of them, and they will give you a verdict in the case.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 10] You must abide by the verdict they give you at the place the LORD will choose. Be careful to do everything they instruct you,
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 11] according to the terms of law they give and the verdict they proclaim. Do not turn aside to the right or to the left from the decision they declare to you.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 12] But the man who acts presumptuously, refusing to listen either to the priest who stands there to serve the LORD your God, or to the judge, must be put to death. You must purge the evil from Israel.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 13] Then all the people will hear and be afraid, and will no longer behave arrogantly.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 14] When you enter the land that the LORD your God is giving you and have taken possession of it and settled in it, and you say, “Let us set a king over us like all the nations around us,”
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 15] you are to appoint over yourselves the king whom the LORD your God shall choose. Appoint a king from among your brothers; you are not to set over yourselves a foreigner who is not one of your brothers.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 16] But the king must not acquire many horses for himself or send the people back to Egypt to acquire more horses, for the LORD has said, ‘You are never to go back that way again.’
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 17] He must not take many wives for himself, lest his heart go astray. He must not accumulate for himself large amounts of silver and gold.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 18] When he is seated on his royal throne, he must write for himself a copy of this instruction on a scroll in the presence of the Levitical priests.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 19] It is to remain with him, and he is to read from it all the days of his life, so that he may learn to fear the LORD his God by carefully observing all the words of this instruction and these statutes.
[BSB | EN | OT | Deuteronomy | Chapter 17 | Verse 20] Then his heart will not be exalted above his countrymen, and he will not turn aside from the commandment, to the right or to the left, in order that he and his sons may reign many years over his kingdom in Israel.
