[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 1] Thus sayth the Lord, Goe, and buy an earthen bottel of a potter, and take of the ancients of the people, and of the ancients of the Priests,
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 2] And goe forth vnto the valley of Ben-hinnom, which is by the entrie of the East gate: and thou shalt preache there the wordes, that I shall tell thee,
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 3] And shalt say, Heare yee the worde of the Lord, O Kings of Iudah, and inhabitantes of Ierusalem, Thus sayth the Lord of hostes, the God of Israel, Behold, I will bring a plague vpon this place, the which whosoeuer heareth, his eares shall tingle.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 4] Because they haue forsaken me, and prophaned this place, and haue burnt incense in it vnto other gods, whome neyther they, nor their fathers haue knowen, nor the Kings of Iudah (they haue filled this place also with the blood of innocents,
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 5] And they haue built the hie places of Baal, to burne their sonnes with fire for burnt offrings vnto Baal, which I commanded not, nor spake it, neither came it into my minde)
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 6] Therefore behold, the dayes come, sayth the Lord, that this place shall no more be called Topheth, nor ye valley of Ben-hinnom, but the valley of slaughter.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 7] And I will bring the counsell of Iudah and Ierusalem to nought in this place, and I will cause them to fall by the sword before their enemies, and by the hand of them that seeke their liues: and their carkeises will I giue to be meate for ye foules of the heauen, and to the beastes of the fielde.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 8] And I will make this citie desolate and an hissing, so that euery one that passeth thereby, shalbe astonished and hisse because of all ye plagues thereof.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 9] And I will feede the with the flesh of their sonnes and with the flesh of their daughters, and euery one shall eate the flesh of his friende in the siege and straitnesse, wherewith their enemies that seeke their liues, shall hold them strait.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 10] Then shalt thou breake the bottell in the sight of the men that go with thee,
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 11] And shalt say vnto them, Thus saith ye Lord of hostes, Euen so will I breake this people and this citie, as one breaketh a potters vessell, that cannot be made whole againe, and they shall bury them in Topheth till there be no place to bury.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 12] Thus will I doe vnto this place, sayth the Lord, and to the inhabitantes thereof, and I will make this citie like Topheth.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 13] For the houses of Ierusalem, and the houses of the Kings of Iudah shalbe defiled as the place of Topheth, because of al the houses vpon whose roofes they haue burnt incense vnto all the host of heauen, and haue powred out drinke offerings vnto other gods.
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 14] Then came Ieremiah from Topheth, where the Lord had sent him to prophecie, and he stood in the court of the Lordes house, and sayde to all the people,
[GNV | EN | OT | Jeremiah | Chapter 19 | Verse 15] Thus saith the Lord of hostes, the God of Israel, Beholde, I will bring vpon this citie, and vpon all her townes, all the plagues that I haue pronounced against it, because they haue hardened their neckes, and would not heare my wordes.
