[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 1] Oh, that mine head were full of water and mine eyes a fountaine of teares, that I might weepe day and night for the slayne of the daughter of my people.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 2] Oh, that I had in the wildernes a cottage of wayfaring men, that I might leaue my people, and go from them: for they be all adulterers and an assembly of rebels,
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 3] And they bende their tongues like their bowes for lyes: but they haue no courage for the trueth vpon the earth: for they proceede from euill to worse, and they haue not knowen mee, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 4] Let euery one take heede of his neighbour, and trust you not in any brother: for euery brother will vse deceite, and euery friend will deale deceitfully,
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 5] And euery one wil deceiue his friende, and wil not speake the trueth: for they haue taught their tongues to speake lies, and take great paynes to do wickedly.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 6] Thine habitation is in the middes of deceiuers: because of their deceit they refuse to know me, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 7] Therefore thus sayth the Lord of hostes, Behold, I wil melt them, and trie them: for what should I els do for the daughter of my people?
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 8] Their tongue is as an arow shot out, and speaketh deceite: one speaketh peaceably to his neighbour with his mouth, but in his heart hee layeth waite for him.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 9] Shal I not visit them for these things, saith the Lord? or shall not my soule be auenged on such a nation as this?
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 10] Vpon the mountaines will I take vp a weeping and a lamentation, and vpon the fayre places of the wildernes a mourning, because they are burnt vp: so that none can passe through them, neyther can men heare the voyce of the flocke: both the foule of the aire, and the beast are fled away and gone.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 11] And I wil make Ierusalem an heape, and a den of dragons, and I will make the cities of Iudah waste, without an inhabitant.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 12] Who is wise, to vnderstande this? and to whome the mouth of the Lord hath spoken, euen he shall declare it. Why doth the land perish, and is burnt vp like a wildernesse, that none passeth through?
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 13] And the Lord sayeth, Because they haue forsaken my Lawe, which I set before them, and haue not obeyed my voice, neither walked thereafter,
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 14] But haue walked after the stubbernesse of their owne heart, and after Baalims, which their fathers taught them,
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 15] Therefore thus sayth the Lord of hostes, the God of Israel, Behold, I will feede this people with wormewood, and giue them waters of gall to drinke:
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 16] I wil scatter them also among the heathen, whom neither they nor their fathers haue knowen, and I will send a sworde after them, til I haue consumed them.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 17] Thus sayeth the Lord of hostes, Take heede, and call for the mourning women, that they may come, and send for skilfull women that they may come,
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 18] And let them make haste, and let them take vp a lamentation for vs, that our eyes may cast out teares and our eye liddes gush out of water.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 19] For a lamentable noyse is heard out of Zion, Howe are we destroyed, and vtterly confounded, for we haue forsaken the land, and our dwellings haue cast vs out.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 20] Therefore heare the worde of the Lord, O ye women, and let your eares regard the words of his mouth, and teach your daughters to mourne, and euery one her neighbour to lament.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 21] For death is come vp into our windowes, and is entred into our palaces, to destroy the children without, and the yong men in the streetes.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 22] Speake, thus sayth the Lord, The carkeises of men shall lye, euen as the doung vpon the fielde, and as the handfull after the mower, and none shall gather them.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 23] Thus saith the Lord, Let not the wise man glory in his wisedome, nor the strong man glorie in his strength, neyther the riche man glorie in his riches.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 24] But let him that glorieth, glorie in this, that he vnderstandeth, and knoweth me: for I am the Lord, which shewe mercie, iudgement, and righteousnes in the earth: for in these things I delite, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 9 | Verse 25] Beholde, the dayes come, sayth the Lord, that I wil visite all them, which are circumcised with the vncircumcised:
