[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 1] And King Zedekiah the sonne of Iosiah reigned for Coniah the sonne of Iehoiakim, whome Nebuchad-nezzar King of Babel made King in the land of Iudah.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 2] But neither he, nor his seruants, nor the people of the land would obey the wordes of the Lord, which he spake by the ministerie of the Prophet Ieremiah.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 3] And Zedekiah the King sent Iehucal the sonne of Shelemiah, and Zephaniah the sonne of Maaseiah the Priest to the Prophet Ieremiah, saying, Pray now vnto the Lord our God for vs.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 4] (Now Ieremiah went in and out among the people: for they had not put him into the prison.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 5] Then Pharaohs hoste was come out of Egypt: and when the Caldeans that besieged Ierusalem, heard tidings of them, they departed from Ierusalem)
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 6] Then came the worde of the Lord vnto the Prophet Ieremiah, saying,
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 7] Thus sayth the Lord God of Israel, Thus shall ye say to the King of Iudah, that sent you vnto me to inquire of me, Behold, Pharaohs hoste, which is come forth to helpe you, shall returne to Egypt into their owne land.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 8] And the Caldeans shall come againe, and fight against this citie, and take it and burne it with fire.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 9] Thus sayth the Lord, Deceiue not your selues, saying, The Caldeans shall surely depart from vs: for they shall not depart.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 10] For though ye had smitten the whole hoste of the Caldeans that fight against you, and there remained but wounded men among them, yet should euery man rise vp in his tent, and burne this citie with fire.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 11] When the hoste of the Caldeans was broken vp from Ierusalem, because of Pharaohs armie,
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 12] Then Ieremiah went out of Ierusalem to goe into the land of Beniamin, separating himselfe thence from among the people.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 13] And when hee was in the gate of Beniamin, there was a chiefe officer, whose name was Iriiah, the sonne of Shelemiah, the sonne of Hananiah, and he tooke Ieremiah the Prophet, saying, Thou fleest to the Caldeans.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 14] Then sayde Ieremiah, That is false, I flee not to the Caldeans: but he would not heare him: so Iriiah tooke Ieremiah, and brought him to the princes.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 15] Wherefore the princes were angry with Ieremiah, and smote him, and layde him in prison in the house of Iehonathan the scribe: for they had made that the prison.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 16] When Ieremiah was entred into the dungeon, and into the prisons, and had remained there a long time,
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 17] Then Zedekiah the King sent, and tooke him out, and the King asked him secretly in his house, and said, Is there any worde from the Lord? And Ieremiah sayd, Yea: for, sayd he, thou shalt be deliuered into the hand of the King of Babel.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 18] Moreouer, Ieremiah sayd vnto King Zedekiah, What haue I offended against thee, or against thy seruants, or against this people, that ye haue put me in prison?
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 19] Where are nowe your prophets, which prophecied vnto you, saying, The King of Babel shall not come against you, nor against this land?
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 20] Therefore heare nowe, I pray thee, O my lorde the King: let my prayer be accepted before thee, that thou cause mee not to returne to the house of Iehonathan the scribe, least I die there.
[GNV | EN | OT | Jeremiah | Chapter 37 | Verse 21] Then Zedekiah the King commanded, that they should put Ieremiah in the court of the prison, and that they should giue him dayly a piece of bread out of the bakers streete vntill all the bread in the citie were eaten vp. Thus Ieremiah remained in the court of the prison.
