[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 1] Thus sayth the Lord, Beholde, I wil raise vp against Babel, and against the inhabitants that lift vp their heart against me, a destroying wind,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 2] And wil send vnto Babel fanners that shall fanne her, and shall empty her land: for in the day of trouble they shalbe against her on euery side.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 3] Also to the bender that bendeth his bowe, and to him that lifteth himselfe vp in his brigandine, will I say, Spare not her yong men, but destroy all her hoste.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 4] Thus the slaine shall fall in the lande of the Caldeans, and they that are thrust through in her streetes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 5] For Israel hath bene no widowe, nor Iudah from his God, from the Lord of hostes, though their lande was filled with sinne against the holy one of Israel.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 6] Flee out of the middes of Babel, and deliuer euery man his soule: be not destroyed in her iniquitie: for this is the time of the Lordes vengeance he will render vnto her a recompence.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 7] Babel hath bene as a golden cuppe in the Lordes hand, that made all the earth drunken: the nations haue drunken of her wine, therefore do the nations rage.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 8] Babel is suddenly fallen, and destroyed: howle for her, bring balme for her sore, if she may be healed.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 9] We would haue cured Babel, but she could not be healed: forsake her, and let vs go euery one into his owne countrey: for her iudgement is come vp vnto heauen, and is lifted vp to ye cloudes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 10] The Lord hath brought forth our righteousnesse: come and let vs declare in Zion the worke of the Lord our God.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 11] Make bright the arrowes: gather the shieldes: the Lord hath raised vp the spirit of the King of the Medes: for his purpose is against Babel to destroy it, because it is the vengeance of the Lord, and the vengeance of his Temple.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 12] Set vp the standart vpon the walles of Babel, make the watch strong: set vp the watchmen: prepare the skoutes: for the Lord hath both deuised, and done that which he spake against the inhabitantes of Babel.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 13] O thou that dwellest vpon many waters, abundant in treasures, thine ende is come, euen the ende of thy couetousnes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 14] The Lord of hostes hath sworne by him selfe, saying, Surely I will fill thee with men, as with caterpillers, and they shall cry and shoute against thee.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 15] He hath made the earth by his power, and established the world by his wisedome, and hath stretched out the heauen by his discretion.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 16] Hee giueth by his voyce the multitude of waters in the heauen, and he causeth the cloudes to ascend from the endes of the earth: he turneth lightnings to raine, and bringeth forth the winde out of his treasures.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 17] Euery man is a beast by his owne knowledge: euery founder is confounded by the grauen image: for his melting is but falsehood, and there is no breath therein.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 18] They are vanitie, and the worke of errours: in the time of their visitation they shall perish.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 19] The portion of Iaakob is not like them: for he is the maker of all things, and Israel is the rodde of his inheritance: the Lord of hostes is his Name.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 20] Thou art mine hammer, and weapons of warre: for with thee will I breake the nations, and with thee wil I destroy kingdomes,
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 21] And by thee wil I breake horse and horseman, and by thee will I breake the charet and him that rideth therein.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 22] By thee also will I breake man and woman, and by thee wil I breake olde and yong, and by thee wil I breake the yong man and the mayde.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 23] I wil also breake by thee the shepheard and his flocke, and by thee will I breake the husband man and his yoke of oxen, and by thee will I breake the dukes and princes.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 24] And I will render vnto Babel, and to all the inhabitants of the Caldeans all their euil, that they haue done in Zion, euen in your sight, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 25] Beholde, I come vnto thee, O destroying mountaine, sayth the Lord, which destroyest all the earth: and I will stretch out mine hand vpon thee, and rolle thee downe from the rockes, and wil make thee a burnt mountaine.
[GNV | EN | OT | Jeremiah | Chapter 51 | Verse 26] They shall not take of thee a stone for a corner, nor a stone for foundations, but thou shalt be destroyed for euer, sayth the Lord.
