[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 1] Concerning Moab, thus saith ye Lord of hostes, the God of Israel, Woe vnto Nebo: for it is wasted: Kiriathaim is confounded and taken: Misgab is confounded and afraide.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 2] Moab shall boast no more of Heshbon: for they haue deuised euill against it. Come, and let vs destroy it, that it be no more a nation: also thou shalt be destroyed, O Madmen, and the sworde shall pursue thee.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 3] A voyce of crying shall be from Horonaim with desolation and great destruction.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 4] Moab is destroyed: her litle ones haue caused their crie to be heard.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 5] For at the going vp of Luhith, the mourner shall goe vp with weeping: for in the going downe of Horonaim, the enemies haue heard a cry of destruction,
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 6] Flee and saue your liues, and be like vnto the heath in the wildernesse.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 7] For because thou hast trusted in thy workes and in thy treasures, thou shalt also be taken, and Chemosh shall goe forth into captiuitie with his Priestes and his princes together.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 8] And the destroyer shall come vpon all cities, and no citie shall escape: the valley also shall perish and the plaine shalbe destroyed as the Lord hath spoken.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 9] Giue wings vnto Moab, that it may flee and get away: for the cities thereof shalbe desolate, without any to dwell therein.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 10] Cursed be he that doeth the worke of the Lord negligently, and cursed be he that keepeth backe his sword from blood.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 11] Moab hath bene at rest from his youth, and he hath setled on his lees, and hath not bene powred from vessell to vessell, neither hath he gone into captiuitie: therefore his taste remained in him and his sent is not changed.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 12] Therefore beholde, the dayes come, saith the Lord, that I will send vnto him such as shall carie him away, and shall emptie his vessels, and breake their bottels.
[GNV | EN | OT | Jeremiah | Chapter 48 | Verse 13] And Moab shalbe ashamed of Chemosh as the house of Israel was ashamed of Beth-el their confidence.
