[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 1] Moreover, the worde of the Lord came vnto Ieremiah the second time (while he was yet shut vp in the court of prison) saying,
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 2] Thus sayth the Lord, the maker thereof, the Lord that formed it, and established it, the Lord is his Name.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 3] Call vnto me, and I will answere thee, and shewe thee great and mightie things, which thou knowest not.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 4] For thus saith the Lord God of Israel, concerning the houses of this citie, and concerning the houses of the Kings of Iudah, which are destroyed by the mounts, and by the sword,
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 5] They come to fight with the Caldeans, but it is to fill themselues with the dead bodies of men, whome I haue slaine in mine anger and in my wrath: for I haue hid my face from this citie, because of all their wickednes.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 6] Behold, I will giue it health and amendment: for I wil cure them, and will reueile vnto them the abundance of peace, and trueth.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 7] And I wil cause the captiuitie of Iudah and the captiuitie of Israel to returne, and will build them as at the first.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 8] And I wil clense them from all their iniquitie, whereby they haue sinned against me: yea, I wil pardon all their iniquities, whereby they haue sinned against me, and whereby they haue rebelled against me.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 9] And it shalbe to me a name, a ioy, a praise, and an honour before all the nations of the earth, which shall heare all ye good that I doe vnto them: and they shall feare and tremble for all the goodnes, and for all the wealth, that I shew vnto this citie.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 10] Thus sayth the Lord, Againe there shalbe heard in this place (which ye say shalbe desolate, without man, and without beast, euen in the cities of Iudah, and in the streetes of Ierusalem, that are desolate without man, and without inhabitant, and without beast)
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 11] The voyce of ioy and the voyce of gladnes, the voyce of the bridegrome, and the voyce of the bride, the voyce of them that shall say, Prayse the Lord of hostes, because the Lord is good: for his mercy endureth for euer, and of them that offer the sacrifice of prayse in the House of the Lord, for I will cause to returne the captiuitie of the land, as at the first, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 12] Thus sayth the Lord of hostes, Againe in this place, which is desolate, without man, and without beast, and in all the cities thereof there shall be dwelling for shepheards to rest their flockes.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 13] In the cities of the mountaines, in the cities in the plaine, and in the cities of the South, and in the land of Beniamin, and about Ierusalem, and in the cities of Iudah shall the sheepe passe againe, vnder the hand of him that telleth them, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 14] Beholde, the dayes come, sayth the Lord, that I wil performe that good thing, which I haue promised vnto the house of Israel, and to the house of Iudah.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 15] In those dayes and at that time, wil I cause the branch of righteousnesse to growe vp vnto Dauid, and he shall execute iudgement, and righteousnes in the land.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 16] In those dayes shall Iudah be saued, and Ierusalem shall dwell safely, and hee that shall call her, is the Lord our righteousnesse.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 17] For thus sayth the Lord, Dauid shall neuer want a man to sit vpon the throne of the house of Israel.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 18] Neither shall the Priests and Leuites want a man before me to offer burnt offerings, and to offer meat offerings, and to doe sacrifice continually.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 19] And the worde of the Lord came vnto Ieremiah, saying,
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 20] Thus sayth the Lord, If you can breake my couenant of the day, and my couenant of the night, that there should not be day, and night in their season,
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 21] Then may my couenant be broken with Dauid my seruant, that he should not haue a sonne to reigne vpon his throne, and with the Leuites, and Priests my ministers.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 22] As the army of heauen can not be nombred, neither the sand of the sea measured: so wil I multiplie the seede of Dauid my seruant, and the Leuites, that minister vnto me.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 23] Moreouer, the worde of the Lord came to Ieremiah, saying,
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 24] Considerest thou not what this people haue spoken, saying, The two families, which the Lord hath chosen, hee hath euen cast them off? thus they haue despised my people, that they should be no more a nation before them.
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 25] Thus sayth the Lord, If my couenant be not with day and night, and if I haue not appointed the order of heauen and earth,
[GNV | EN | OT | Jeremiah | Chapter 33 | Verse 26] Then will I cast away the seede of Iaakob and Dauid my seruant, and not take of his seede to be rulers ouer the seede of Abraham, Izhak, and Iaakob: for I wil cause their captiuitie to returne, and haue compassion on them.
