[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 1] The woordes that came to Ieremiah from the Lord, saying,
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 2] Stand in the gate of the Lordes house and crie this woorde there, and say, Heare the woorde of the Lord, all yee of Iudah that enter in at these gates to worship the Lord.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 3] Thus sayeth the Lord of hostes, the God of Israel, Amend your waies and your woorkes, and I will let you dwell in this place.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 4] Trust not in lying woordes, saying, The Temple of the Lord, the Temple of the Lord: this is the Temple of the Lord.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 5] For if you amende and redresse your waies and your woorkes: if you execute iudgement betweene a man and his neighbour,
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 6] And oppresse not the stranger, the fatherlesse and the widow and shed no innocent blood in this place, neither walke after other gods to your destruction,
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 7] Then will I let you dwell in this place in the lande that I gaue vnto your fathers, for euer and euer.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 8] Beholde, you trust in lying woordes, that can not profite.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 9] Will you steale, murder, and commit adulterie, and sweare falsely and burne incense vnto Baal, and walke after other gods whome yee knowe not?
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 10] And come and stande before mee in this House, whereupon my Name is called, and saye, We are deliuered, though we haue done all these abominations?
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 11] Is this House become a denne of theeues, whereupon my Name is called before your eyes? Beholde, euen I see it, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 12] But go ye nowe vnto my place which was in Shilo, where I set my Name at the beginning, and beholde, what I did to it for the wickednesse of my people Israel.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 13] Therefore nowe because yee haue done all these woorkes, sayeth the Lord, (and I rose vp earely and spake vnto you: but when I spake, yee would not heare me, neither when I called, would yee answere).
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 14] Therefore will I do vnto this House, wherupon my Name is called, wherein also yee trust, euen vnto the place that I gaue to you and to your fathers, as I haue done vnto Shilo.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 15] And I will cast you out of my sight, as I haue cast out all your brethren, euen the whole seede of Ephraim.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 16] Therfore thou shalt not pray for this people, neither lift vp crie or praier for them neither intreat me, for I will not heare thee.
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 17] Seest thou not what they doe in the cities of Iudah and in the streetes of Ierusalem?
[GNV | EN | OT | Jeremiah | Chapter 7 | Verse 18] The children gather wood, and the fathers kindle the fire, and the women knede the dough to make cakes to the Queene of heauen and to powre out drinke offrings vnto other gods, that they may prouoke me vnto anger.
