[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 1] Thus sayth the Lord vnto mee, Goe, and buy thee a linen girdle, and put it vpon thy loynes, and put it not in water.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 2] So I bought the girdle according to the commandement of the Lord, and put it vpon my loynes.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 3] And the worde of the Lord came vnto me the second time, saying,
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 4] Take the girdle that thou hast bought, which is vpon thy loynes, and arise, goe towarde Perath, and hide it there in the cleft of the rocke.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 5] So I went, and hid it by Perath, as the Lord had commanded me.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 6] And after many dayes, the Lord sayde vnto mee, Arise, goe towarde Perath, and take the girdle from thence, which I commanded thee to hide there.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 7] Then went I to Perath, and digged, and tooke the girdle from the place where I had hid it, and behold, the girdle was corrupt, and was profitable for nothing.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 8] Then the word of the Lord came vnto me, saying,
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 9] Thus sayth the Lord, After this maner will I destroy the pride of Iudah, and the great pride of Ierusalem.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 10] This wicked people haue refused to heare my word, and walke after ye stubbernesse of their owne heart, and walke after other gods to serue them, and to worship them: therefore they shalbe as this girdle, which is profitable to nothing.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 11] For as the girdle cleaueth to the loynes of a man, so haue I tied to me the whole house of Israel, and the whole house of Iudah, saith the Lord, that they might bee my people: that they might haue a name and prayse, and glory, but they would not heare.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 12] Therefore thou shalt saye vnto them this word, Thus sayth the Lord God of Israel, Euery bottell shalbe filled with wine, and they shall say vnto thee, Doe we not knowe that euery bottell shalbe filled with wine?
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 13] Then shalt thou say vnto them, Thus saith the Lord, Behold, I will fill all the inhabitants of this land, euen the Kings that sit vpon the throne of Dauid, and the Priestes and the Prophets and all the inhabitantes of Ierusalem with drunkennesse.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 14] And I wil dash them one against another, euen the fathers and the sonnes together, sayeth the Lord: I will not spare, I will not pitie nor haue compassion, but destroy them.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 15] Heare and giue eare, be not proude: for the Lord hath spoken it.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 16] Giue glory to the Lord your God before he bring darknes, and or euer your feete stumble in the darke mountaines, and whiles you look for light, he turne it into the shadowe of death and make it as darkenesse.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 17] But if ye will not heare this, my soule shall weepe in secrete for your pride, and mine eye shall weepe and drop downe teares, because the Lords flocke is caried away captiue.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 18] Say vnto the King and to the Queene, Humble yourselues, sit downe, for the crowne of your glory shall come downe from your heads.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 19] The cities of the South shall be shut vp, and no man shall open them: all Iudah shall be caried away captiue: it shall be wholy caried away captiue.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 20] Lift vp your eyes and beholde them that come from the North: where is the flocke that was giuen thee, euen thy beautifull flocke?
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 21] What wilt thou saye, when hee shall visite thee? (for thou hast taught them to be captaines and as chiefe ouer thee) shall not sorow take thee as a woman in trauaile?
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 22] And if thou say in thine heart, Wherefore come these things vpon me? For the multitude of thine iniquities are thy skirts discouered and thy heeles made bare.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 23] Can the blacke More change his skin? or the leopard his spots? then may ye also do good, that are accustomed to do euill.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 24] Therefore will I scatter them, as the stubble that is taken away with the South winde.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 25] This is thy portion, and ye part of thy measures from me, sayth the Lord, because thou hast forgotten me and trusted in lyes.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 26] Therefore I haue also discouered thy skirts vpon thy face, that thy shame may appeare.
[GNV | EN | OT | Jeremiah | Chapter 13 | Verse 27] I haue seene thine adulteries, and thy neiings, the filthinesse of thy whoredome on the hils in the fieldes, and thine abominations. Wo vnto thee, O Ierusalem: wilt thou not bee made cleane? when shall it once be?
