[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 1] Moreover, the woorde of the Lord came vnto me, saying,
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 2] Goe, and crie in the eares of Ierusalem, saying, Thus sayeth the Lord, I remember thee, with the kindenes of thy youth and the loue of thy marriage, when thou wentest after me in the wildernes in a lande that was not sowen.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 3] Israel was as a thing halowed vnto the Lord, and his first fruits: all they that eat it, shall offend: euil shall come vpon them, saith the Lord.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 4] Heare ye the word of the Lord, O house of Iaakob, and all the families of the house of Israel.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 5] Thus sayeth the Lord, What iniquitie haue your fathers founde in mee, that they are gone farre from mee, and haue walked after vanitie, and are become vaine?
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 6] For they saide not, Where is the Lord that brought vs vp out of the lande of Egypt? that led vs through the wildernesse, through a desert, and waste land, through a drie land, and by the shadow of death, by a land that no man passed through, and where no man dwelt?
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 7] And I brought you into a plentifull countrey, to eat the fruit thereof, and the commodities of the same: but when yee entred, yee defiled my land, and made mine heritage an abomination.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 8] The priests said not, Where is the Lord? and they that should minister the Lawe, knewe me not: the pastours also offended against me, and the Prophets prophesied in Baal, and went after things that did not profite.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 9] Wherefore I wil yet plead with you, saith the Lord, and I will pleade with your childrens children.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 10] For goe ye to the yles of Chittim, and beholde, and sende vnto Kedar. and take diligent heede, and see whether there be such things.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 11] Hath any nation changed their gods, which yet are no gods? but my people haue chaged their glorie, for that which doeth not profite.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 12] O yee heauens, be astonied at this: bee afraid and vtterly confounded, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 13] For my people haue committed two euils: they haue forsaken mee the fountaine of liuing waters, to digge them pittes, euen broken pittes, that can holde no water.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 14] Is Israel a seruaunt, or is hee borne in the house? why then is he spoiled?
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 15] The lions roared vpon him and yelled, and they haue made his land waste: his cities are burnt without an inhabitant.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 16] Also the children of Noph and Tahapanes haue broken thine head.
[GNV | EN | OT | Jeremiah | Chapter 2 | Verse 17] Hast not thou procured this vnto thy selfe, because thou hast forsaken the Lord thy God, when he led thee by the way?
