[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 1] Unto the children of Ammon thus saith the Lord, Hath Israel no sonnes? or hath he none heire? Why then hath their king possessed God? and his people dwelt in his cities?
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 2] Therefore beholde the dayes come, sayeth the Lord, that I will cause a noyse of warre to be heard in Rabbah of the Ammonites, and it shall be a desolate heape, and her daughters shall be burnt with fire: then shall Israel possesse those that possessed him, sayeth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 3] Howle, O Heshbon, for Ai is wasted: crie ye daughters of Rabbah: girde you with sackecloth: mourne and runne to and from by the hedges: for their King shall goe into captiuitie; and his Priestes, and his princes likewise.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 4] Wherefore gloriest thou in the valleis? thy valley floweth away, O rebellious daughter: she trusted in her treasures, saying, Who shall come vnto me?
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 5] Beholde, I will bring a feare vpon thee, sayth the Lord God of hostes, of all those that be about thee, and ye shalbe scattered euery man right foorth, and none shall gather him that fleeth.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 6] And afterward I will bring againe the captiuitie of the children of Ammon.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 7] To Edom thus sayeth the Lord of hostes: Is wisdome no more in Teman? is counsel perished from their children? is their wisdome vanished?
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 8] Flee, ye inhabitants of Dedan (they are turned backe, and haue consulted to dwell) for I haue brought the destruction of Esau vpon him, and the time of his visitation.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 9] If the grape gatherers come to thee, would they not leaue some grapes? if theeues come by night, they will destroy till they haue ynough.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 10] For I haue discouered Esau: I haue vncouered his secrets, and he shall not be able to hide himselfe: his seede is wasted, and his brethren and his neighbours, and there shall be none to say,
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 11] Leaue thy fathers children, and I will preserue them aliue, and let thy widowes trust in me.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 12] For thus sayth the Lord, Beholde, they whose iudgement was not to drinke of the cuppe, haue assuredly drunken, and art thou he that shall escape free? thou shalt not goe free, but thou shalt surely drinke of it.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 13] For I haue sworne by my selfe, sayeth the Lord, that Bozrah shall be waste, and for a reproche, and a desolation, and a curse, and all the cities thereof shall be perpetuall desolations.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 14] I haue heard a rumour from the Lord, and an ambassadour is sent vnto the heathen, saying, Gather you together, and come against her, and rise vp to the battell.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 15] For loe, I will make thee but small among the heathen, and despised among men.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 16] Thy feare, and ye pride of thine heart hath deceiued thee, thou that dwellest in the cleftes of the rocke, and keepest the height of ye hil: though thou shouldest make thy nest as hie as the eagle, I wil bring thee downe from thece, sayth the Lord.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 17] Also Edom shall be desolate: euery one that goeth by it, shall be astonished, and shall hisse at all the plagues thereof,
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 18] As in the ouerthrowe of Sodom, and of Gomorah, and the places thereof neere about, saieth the Lord: no man shall dwell there, neither shall the sonnes of men remaine in it.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 19] Beholde, hee shall come vp like a lyon from the swelling of Iorden vnto the strong dwelling place: for I will make Israel to rest, euen I will make him to haste away from her, and who is a chosen man that I may appoynt against her? for who is like mee? and who will appoint me the time? and who is the shepheard that will stande before me?
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 20] Therefore heare the counsell of the Lord that hee hath deuised against Edom, and his purpose that hee hath conceiued against the inhabitants of Teman: surely the least of the flocke shall drawe them out: surely he shall make their habitations desolate with them.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 21] The earth is mooued at the noyse of their fall: the crie of their voice is heard in the red Sea.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 22] Behold, he shall come vp, and flie as the Egle, and spreade his wings ouer Bozrah, and at that day shall the heart of the strong men of Edome be as the heart of a woman in trauaile.
[GNV | EN | OT | Jeremiah | Chapter 49 | Verse 23] Vnto Damascus he sayeth, Hamath is confounded and Arpad, for they haue heard euill tidings, and they are faint hearted as one on the fearefull sea that can not rest.
