[IRV | PA | OT | Amos | Chapter 6 | Verse 1] “ਹਾਏ ਉਹਨਾਂ ਉੱਤੇ ਜੋ ਸੀਯੋਨ ਵਿੱਚ ਅਰਾਮ ਨਾਲ ਰਹਿੰਦੇ ਹਨ! ਅਤੇ ਉਹਨਾਂ ਉੱਤੇ ਜਿਹੜੇ ਸਾਮਰਿਯਾ ਦੇ ਪਰਬਤ ਉੱਤੇ ਚੈਨ ਨਾਲ ਰਹਿੰਦੇ ਹਨ! ਜਿਹੜੇ ਖ਼ਾਸ ਕੌਮਾਂ ਵਿੱਚ ਪ੍ਰਸਿੱਧ ਹਨ, ਜਿਨ੍ਹਾਂ ਦੇ ਕੋਲ ਇਸਰਾਏਲ ਦਾ ਘਰਾਣਾ ਆਉਂਦਾ ਹੈ।
[IRV | PA | OT | Amos | Chapter 6 | Verse 2] ਕਲਨੇਹ ਸ਼ਹਿਰ ਨੂੰ ਜਾਓ ਅਤੇ ਵੇਖੋ, ਅਤੇ ਉੱਥੋਂ ਮਹਾਨ ਸ਼ਹਿਰ ਹਮਾਥ ਨੂੰ ਜਾਓ, ਫੇਰ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਗਥ ਸ਼ਹਿਰ ਨੂੰ ਜਾਓ, ਭਲਾ, ਉਹ ਇਹਨਾਂ ਰਾਜਾਂ ਨਾਲੋਂ ਚੰਗੇ ਹਨ? ਕੀ ਉਹਨਾਂ ਦੀ ਹੱਦ ਤੁਹਾਡੇ ਦੇਸ਼ ਦੀ ਹੱਦ ਨਾਲੋਂ ਵੱਡੀ ਹੈ?
[IRV | PA | OT | Amos | Chapter 6 | Verse 3] ਤੁਸੀਂ ਜੋ ਬਿਪਤਾ ਦਾ ਦਿਨ ਦੂਰ ਕਰਦੇ ਹੋ ਅਤੇ ਜ਼ੁਲਮ ਦੀ ਗੱਦੀ ਨੂੰ ਨੇੜੇ ਲੈ ਆਉਂਦੇ ਹੋ!
[IRV | PA | OT | Amos | Chapter 6 | Verse 4] “ਤੁਸੀਂ ਜੋ ਹਾਥੀ ਦੰਦ ਦੇ ਪਲੰਘਾਂ ਉੱਤੇ ਲੇਟਦੇ ਹੋ ਅਤੇ ਆਪਣੇ ਵਿਛਾਉਣਿਆਂ ਉੱਤੇ ਲੰਮੇ ਪੈਂਦੇ ਹੋ ਅਤੇ ਇੱਜੜ ਦੇ ਲੇਲੇ ਅਤੇ ਚੌਣੇ ਵਿੱਚੋਂ ਵੱਛੇ ਖਾਂਦੇ ਹੋ!
[IRV | PA | OT | Amos | Chapter 6 | Verse 5] ਤੁਸੀਂ ਰਬਾਬ ਨਾਲ ਬੇਸੁਰੇ ਗੀਤ ਗਾਉਂਦੇ ਅਤੇ ਦਾਊਦ ਦੀ ਤਰ੍ਹਾਂ ਆਪਣੇ ਲਈ ਵਜਾਉਣ ਦੇ ਸਾਜ਼ ਕੱਢਦੇ ਹੋ,
[IRV | PA | OT | Amos | Chapter 6 | Verse 6] ਤੁਸੀਂ ਪਿਆਲਿਆਂ ਵਿੱਚ ਮਧ ਪੀਂਦੇ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਖ਼ਾਲਸ ਤੇਲ ਨਾਲ ਮਲਦੇ ਹੋ, ਪਰ ਯੂਸੁਫ਼ ਦੀ ਤਬਾਹੀ ਉੱਤੇ ਅਫ਼ਸੋਸ ਨਹੀਂ ਕਰਦੇ!
[IRV | PA | OT | Amos | Chapter 6 | Verse 7] ਇਸ ਲਈ ਹੁਣ ਉਹ ਗ਼ੁਲਾਮੀ ਵਿੱਚ ਪਹਿਲਾਂ ਜਾਣਗੇ ਅਤੇ ਜੋ ਲੰਮੇ ਪੈ ਕੇ ਸੌਂਦੇ ਸਨ, ਉਨ੍ਹਾਂ ਦਾ ਭੋਗ-ਵਿਲਾਸ ਮੁੱਕ ਜਾਵੇਗਾ।”
[IRV | PA | OT | Amos | Chapter 6 | Verse 8] ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਨੇ ਆਪਣੀ ਹੀ ਸਹੁੰ ਖਾਧੀ ਹੈ, ਸੈਨਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, “ਮੈਂ ਯਾਕੂਬ ਦੇ ਹੰਕਾਰ ਤੋਂ ਘਿਰਣਾ ਕਰਦਾ ਹਾਂ ਅਤੇ ਉਸ ਦੇ ਗੜ੍ਹਾਂ ਤੋਂ ਵੈਰ ਰੱਖਦਾ ਹਾਂ, ਇਸ ਲਈ ਮੈਂ ਸ਼ਹਿਰ ਅਤੇ ਜੋ ਕੁਝ ਉਸ ਵਿੱਚ ਹੈ, ਸਭ ਵੈਰੀ ਦੇ ਹਵਾਲੇ ਕਰ ਦਿਆਂਗਾ।”
[IRV | PA | OT | Amos | Chapter 6 | Verse 9] ਜੇਕਰ ਇੱਕ ਘਰ ਵਿੱਚ ਦਸ ਮਨੁੱਖ ਬਾਕੀ ਰਹਿ ਜਾਣ, ਤਾਂ ਉਹ ਵੀ ਮਰ ਜਾਣਗੇ,
[IRV | PA | OT | Amos | Chapter 6 | Verse 10] ਫਿਰ ਜਦ ਉਸ ਦਾ ਰਿਸ਼ਤੇਦਾਰ ਜੋ ਉਸ ਨੂੰ ਸਾੜਨ ਵਾਲਾ ਹੈ, ਉਸ ਨੂੰ ਚੁੱਕਣ ਲਈ ਆਵੇ ਤਾਂ ਜੋ ਉਸ ਦੀਆਂ ਹੱਡੀਆਂ ਨੂੰ ਘਰ ਤੋਂ ਬਾਹਰ ਲੈ ਜਾਵੇ ਅਤੇ ਉਸ ਨੂੰ ਜੋ ਘਰ ਦੇ ਅੰਦਰਲੇ ਹਿੱਸੇ ਵਿੱਚ ਹੈ ਪੁੱਛੇ, “ਕੀ ਤੇਰੇ ਨਾਲ ਕੋਈ ਹੋਰ ਵੀ ਹੈ?” ਅਤੇ ਉਹ ਆਖੇ, ਨਹੀਂ, ਤਾਂ ਉਹ ਆਖੇਗਾ, “ਚੁੱਪ ਰਹਿ! ਕਿਉਂ ਜੋ ਸਾਨੂੰ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਦਾ ਜ਼ਿਕਰ ਨਹੀਂ ਕਰਨਾ ਚਾਹੀਦਾ!”
[IRV | PA | OT | Amos | Chapter 6 | Verse 11] ਕਿਉਂਕਿ ਯਹੋਵਾਹ ਨੇ ਹੁਕਮ ਦਿੱਤਾ ਹੈ, ਵੱਡਾ ਘਰ ਛੇਕਾਂ ਨਾਲ ਅਤੇ ਛੋਟਾ ਘਰ ਦਰਾਰਾਂ ਨਾਲ ਮਾਰਿਆ ਜਾਵੇਗਾ।
[IRV | PA | OT | Amos | Chapter 6 | Verse 12] ਭਲਾ, ਘੋੜੇ ਚੱਟਾਨਾਂ ਉੱਤੇ ਦੌੜਦੇ ਹਨ? ਕੀ ਲੋਕ ਬਲ਼ਦਾਂ ਨਾਲ ਉੱਥੇ ਹਲ ਵਾਹੁੰਦੇ ਹਨ? ਪਰ ਤੁਸੀਂ ਨਿਆਂ ਨੂੰ ਜ਼ਹਿਰ ਨਾਲ ਅਤੇ ਧਰਮ ਦੇ ਫਲ ਨੂੰ ਕੁੜੱਤਣ ਨਾਲ ਬਦਲ ਦਿੱਤਾ!
[IRV | PA | OT | Amos | Chapter 6 | Verse 13] ਤੁਸੀਂ ਜੋ ਖ਼ਿਆਲੀ ਗੱਲਾਂ ਉੱਤੇ ਅਨੰਦ ਹੁੰਦੇ ਹੋ ਅਤੇ ਕਹਿੰਦੇ ਹੋ, “ਕੀ ਅਸੀਂ ਆਪਣੇ ਹੀ ਬਲ ਨਾਲ ਸ਼ਕਤੀਸ਼ਾਲੀ ਨਹੀਂ ਹੋ ਗਏ?”
[IRV | PA | OT | Amos | Chapter 6 | Verse 14] ਇਸ ਕਾਰਨ, ਸੈਨਾਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, “ਵੇਖ, ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ, ਮੈਂ ਤੁਹਾਡੇ ਵਿਰੁੱਧ ਇੱਕ ਕੌਮ ਨੂੰ ਉਠਾਵਾਂਗਾ ਜਿਹੜੀ ਹਮਾਥ ਦੇ ਪ੍ਰਵੇਸ਼ ਤੋਂ ਲੈ ਕੇ ਅਰਾਬਾਹ ਦੀ ਨਦੀ ਤੱਕ ਤੁਹਾਨੂੰ ਸਤਾਏਗੀ।”
