[IRV | PA | OT | Amos | Chapter 2 | Verse 1] ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, “ਮੋਆਬ ਦੇ ਤਿੰਨ ਅਪਰਾਧਾਂ ਦੇ ਕਾਰਨ, ਸਗੋਂ ਚਾਰ ਦੇ ਕਾਰਨ ਮੈਂ ਸਜ਼ਾ ਦੇਣ ਤੋਂ ਨਹੀਂ ਮੁੜਾਂਗਾ, ਕਿਉਂ ਜੋ ਉਹ ਨੇ ਅਦੋਮ ਦੇ ਰਾਜੇ ਦੀਆਂ ਹੱਡੀਆਂ ਨੂੰ ਸਾੜ ਕੇ ਚੂਨਾ ਕਰ ਦਿੱਤਾ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 2] ਇਸ ਲਈ ਮੈਂ ਮੋਆਬ ਉੱਤੇ ਅੱਗ ਭੇਜਾਂਗਾ ਅਤੇ ਉਹ ਕਰੀਯੋਥ ਸ਼ਹਿਰ ਦੇ ਗੜ੍ਹਾਂ ਨੂੰ ਭਸਮ ਕਰੇਗੀ ਅਤੇ ਮੋਆਬ ਚੀਕ-ਚਿਹਾੜੇ ਨਾਲ ਅਤੇ ਯੁੱਧ ਦੀ ਲਲਕਾਰ ਅਤੇ ਤੁਰ੍ਹੀ ਦੀ ਵੱਡੀ ਅਵਾਜ਼ ਨਾਲ ਮਰ ਜਾਵੇਗਾ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 3] ਮੈਂ ਉਹ ਦੇ ਵਿੱਚੋਂ ਨਿਆਈਂ ਵੱਢ ਸੁੱਟਾਂਗਾ ਅਤੇ ਉਸ ਦੇ ਨਾਲ ਉਹ ਦੇ ਸਾਰੇ ਹਾਕਮਾਂ ਨੂੰ ਵੀ ਕਤਲ ਕਰਾਂਗਾ,” ਯਹੋਵਾਹ ਦੀ ਇਹੋ ਬਾਣੀ ਹੈ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 4] ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, “ਯਹੂਦਾਹ ਨਗਰ ਦੇ ਤਿੰਨ ਅਪਰਾਧਾਂ ਦੇ ਕਾਰਨ, ਸਗੋਂ ਚਾਰ ਦੇ ਕਾਰਨ ਮੈਂ ਸਜ਼ਾ ਦੇਣ ਤੋਂ ਨਹੀਂ ਮੁੜਾਂਗਾ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਨੇ ਯਹੋਵਾਹ ਦੀ ਬਿਵਸਥਾ ਨੂੰ ਤੁੱਛ ਜਾਣਿਆ ਅਤੇ ਉਸ ਦੀਆਂ ਬਿਧੀਆਂ ਦੀ ਪਾਲਨਾ ਨਹੀਂ ਕੀਤੀ ਅਤੇ ਉਹਨਾਂ ਦੇ ਝੂਠੇ ਦੇਵਤਿਆਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਭਟਕਾ ਦਿੱਤਾ, ਜਿਨ੍ਹਾਂ ਦੇ ਪਿੱਛੇ ਉਹਨਾਂ ਦੇ ਪੁਰਖੇ ਵੀ ਚਲਦੇ ਸਨ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 5] ਮੈਂ ਯਹੂਦਾਹ ਨਗਰ ਉੱਤੇ ਅੱਗ ਭੇਜਾਂਗਾ ਜੋ ਯਰੂਸ਼ਲਮ ਦੇ ਗੜ੍ਹਾਂ ਨੂੰ ਭਸਮ ਕਰੇਗੀ।”
[IRV | PA | OT | Amos | Chapter 2 | Verse 6] ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, “ਇਸਰਾਏਲ ਦੇ ਤਿੰਨ ਅਪਰਾਧਾਂ ਦੇ ਕਾਰਨ, ਸਗੋਂ ਚਾਰ ਦੇ ਕਾਰਨ ਮੈਂ ਸਜ਼ਾ ਦੇਣ ਤੋਂ ਨਹੀਂ ਮੁੜਾਂਗਾ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਨੇ ਧਰਮੀ ਨੂੰ ਚਾਂਦੀ ਲਈ ਅਤੇ ਕੰਗਾਲ ਨੂੰ ਜੁੱਤੀਆਂ ਦੇ ਇੱਕ ਜੋੜੇ ਲਈ ਵੇਚ ਦਿੱਤਾ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 7] ਉਹ ਗਰੀਬਾਂ ਦੇ ਸਿਰ ਦੀ ਸਿੱਕਰੀ ਦਾ ਵੀ ਲਾਲਚ ਕਰਦੇ ਹਨ ਅਤੇ ਉਹ ਕੁਚਲੇ ਹੋਇਆਂ ਨੂੰ ਰਾਹ ਤੋਂ ਹਟਾ ਦਿੰਦੇ ਹਨ, ਪਿਉ ਅਤੇ ਪੁੱਤਰ ਇੱਕੋ ਹੀ ਕੁੜੀ ਦੇ ਕੋਲ ਜਾਂਦੇ ਹਨ, ਤਾਂ ਜੋ ਉਹ ਮੇਰੇ ਪਵਿੱਤਰ ਨਾਮ ਨੂੰ ਭਰਿਸ਼ਟ ਕਰਨ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 8] ਉਹ ਹਰ ਜਗਵੇਦੀ ਕੋਲ ਗਿਰਵੀ ਰੱਖੇ ਹੋਏ ਬਸਤਰਾਂ ਉੱਤੇ ਲੇਟਦੇ ਹਨ ਅਤੇ ਜੁਰਮਾਨੇ ਦੇ ਪੈਸਿਆਂ ਨਾਲ ਖਰੀਦੀ ਹੋਈ ਮਧ ਆਪਣੇ ਦੇਵਤਿਆਂ ਦੇ ਭਵਨ ਵਿੱਚ ਪੀਂਦੇ ਹਨ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 9] “ਮੈਂ ਅਮੋਰੀਆਂ ਨੂੰ ਉਹਨਾਂ ਦੇ ਸਾਹਮਣੇ ਬਰਬਾਦ ਕੀਤਾ, ਜਿਨ੍ਹਾਂ ਦਾ ਕੱਦ ਦਿਆਰਾਂ ਦੇ ਕੱਦ ਵਰਗਾ ਸੀ ਅਤੇ ਜਿਹੜੇ ਬਲੂਤਾਂ ਵਾਂਗੂੰ ਬਲਵਾਨ ਸਨ, ਫਿਰ ਵੀ ਮੈਂ ਉੱਪਰੋਂ ਉਨ੍ਹਾਂ ਦਾ ਫਲ ਅਤੇ ਹੇਠੋਂ ਉਨ੍ਹਾਂ ਦੀਆਂ ਜੜ੍ਹਾਂ ਨੂੰ ਨਾਸ ਕੀਤਾ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 10] ਮੈਂ ਤੁਹਾਨੂੰ ਮਿਸਰ ਦੇਸ਼ ਤੋਂ ਕੱਢ ਲਿਆਇਆ ਅਤੇ ਚਾਲ੍ਹੀ ਸਾਲਾਂ ਤੱਕ ਜੰਗਲ ਵਿੱਚ ਲਈ ਫਿਰਿਆ ਤਾਂ ਜੋ ਤੁਸੀਂ ਅਮੋਰੀਆਂ ਦੇ ਦੇਸ਼ ਦੇ ਅਧਿਕਾਰੀ ਹੋ ਜਾਓ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 11] ਮੈਂ ਤੁਹਾਡੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਨਬੀ ਅਤੇ ਤੁਹਾਡੇ ਜਵਾਨਾਂ ਵਿੱਚੋਂ ਨਜ਼ੀਰ ਠਹਿਰਾਏ। ਹੇ ਇਸਰਾਏਲੀਓ, ਕੀ ਇਹ ਸੱਚ ਨਹੀਂ ਹੈ?” ਯਹੋਵਾਹ ਦੀ ਇਹੋ ਬਾਣੀ ਹੈ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 12] ਪਰ ਤੁਸੀਂ ਨਜ਼ੀਰਾਂ ਨੂੰ ਮਧ ਪਿਲਾਈ ਅਤੇ ਨਬੀਆਂ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ, ਭਵਿੱਖਬਾਣੀ ਨਾ ਕਰੋ!
[IRV | PA | OT | Amos | Chapter 2 | Verse 13] “ਵੇਖੋ, ਮੈਂ ਤੁਹਾਨੂੰ ਅਜਿਹਾ ਦਬਾਵਾਂਗਾ, ਜਿਵੇਂ ਪੂਲਿਆਂ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਗੱਡਾ ਦੱਬ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 14] ਤੇਜ਼ ਦੌੜਨ ਵਾਲਿਆਂ ਨੂੰ ਭੱਜਣ ਲਈ ਸਥਾਨ ਨਾ ਮਿਲੇਗਾ ਅਤੇ ਬਲਵਾਨ ਦਾ ਬਲ ਕਾਇਮ ਨਾ ਰਹੇਗਾ ਅਤੇ ਸੂਰਮਾ ਆਪਣੀ ਜਾਨ ਨਾ ਬਚਾ ਸਕੇਗਾ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 15] ਧਣੁੱਖਧਾਰੀ ਖੜ੍ਹਾ ਨਾ ਰਹਿ ਸਕੇਗਾ, ਤੇਜ਼ ਦੌੜਨ ਵਾਲਾ ਨਾ ਬਚ ਸਕੇਗਾ, ਨਾ ਹੀ ਘੋੜ ਸਵਾਰ ਆਪਣੀ ਜਾਨ ਬਚਾ ਸਕੇਗਾ।
[IRV | PA | OT | Amos | Chapter 2 | Verse 16] ਸੂਰਮਿਆਂ ਵਿੱਚੋਂ ਸਭ ਤੋਂ ਦਲੇਰ ਉਸ ਦਿਨ ਨੰਗਾ ਭੱਜ ਜਾਵੇਗਾ,” ਯਹੋਵਾਹ ਦੀ ਇਹੋ ਬਾਣੀ ਹੈ।
