[IRV | PA | OT | Amos | Chapter 5 | Verse 1] ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ, ਇਨ੍ਹਾਂ ਬਚਨਾਂ ਨੂੰ ਸੁਣੋ, ਜਿਹੜੇ ਮੈਂ ਤੁਹਾਡੇ ਲਈ ਵਿਰਲਾਪ ਕਰਕੇ ਕਹਿੰਦਾ ਹਾਂ,
[IRV | PA | OT | Amos | Chapter 5 | Verse 2] “ਇਸਰਾਏਲ ਦੀ ਕੁਆਰੀ ਡਿੱਗ ਪਈ, ਉਹ ਫੇਰ ਨਾ ਉੱਠ ਸਕੇਗੀ, ਉਹ ਆਪਣੀ ਭੂਮੀ ਉੱਤੇ ਤਿਆਗ ਦਿੱਤੀ ਗਈ ਹੈ, ਉਸ ਨੂੰ ਚੁੱਕਣ ਵਾਲਾ ਕੋਈ ਨਹੀਂ।”
[IRV | PA | OT | Amos | Chapter 5 | Verse 3] ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, “ਜਿਸ ਸ਼ਹਿਰ ਵਿੱਚੋਂ ਹਜ਼ਾਰ ਨਿੱਕਲਦੇ ਸਨ, ਉੱਥੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਦੇ ਸੌ ਰਹਿ ਜਾਣਗੇ, ਅਤੇ ਜਿਸ ਵਿੱਚੋਂ ਸੌ ਨਿੱਕਲਦੇ ਸਨ, ਉੱਥੇ ਦਸ ਹੀ ਰਹਿ ਜਾਣਗੇ।”
[IRV | PA | OT | Amos | Chapter 5 | Verse 4] ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਨੂੰ ਇਹ ਆਖਦਾ ਹੈ, ਮੇਰੀ ਖੋਜ ਕਰੋ ਤਾਂ ਜੀਉਂਦੇ ਰਹੋਗੇ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 5] ਪਰ ਬੈਤਏਲ ਦੀ ਖੋਜ਼ ਨਾ ਕਰੋ, ਨਾ ਗਿਲਗਾਲ ਵਿੱਚ ਵੜੋ, ਨਾ ਬਏਰਸ਼ਬਾ ਨੂੰ ਜਾਓ, ਕਿਉਂ ਜੋ ਗਿਲਗਾਲ ਜ਼ਰੂਰ ਹੀ ਗ਼ੁਲਾਮੀ ਵਿੱਚ ਜਾਵੇਗਾ ਅਤੇ ਬੈਤਏਲ ਮੁੱਕ ਜਾਵੇਗਾ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 6] ਯਹੋਵਾਹ ਦੀ ਖੋਜ ਕਰੋ ਤਾਂ ਤੁਸੀਂ ਜੀਉਂਦੇ ਰਹੋਗੇ! ਕਿਤੇ ਉਹ ਅੱਗ ਵਾਂਗੂੰ ਯੂਸੁਫ਼ ਦੇ ਘਰਾਣੇ ਉੱਤੇ ਭੜਕ ਉੱਠੇ ਅਤੇ ਉਸ ਨੂੰ ਭਸਮ ਕਰੇ ਅਤੇ ਬੈਤਏਲ ਵਿੱਚ ਕੋਈ ਉਸ ਨੂੰ ਬੁਝਾਉਣ ਵਾਲਾ ਨਾ ਹੋਵੇਗਾ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 7] ਤੁਸੀਂ ਜਿਹੜੇ ਨਿਆਂ ਨੂੰ ਕੁੜੱਤਣ ਵਿੱਚ ਬਦਲਦੇ ਹੋ ਅਤੇ ਧਰਮ ਨੂੰ ਮਿੱਟੀ ਵਿੱਚ ਮਿਲਾਉਂਦੇ ਹੋ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 8] ਉਹ ਜੋ ਕੱਚ ਪਚਿਆ ਅਤੇ ਤਾਰਾ-ਮੰਡਲ ਦਾ ਬਣਾਉਣ ਵਾਲਾ ਹੈ, ਜੋ ਘਣਘੋਰ ਹਨੇਰੇ ਨੂੰ ਪ੍ਰਭਾਤ ਦੇ ਚਾਨਣ ਵਿੱਚ ਬਦਲ ਦਿੰਦਾ ਹੈ ਅਤੇ ਦਿਨ ਨੂੰ ਹਨੇਰੀ ਰਾਤ ਬਣਾ ਦਿੰਦਾ ਹੈ, ਜੋ ਸਮੁੰਦਰ ਦੇ ਪਾਣੀਆਂ ਨੂੰ ਬੁਲਾਉਂਦਾ ਹੈ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਧਰਤੀ ਉੱਤੇ ਵਹਾਉਂਦਾ ਹੈ, ਉਸਦਾ ਨਾਮ ਯਹੋਵਾਹ ਹੈ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 9] ਜਿਹੜਾ ਛੇਤੀ ਨਾਲ ਬਲਵਾਨ ਦਾ ਵਿਨਾਸ਼ ਕਰ ਦਿੰਦਾ ਹੈ ਅਤੇ ਗੜ੍ਹਾਂ ਨੂੰ ਵੀ ਤਬਾਹ ਕਰ ਦਿੰਦਾ ਹੈ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 10] ਜੋ ਫਾਟਕ ਵਿੱਚ ਤਾੜਨਾ ਦਿੰਦਾ ਹੈ, ਉਸ ਨਾਲ ਉਹ ਵੈਰ ਰੱਖਦੇ ਹਨ ਅਤੇ ਜੋ ਸੱਚ ਬੋਲਦਾ ਹੈ, ਉਸ ਤੋਂ ਉਹ ਘਿਰਣਾ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 11] ਤੁਸੀਂ ਜੋ ਗਰੀਬ ਨੂੰ ਕੁਚਲਦੇ ਹੋ ਅਤੇ ਉਸ ਤੋਂ ਕਣਕ ਦੀ ਵਸੂਲੀ ਜ਼ਬਰਦਸਤੀ ਕਰਦੇ ਹੋ, ਇਸ ਲਈ ਜਿਹੜੇ ਘਰ ਤੁਸੀਂ ਘੜ੍ਹੇ ਹੋਏ ਪੱਥਰਾਂ ਨਾਲ ਬਣਾਏ ਹਨ, ਉਨ੍ਹਾਂ ਵਿੱਚ ਵੱਸ ਨਾ ਸਕੋਗੇ! ਅਤੇ ਜੋ ਸੁਹਾਵਣੇ ਅੰਗੂਰੀ ਬਾਗ਼ ਤੁਸੀਂ ਲਾਏ ਹਨ, ਉਨ੍ਹਾਂ ਦੀ ਮਧ ਨਾ ਪੀ ਸਕੋਗੇ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 12] ਕਿਉਂ ਜੋ ਮੈਂ ਤੁਹਾਡੇ ਬਹੁਤਿਆਂ ਅਪਰਾਧਾਂ ਨੂੰ ਅਤੇ ਤੁਹਾਡੇ ਵੱਡੇ ਪਾਪਾਂ ਨੂੰ ਜਾਣਦਾ ਹਾਂ, ਤੁਸੀਂ ਧਰਮੀ ਨੂੰ ਸਤਾਉਂਦੇ ਹੋ ਅਤੇ ਰਿਸ਼ਵਤ ਲੈਂਦੇ ਹੋ, ਅਤੇ ਫਾਟਕ ਵਿੱਚ ਕੰਗਾਲਾਂ ਦਾ ਹੱਕ ਮਾਰਦੇ ਹੋ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 13] ਇਸ ਲਈ ਜੋ ਸਮਝਦਾਰ ਹੈ, ਉਹ ਅਜਿਹੇ ਸਮੇਂ ਵਿੱਚ ਚੁੱਪ-ਚਾਪ ਰਹੇ, ਕਿਉਂ ਜੋ ਇਹ ਸਮਾਂ ਬੁਰਾ ਹੈ!
[IRV | PA | OT | Amos | Chapter 5 | Verse 14] ਹੇ ਲੋਕੋ, ਭਲਿਆਈ ਦੀ ਖੋਜ ਕਰੋ, ਬੁਰਿਆਈ ਦੀ ਨਹੀਂ, ਤਾਂ ਜੋ ਤੁਸੀਂ ਜੀਉਂਦੇ ਰਹੋ, ਫਿਰ ਜਿਵੇਂ ਤੁਸੀਂ ਕਹਿੰਦੇ ਹੋ ਉਸੇ ਤਰ੍ਹਾਂ ਯਹੋਵਾਹ ਸੈਨਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਡੇ ਅੰਗ-ਸੰਗ ਹੋਵੇਗਾ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 15] ਬੁਰਿਆਈ ਤੋਂ ਘਿਰਣਾ ਕਰੋ ਅਤੇ ਭਲਿਆਈ ਨੂੰ ਪਿਆਰ ਕਰੋ, ਫਾਟਕ ਵਿੱਚ ਨਿਆਂ ਨੂੰ ਸਥਾਪਤ ਕਰੋ, ਕੀ ਜਾਣੀਏ ਸੈਨਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਯੂਸੁਫ਼ ਦੇ ਬਚੇ ਹੋਇਆਂ ਉੱਤੇ ਕਿਰਪਾ ਕਰੇ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 16] ਇਸ ਲਈ ਸੈਨਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, “ਸਾਰੇ ਚੌਕਾਂ ਵਿੱਚ ਰੋਣਾ-ਪਿੱਟਣਾ ਹੋਵੇਗਾ ਅਤੇ ਸਾਰੀਆਂ ਗਲੀਆਂ ਵਿੱਚ ਲੋਕ ਹਾਏ ਹਾਏ! ਕਰਨਗੇ, ਉਹ ਕਿਸਾਨ ਨੂੰ ਸੋਗ ਕਰਨ ਲਈ ਅਤੇ ਵਿਰਲਾਪ ਕਰਨ ਦੇ ਮਾਹਰਾਂ ਨੂੰ ਰੋਣ-ਪਿੱਟਣ ਲਈ ਸੱਦਣਗੇ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 17] ਸਾਰੇ ਅੰਗੂਰੀ ਬਾਗ਼ਾਂ ਵਿੱਚ ਰੋਣਾ-ਪਿੱਟਣਾ ਹੋਵੇਗਾ, ਕਿਉਂਕਿ ਮੈਂ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘਾਂਗਾ,” ਯਹੋਵਾਹ ਦਾ ਇਹੋ ਬਚਨ ਹੈ।
[IRV | PA | OT | Amos | Chapter 5 | Verse 18] ਹਾਏ ਤੁਹਾਡੇ ਉੱਤੇ ਜੋ ਯਹੋਵਾਹ ਦੇ ਨਿਆਂ ਦੇ ਦਿਨ ਨੂੰ ਲੋਚਦੇ ਹੋ! ਤੁਸੀਂ ਯਹੋਵਾਹ ਦਾ ਨਿਆਂ ਦਾ ਦਿਨ ਕਿਉਂ ਚਾਹੁੰਦੇ ਹੋ? ਉਹ ਹਨੇਰੇ ਦਾ ਦਿਨ ਹੈ, ਚਾਨਣ ਦਾ ਨਹੀਂ!
