[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 1] ಆದಾಮನ ಸಂತಾನದವರು; ಸೇತ್, ಎನೋಷ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 2] ಕೇನಾನ್, ಮಹಲಲೇಲ್, ಯೆರೆದ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 3] ಹನೋಕ್, ಮೆತೂಷೆಲಹ, ಲೆಮೆಕ್,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 4] ನೋಹ, ಶೇಮ್, ಹಾಮ್, ಯೆಫೆತ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 5] ಯೆಫೆತನ ಸಂತಾನದವರು ಯಾರೆಂದರೆ; ಗೋಮೆರ್, ಮಾಗೋಗ್, ಮಾದಯ್, ಯಾವಾನ್, ತೂಬಲ್, ಮೆಷೆಕ್ ಮತ್ತು ತೀರಾಸ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 6] ಗೋಮೆರನ ಸಂತಾನದವರು ಯಾರೆಂದರೆ; ಅಷ್ಕೆನೆಜ್, ರೀಫತ್ ಮತ್ತು ತೋಗರ್ಮ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 7] ಯಾವಾನನ ಸಂತಾನದವರು ಯಾರೆಂದರೆ ಎಲೀಷ, ತಾರ್ಷೀಷ್, ಕಿತ್ತೀಮ್, ದೋದಾನೀಮ್ ಎಂಬ ಸ್ಥಳಗಳವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 8] ಹಾಮಾನ ಸಂತಾನದವರು ಯಾರೆಂದರೆ ಕೂಷ್, ಮಿಚ್ರಯಿಮ್, ಪೂಟ್, ಕಾನಾನ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 9] ಕೂಷನ ಸಂತಾನದವರು: ಸೆಬಾ, ಹವೀಲ, ಸಬ್ತ, ರಮ್ಮ ಸಬ್ತೆಕ ಎಂಬುವರು. ರಮ್ಮನ ಸಂತಾನದವರು: ಶೆಬ ಮತ್ತು ದೆದಾನ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 10] ಕೂಷನು ನಿಮ್ರೋದನನ್ನು ಪಡೆದನು. ಇವನು ಈ ಭೂಮಿಯ ಮೇಲಿನ ಪ್ರಥಮ ಪರಾಕ್ರಮಶಾಲಿ ರಾಜನೆಂದು ಪ್ರಸಿದ್ಧನಾದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 11] ಮಿಚ್ರಯಿಮ್ಯರಿಂದ ಲೂದ್ಯರೂ, ಅನಾಮ್ಯರೂ, ಲೆಹಾಬ್ಯರೂ, ನಫ್ತುಹ್ಯರೂ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 12] ಪತ್ರುಸ್ಯರೂ, ಕಸ್ಲುಹ್ಯರೂ, ಕಫ್ತೋರ್ಯರೂ ಹುಟ್ಟಿದರು. ಕಸ್ಲುಹ್ಯರಿಂದ ಫಿಲಿಷ್ಟಿಯರು ಬಂದರು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 13] ಕಾನಾನ್ ವಂಶದಲ್ಲಿ ಮೊದಲು ಹುಟ್ಟಿದವನು ಸೀದೋನ್, ನಂತರ ಹೇತ್ ಎಂಬವನು ಹುಟ್ಟಿದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 14] ಇದಲ್ಲದೆ ಯೆಬೂಸಿಯರೂ, ಅಮೋರಿಯರೂ, ಗಿರ್ಗಾಷಿಯರೂ,
[IRV | KN | OT | 1 Chronicles | Chapter 1 | Verse 15] ಹಿವ್ವಿಯರೂ, ಅರ್ಕಿಯರೂ, ಸೀನಿಯರೂ,
