[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 1] ಲೇವಿಯ ಮಕ್ಕಳು: ಗೇರ್ಷೋನ್, ಕೆಹಾತ್ ಮತ್ತು ಮೆರಾರೀ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 2] ಕೆಹಾತನ ಮಕ್ಕಳು ಅಮ್ರಾಮ್, ಇಚ್ಹಾರ್, ಹೆಬ್ರೋನ್ ಮತ್ತು ಉಜ್ಜೀಯೇಲ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 3] ಅಮ್ರಾಮನ ಮಕ್ಕಳು ಆರೋನ್, ಮೋಶೆ ಮತ್ತು ಮಿರ್ಯಾಮ್. ಆರೋನನ ಮಕ್ಕಳು ನಾದಾಬ್, ಅಬೀಹೂ, ಎಲ್ಲಾಜಾರ್ ಮತ್ತು ಈತಾಮಾರ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 4] ಎಲ್ಲಾಜಾರನು ಫೀನೆಹಾಸನನ್ನು ಪಡೆದನು; ಫೀನೆಹಾಸನು ಅಬೀಷೂವನನ್ನು ಪಡೆದನು;
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 5] ಅಬೀಷೂವನು ಬುಕ್ಕೀಯನನ್ನು ಪಡೆದನು; ಬುಕ್ಕೀಯನು ಉಜ್ಜೀಯನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 6] ಉಜ್ಜೀಯನು ಜೆರಹ್ಯನನ್ನು ಪಡೆದನು; ಜೆರಹ್ಯನು ಮೆರಾಯೋತನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 7] ಮೆರಾಯೋತನು ಅಮರ್ಯನನ್ನು ಪಡೆದನು; ಅಮರ್ಯನು ಅಹೀಟೂಬನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 8] ಅಹೀಟೂಬನು ಚಾದೋಕನನ್ನು ಪಡೆದನು; ಚಾದೋಕನು ಅಹೀಮಾಚನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 9] ಅಹೀಮಾಚನು ಅಜರ್ಯನನ್ನು ಪಡೆದನು; ಅಜರ್ಯನು ಯೋಹಾನಾನನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 10] ಯೋಹಾನಾನನು ಅಜರ್ಯನನ್ನು ಪಡೆದನು. ಸೊಲೊಮೋನನು ಕಟ್ಟಿಸಿದ ಯೆರೂಸಲೇಮಿನ ದೇವಾಲಯದಲ್ಲಿ ಯಾಜಕ ಸೇವೆ ಮಾಡುತ್ತಿದ್ದವನು ಇವನೇ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 11] ಅಜರ್ಯನು ಅಮರ್ಯನನ್ನು ಪಡೆದನು; ಅಮರ್ಯನು ಅಹೀಟೂಬನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 12] ಅಹೀಟೂಬನು ಚಾದೋಕನನ್ನು ಪಡೆದನು; ಚಾದೋಕನು ಶಲ್ಲೂಮನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 13] ಶಲ್ಲೂಮನು ಹಿಲ್ಕೀಯನನ್ನು ಪಡೆದನು; ಹಿಲ್ಕೀಯನು ಅಜರ್ಯನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 14] ಅಜರ್ಯನು ಸೆರಾಯನನ್ನು ಪಡೆದನು; ಸೆರಾಯನು ಯೆಹೋಚಾದಾಕನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 15] ನೆಬೂಕದ್ನೆಚ್ಚರನು ಯೆಹೋವನ ಪ್ರೇರಣೆಯಿಂದ ಯೆಹೂದ್ಯರನ್ನೂ ಯೆರೂಸಲೇಮಿನವರನ್ನೂ ಸೆರೆಯೊಯ್ದಾಗ ಯೆಹೋಚಾದಾಕನು ಅವರೊಡನೆ ಇದ್ದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 16] ಲೇವಿಯ ಮಕ್ಕಳು ಗೇರ್ಷೋಮ್, ಕೆಹಾತ್, ಮೆರಾರೀ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 17] ಗೇರ್ಷೋಮನ ಮಕ್ಕಳು ಲಿಬ್ನೀ ಮತ್ತು ಶಿಮ್ಮೀ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 18] ಕೆಹಾತನ ಮಕ್ಕಳು ಅಮ್ರಾಮ್, ಇಚ್ಹಾರ್, ಹೆಬ್ರೋನ್ ಮತ್ತು ಉಜ್ಜೀಯೇಲ್ ಇವರೇ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 19] ಮೆರಾರಿಯ ಮಕ್ಕಳು ಮಹ್ಲೀ ಮತ್ತು ಮುಷೀ. ಇವರೆಲ್ಲರೂ ಲೇವಿ ಗೋತ್ರಗಳ ಮೂಲಪುರುಷರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 20] ಗೇರ್ಷೋಮನ ಗೋತ್ರ: ಗೇರ್ಷೋಮನ ಮಗ ಲಿಬ್ನೀ. ಇವನ ಮಗ ಯಹತ್, ಇವನ ಮಗ ಜಿಮ್ಮ. ಜಿಮ್ಮನ ಮಗ ಯೋವಾಹ,
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 21] ಯೋವಾಹನ ಮಗ ಇದ್ದೋ, ಇವನ ಮಗ ಜೆರಹ. ಜೆರಹನ ಮಗ ಯೆವತ್ರೈ.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 22] ಕೆಹಾತನ ಸಂತಾನದವರು: ಇವನ ಮಗ ಅಮ್ಮೀನಾದಾಬ್, ಇವನ ಮಗ ಕೋರಹ. ಕೋರಹನ ಮಗ ಅಸ್ಸೀರ್,
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 23] ಇವನ ಮಗ ಎಲ್ಕಾನ. ಎಲ್ಕಾನನ ಮಗ ಎಬ್ಯಾಸಾಫ್. ಇವನ ಮಗ ಅಸ್ಸೀರ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 24] ಅಸ್ಸೀರನ ಮಗ ತಹತ್, ಇವನ ಮಗ ಊರೀಯೇಲ್. ಊರೀಯೇಲನ ಮಗ ಉಜ್ಜೀಯ, ಇವನ ಮಗ ಸೌಲ್.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 25] ಎಲ್ಕಾನನ ಮಕ್ಕಳು; ಅಮಾಸೈ, ಅಹೀಮೋತ್ ಮತ್ತು ಎಲ್ಕಾನ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 6 | Verse 26] ಎಲ್ಕಾನನ ಸಂತಾನದವರು. ಇವನ ಮಗನು, ಚೋಫೈ, ಇವನ ಮಗ ನಹತ್.
