[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 1] ಇಸ್ರಾಯೇಲನ ಮಕ್ಕಳು ಯಾರೆಂದರೆ ರೂಬೇನ್, ಸಿಮೆಯೋನ್, ಲೇವಿ, ಯೆಹೂದ, ಇಸ್ಸಾಕಾರ್, ಜೆಬುಲೂನ್,
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 2] ದಾನ್, ಯೋಸೇಫ್, ಬೆನ್ಯಾಮೀನ್, ನಫ್ತಾಲಿ, ಗಾದ್ ಮತ್ತು ಆಶೇರ್.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 3] ಯೆಹೂದನಿಗೆ ಏರ್, ಓನಾನ್ ಮತ್ತು ಶೇಲಾಹ ಎಂಬ ಮೂರು ಮಕ್ಕಳು ಶೂನನ ಮಗಳಾದ ಕಾನಾನಳಿಂದ ಹುಟ್ಟಿದರು. ಯೆಹೂದನ ಚೊಚ್ಚಲ ಮಗನಾದ ಏರನು ಯೆಹೋವನ ಚಿತ್ತಕ್ಕೆ ವಿರೋಧವಾಗಿ ನಡೆದುಕೊಂಡದ್ದರಿಂದ ಯೆಹೋವನು ಅವನನ್ನು ಕೊಂದು ಹಾಕಿದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 4] ಯೆಹೂದನ ಸೊಸೆಯಾದ ತಾಮಾರಳು ಅವನಿಂದ ಪೆರೆಚ್ ಮತ್ತು ಜೆರಹ ಎಂಬವರನ್ನು ಹೆತ್ತಳು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 5] ಯೆಹೂದನಿಗೆ ಐದು ಮಕ್ಕಳು. ಪೆರೆಚನ ಮಕ್ಕಳು ಹೆಚ್ರೋನ್ ಮತ್ತು ಹಮೂಲ್.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 6] ಜೆರಹನ ಐದು ಮಕ್ಕಳು ಜಿಮ್ರಿ, ಏತಾನ್, ಹೇಮಾನ್, ಕಲ್ಕೋಲ್ ಮತ್ತು ದಾರಾ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 7] ಯೆಹೋವನಿಗೆ ಮೀಸಲಾದ ವಸ್ತುಗಳನ್ನು ಕದ್ದುಕೊಂಡು ಇಸ್ರಾಯೇಲ್ಯರನ್ನು ಆಪತ್ತಿಗೆ ಗುರಿಮಾಡಿದ ಆಕಾರನು ಕರ್ಮೀಯನ ಮಗನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 8] ಏತಾನನ ಮಗನು ಅಜರ್ಯನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 9] ಹೆಚ್ರೋನನ ಮಕ್ಕಳು ಯೆರಹ್ಮೇಲನು, ರಾಮ್ ಮತ್ತು ಕೆಲೂಬಾಯ್ ಎಂಬುವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 10] ರಾಮನು ಅಮ್ಮೀನಾದಾಬನನ್ನು ಪಡೆದನು; ಅಮ್ಮಿನಾದಾಬನು ಯೆಹೂದ ಕುಲದ ಪ್ರಭುವಾದ ನಹಶೋನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 11] ನಹಶೋನನು ಸಲ್ಮನನ್ನು ಪಡೆದನು; ಸಲ್ಮನು ಬೋವಜನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 12] ಬೋವಜನು ಓಬೇದನನ್ನು ಪಡೆದನು; ಓಬೇದನು ಇಷಯನನ್ನು ಪಡೆದನು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 13] ಇಷಯನ ಚೊಚ್ಚಲ ಮಗನು ಎಲೀಯಾಬ್, ಎರಡನೆಯ ಮಗ ಅಬೀನಾದಾಬ್,
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 14] ಮೂರನೆಯವನು ಶಿಮ್ಮ, ನಾಲ್ಕನೆಯವನು ನೆತನೇಲ್, ಐದನೆಯವನು ರದ್ದೈ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 15] ಆರನೆಯವನು ಓಚೆಮ್, ಏಳನೆಯವನು ದಾವೀದ್.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 16] ಚೆರೂಯ ಮತ್ತು ಅಬೀಗೈಲರು ಅವರ ಸಹೋದರಿಯರು. ಅಬ್ಷೈ, ಯೋವಾಬ ಮತ್ತು ಅಸಾಹೇಲ್ ಎಂಬವರು ಚೆರೂಯಳ ಮಕ್ಕಳು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 17] ಅಬೀಗೈಲಳು ಅಮಾಸನ ತಾಯಿ. ಇಷ್ಮಾಯೇಲನಾದ ಯೆತೆರ್ ಎಂಬವನು ಅವನ ತಂದೆ.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 18] ಹೆಚ್ರೋನನ ಮಗ ಕಾಲೇಬ. ಇವನು ತನ್ನ ಹೆಂಡತಿ ಅಜೂಬಳಿಂದಲೂ ಮತ್ತು ಯೆರ್ಯೋತಳಿಂದಲೂ ಮಕ್ಕಳನ್ನು ಪಡೆದನು. ಆಕೆಯಲ್ಲಿ ಅವನಿಗೆ ಹುಟ್ಟಿದ ಮಕ್ಕಳು ಯೇಷೆರ್, ಶೋಬಾಬ್ ಮತ್ತು ಅರ್ದೋನ್ ಎಂಬವರು.
[IRV | KN | OT | 1 Chronicles | Chapter 2 | Verse 19] ಅಜೂಬಳು ಸತ್ತ ಮೇಲೆ ಕಾಲೇಬನು ಎಫ್ರಾತಳನ್ನು ಮದುವೆಮಾಡಿಕೊಂಡನು. ಆಕೆಯಲ್ಲಿ ಅವನಿಗೆ ಹೂರನು ಹುಟ್ಟಿದನು.
