[IRV | TE | NT | Galatians | Chapter 5 | Verse 1] స్వేచ్ఛగా ఉండడం కోసం క్రీస్తు మనలను విడుదల చేశాడు. కాబట్టి, స్థిరంగా నిలబడండి. మళ్ళీ బానిసత్వపు కాడి కింద చిక్కుకోవద్దు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 2] మీరు సున్నతి పొందితే క్రీస్తు వలన మీకు ఏ ప్రయోజనమూ ఉండదని పౌలు అనే నేను మీతో చెబుతున్నాను.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 3] సున్నతి పొందిన ప్రతి మనిషీ ధర్మశాస్త్రమంతటినీ పాటించవలసి ఉంటుందని నేను మళ్ళీ గట్టిగా చెబుతున్నాను.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 4] మీలో ధర్మశాస్త్రం వలన నీతిమంతుల లెక్కలోకి రావాలనుకునే వారు క్రీస్తులో నుంచి బొత్తిగా వేరై పోయారు. కృపలో నుంచి తొలగిపోయారు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 5] మనం విశ్వాసం వలన నీతి కలుగుతుందనే నిశ్చయంతో ఆత్మ ద్వారా ఎదురు చూస్తున్నాము.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 6] యేసు క్రీస్తులో సున్నతి పొందడంలోనో, పొందకపోవడంలోనో ఏమీ లేదు, ప్రేమతో పని చేసే విశ్వాసమే ముఖ్యం.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 7] మీరు బాగా పరిగెడుతున్నారు. సత్యాన్ని అనుసరించకుండా మిమ్మల్ని ఎవరు ఆపారు?
[IRV | TE | NT | Galatians | Chapter 5 | Verse 8] ఈ ప్రేరేపణ మిమ్మల్ని పిలుస్తున్న వాడి నుంచి కలగలేదు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 9] పులిసిన పిండి కొంచెమైనా ముద్దనంతా పులియబెడుతుంది.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 10] మీరెంత మాత్రమూ వేరుగా ఆలోచించరని ప్రభువులో మీ గురించి నేను రూఢిగా నమ్ముతున్నాను. మిమ్మల్ని కలవరపెట్టేవాడు ఎవడైనా సరే వాడు తగిన శిక్ష అనుభవిస్తాడు.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 11] సోదరులారా, సున్నతి పొందాలని నేను ఇంకా ప్రకటిస్తూ ఉంటే ఇప్పటికీ ఎందుకు హింసలకు గురి అవుతూ ఉన్నాను? సిలువను గురించిన అభ్యంతరాన్ని సున్నతి తీసివేస్తుంది గదా?
[IRV | TE | NT | Galatians | Chapter 5 | Verse 12] మిమ్మల్ని తప్పు దారి పట్టించే వారు తమ్మును తాము నరికి వేసికోవడం మంచిది.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 13] సోదరులారా, స్వతంత్రంగా ఉండడానికి దేవుడు మిమ్మల్ని పిలిచాడు. ఆ స్వాతంత్రాన్ని శరీర ఆశల కోసం వినియోగించక, ప్రేమతో ఒకరికొకరు సేవ చేసుకోండి.
[IRV | TE | NT | Galatians | Chapter 5 | Verse 14] ధర్మశాస్త్రమంతా “నిన్ను నీవు ప్రేమించుకున్నట్టే నీ పొరుగు వాణ్ణి కూడా ప్రేమించు” అనే ఒక్క ఆజ్ఞలో ఇమిడి ఉంది.
