[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 1] I exhort therefore that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 2] for kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 3] For this is good and acceptable in the sight of God our Saviour;
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 4] who will have all men to be saved, and to come unto the knowledge of the truth.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 5] For there is one God, and one mediator between God and men, the man Christ Jesus;
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 6] who gave himself a ransom for all, to be testified in due time.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 7] Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, and lie not;) a teacher of the Gentiles in faith and verity.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 8] I will therefore that men pray every where, lifting up holy hands, without wrath and doubting.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 9] In like manner also, that women adorn themselves in modest apparel, with shamefastness and sobriety; not with broided hair, or gold, or pearls, or costly array;
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 10] but (which becometh women professing godliness) with good works.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 11] Let the woman learn in silence with all subjection.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 12] But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 13] For Adam was first formed, then Eve.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 14] And Adam was not deceived, but the woman being deceived was in the transgression.
[KJV | EN | NT | 1 Timothy | Chapter 2 | Verse 15] Notwithstanding she shall be saved in childbearing, if they continue in faith and charity and holiness with sobriety.
