[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 1] Now the Spirit speaketh expressly, that in the latter times some shall depart from the faith, giving heed to seducing spirits, and doctrines of devils;
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 2] speaking lies in hypocrisy, having their conscience seared with a hot iron;
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 3] forbidding to marry, and commanding to abstain from meats, which God hath created to be received with thanksgiving of them which believe and know the truth.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 4] For every creature of God is good, and nothing to be refused, if it be received with thanksgiving:
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 5] for it is sanctified by the word of God and prayer.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 6] If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 7] But refuse profane and old wives’ fables, and exercise thyself rather unto godliness.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 8] For bodily exercise profiteth little: but godliness is profitable unto all things, having promise of the life that now is, and of that which is to come.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 9] This is a faithful saying and worthy of all acceptation.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 10] For therefore we both labour and suffer reproach, because we trust in the living God, who is the Saviour of all men, specially of those that believe.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 11] These things command and teach.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 12] Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 13] Till I come, give attendance to reading, to exhortation, to doctrine.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 14] Neglect not the gift that is in thee, which was given thee by prophecy, with the laying on of the hands of the presbytery.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 15] Meditate upon these things; give thyself wholly to them; that thy profiting may appear to all.
[KJV | EN | NT | 1 Timothy | Chapter 4 | Verse 16] Take heed unto thyself, and unto the doctrine; continue in them: for in doing this thou shalt both save thyself, and them that hear thee.
