[DARBY | EN | OT | Genesis | Chapter 24 | Verse 1] And Abraham was old, [and] advanced in age; and Jehovah had blessed Abraham in all things.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 2] And Abraham said to his servant, the eldest of his house, who ruled over all that he had, Put thy hand, I pray thee, under my thigh,
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 3] and I will make thee swear by Jehovah, the God of the heavens and the God of the earth, that thou take not a wife for my son of the daughters of the Canaanites, among whom I am dwelling;
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 4] but thou shalt go to my land and to my kindred, and take a wife for my son Isaac.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 5] And the servant said to him, Perhaps the woman will not be willing to follow me to this land: must I, then, bring thy son again in any case to the land from which thou hast removed?
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 6] And Abraham said to him, Beware that thou bring not my son thither again.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 7] Jehovah the God of the heavens, who took me out of my father's house, and out of the land of my nativity, and who has spoken to me, and who has sworn to me, saying, Unto thy seed will I give this land — he will send his angel before thee, that thou mayest take a wife for my son thence.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 8] And if the woman be not willing to follow thee, then thou shalt be quit of this my oath: only, bring not my son thither again.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 9] And the servant put his hand under the thigh of Abraham his master, and swore unto him concerning that matter.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 10] And the servant took ten camels of the camels of his master, and departed; now all the treasure of his master was under his hand; and he arose and went to Aram-naharaim, to the city of Nahor.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 11] And he made the camels kneel down outside the city by a well of water, at the time of the evening, when the women came out to draw [water].
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 12] And he said, Jehovah, God of my master Abraham, meet me, I pray thee, [with thy blessing] this day, and deal kindly with my master Abraham.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 13] Behold, I stand [here] by the well of water, and the daughters of the men of the city come out to draw water.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 14] And let it come to pass, [that] the maiden to whom I shall say, Let down thy pitcher, I pray thee, that I may drink, and who will say, Drink, and I will give thy camels drink also, be she whom thou hast appointed for thy servant Isaac; and hereby I shall know that thou hast dealt kindly with my master.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 15] And it came to pass before he had ended speaking, that behold, Rebecca came out, who was born to Bethuel, son of Milcah the wife of Nahor, Abraham's brother; and [she had] her pitcher upon her shoulder.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 16] And the maiden was very fair in countenance; a virgin, and no man had known her. And she went down to the well, and filled her pitcher, and came up.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 17] And the servant ran to meet her, and said, Let me, I pray thee, sip a little water out of thy pitcher.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 18] And she said, Drink, my lord! And she hasted and let down her pitcher on her hand, and gave him to drink.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 19] And when she had given him enough to drink, she said, I will draw [water] for thy camels also, until they have drunk enough.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 20] And she hasted and emptied her pitcher into the trough, and ran again to the well to draw [water]; and she drew for all his camels.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 21] And the man was astonished at her, remaining silent, to know whether Jehovah had made his journey prosperous or not.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 22] And it came to pass when the camels had drunk enough, that the man took a gold ring, of half a shekel weight, and two bracelets for her hands, ten [shekels] weight of gold,
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 23] and said, Whose daughter art thou? tell me, I pray thee. Is there room [in] thy father's house for us to lodge?
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 24] And she said to him, I am the daughter of Bethuel the son of Milcah, whom she bore to Nahor.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 25] And she said to him, There is straw, and also much provender with us; also room to lodge.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 26] And the man stooped, and bowed down before Jehovah,
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 27] and said, Blessed be Jehovah, God of my master Abraham, who has not withdrawn his loving-kindness and his faithfulness from my master; I being in the way, Jehovah has led me to the house of my master's brethren.
[DARBY | EN | OT | Genesis | Chapter 24 | Verse 28] And the maiden ran and told these things to her mother's house.
