[DARBY | EN | OT | Genesis | Chapter 10 | Verse 1] And these are the generations of the sons of Noah: Shem, Ham, and Japheth; and to them were sons born after the flood.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 3] And the sons of Gomer: Ashkenaz, and Riphath, and Togarmah.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 4] And the sons of Javan: Elishah, and Tarshish, Kittim, and Dodanim.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 5] From these came the distribution of the isles of the nations, according to their lands, every one after his tongue, after their families, in their nations.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 6] And the sons of Ham: Cush, and Mizraim, and Phut, and Canaan.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 7] And the sons of Cush: Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha. And the sons of Raamah: Sheba and Dedan.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 8] And Cush begot Nimrod: he began to be mighty on the earth.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 9] He was a mighty hunter before Jehovah; therefore it is said, As Nimrod, the mighty hunter before Jehovah!
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 10] And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 11] From that land went out Asshur, and built Nineveh, and Rehoboth-Ir, and Calah,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 12] and Resen, between Nineveh and Calah: this is the great city.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 13] — And Mizraim begot the Ludim, and the Anamim, and the Lehabim, and the Naphtuhim,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 14] and the Pathrusim, and the Casluhim, out of whom came the Philistines, and the Caphtorim.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 15] — And Canaan begot Sidon, his firstborn, and Heth,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 16] and the Jebusite, and the Amorite, and the Girgashite,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 17] and the Hivite, and the Arkite, and the Sinite,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 18] and the Arvadite, and the Zemarite, and the Hamathite. And afterwards the families of the Canaanites spread themselves abroad.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 19] And the border of the Canaanite was from Sidon, as one goes to Gerar, up to Gazah; as one goes to Sodom, and Gomorrah, and Admah, and Zeboim, up to Lesha.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 20] These are the sons of Ham, after their families, after their tongues, in their lands, in their nations.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 21] And to Shem — to him also were [sons] born; he is the father of all the sons of Eber, the brother of Japheth the elder.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 22] The sons of Shem: Elam, and Asshur, and Arphaxad, and Lud, and Aram.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 23] And the sons of Aram: Uz, and Hul, and Gether, and Mash.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 24] — And Arphaxad begot Shelah; and Shelah begot Eber.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 25] And to Eber were born two sons: the name of the one was Peleg, for in his days was the earth divided; and his brother's name was Joktan.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 26] And Joktan begot Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 27] and Hadoram, and Uzal, and Diklah,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 28] and Obal, and Abimael, and Sheba,
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 29] and Ophir, and Havilah, and Jobab: all these were sons of Joktan.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 30] And their dwelling was from Mesha, as one goes to Sephar, the eastern mountain.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 31] These are the sons of Shem, after their families, after their tongues, in their lands, after their nations.
[DARBY | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of the sons of Noah, after their generations, in their nations. And from these came the distribution of the nations on the earth after the flood.
