[DARBY | EN | OT | Genesis | Chapter 25 | Verse 1] And Abraham took another wife named Keturah.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 2] And she bore him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 3] And Jokshan begot Sheba and Dedan; and the sons of Dedan were the Asshurim, and the Letushim, and the Leummim.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 4] And the sons of Midian were Ephah, and Epher, and Enoch, and Abida, and Eldaah. All these were sons of Keturah.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 5] And Abraham gave all that he had to Isaac.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 6] And to the sons of the concubines that Abraham had, Abraham gave gifts, and, while he yet lived, sent them away from Isaac his son, eastward to the east country.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 7] And these are the days of the years of Abraham's life which he lived: a hundred and seventy-five years.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 8] And Abraham expired and died in a good old age, old and full [of days]; and was gathered to his peoples.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 9] And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which was opposite to Mamre —
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 10] the field that Abraham had purchased of the sons of Heth: there was Abraham buried, and Sarah his wife.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 11] And it came to pass after the death of Abraham, that God blessed his son Isaac. And Isaac dwelt at Beer-lahai-roi.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 12] And these are the generations of Ishmael, Abraham's son, whom Hagar the Egyptian, Sarah's bondwoman, bore to Abraham.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 13] And these are the names of the sons of Ishmael by their names according to their generations: Nebaioth, the firstborn of Ishmael; and Kedar, and Adbeel, and Mibsam,
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 14] and Mishma, and Dumah, and Massa,
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 15] Hadad and Tema, Jetur, Naphish and Kedmah.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 16] These are the sons of Ishmael, and these are their names, in their hamlets and their encampments — twelve princes of their peoples.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 17] And these are the years of the life of Ishmael: a hundred and thirty-seven years; and he expired and died, and was gathered to his peoples.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 18] And they dwelt from Havilah to Shur, which is opposite to Egypt, as one goes towards Assyria. He settled before the face of all his brethren.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 19] And these are the generations of Isaac, Abraham's son. Abraham begot Isaac.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 20] And Isaac was forty years old when he took Rebecca as wife, the daughter of Bethuel the Syrian of Padan-Aram, the sister of Laban the Syrian.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 21] And Isaac entreated Jehovah for his wife, because she was barren; and Jehovah was entreated of him, and Rebecca his wife conceived.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 22] And the children struggled together within her; and she said, If [it be] so, why am I thus? And she went to inquire of Jehovah.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 23] And Jehovah said to her, Two nations are in thy womb, And two peoples shall be separated from thy bowels; And one people shall be stronger than the other people, And the elder shall serve the younger.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 24] And when her days to be delivered were fulfilled, behold, there were twins in her womb.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 25] And the first came out red — all over like a hairy garment; and they called his name Esau.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 26] And after that came his brother out; and his hand took hold of Esau's heel; and his name was called Jacob. And Isaac was sixty years old when they were born.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 27] And the boys grew, and Esau became a man skilled in hunting, a man of the field; and Jacob was a homely man, dwelling in tents.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 28] And Isaac loved Esau, because venison was to his taste; and Rebecca loved Jacob.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 29] And Jacob had cooked a dish; and Esau came from the field, and he was faint.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 30] And Esau said to Jacob, Feed me, I pray thee, with the red — the red thing there, for I am faint. Therefore was his name called Edom.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 31] And Jacob said, Sell me now thy birthright.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 32] And Esau said, Behold, I am going to die, and of what use can the birthright be to me?
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 33] And Jacob said, Swear unto me now. And he swore unto him, and sold his birthright to Jacob.
[DARBY | EN | OT | Genesis | Chapter 25 | Verse 34] And Jacob gave Esau bread and the dish of lentils; and he ate and drank, and rose up and went away. Thus Esau despised the birthright.
