[DARBY | EN | OT | Genesis | Chapter 36 | Verse 1] And these are the generations of Esau, that is Edom.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 2] Esau took his wives of the daughters of Canaan: Adah the daughter of Elon the Hittite, and Oholibamah the daughter of Anah, daughter of Zibeon the Hivite,
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 3] and Basmath Ishmael's daughter, the sister of Nebaioth.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 4] And Adah bore to Esau Eliphaz; and Basmath bore Reuel.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 5] And Oholibamah bore Jeush and Jaalam and Korah. These are the sons of Esau that were born to him in the land of Canaan.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 6] And Esau took his wives, and his sons, and his daughters, and all the souls of his house, and his cattle, and all his beasts, and all his possessions, that he had acquired in the land of Canaan, and went into a country away from his brother Jacob.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 7] For their property was too great for them to dwell together, and the land where they were sojourners could not bear them, because of their cattle.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 8] Thus Esau dwelt in mount Seir; Esau is Edom.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 9] And these are the generations of Esau, the father of Edom, in mount Seir.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 10] These are the names of Esau's sons: Eliphaz, the son of Adah the wife of Esau; Reuel, the son of Basmath the wife of Esau.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 11] — And the sons of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 12] And Timna was concubine to Eliphaz Esau's son, and she bore Amalek to Eliphaz. These are the sons of Adah Esau's wife.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 13] — And these are the sons of Reuel: Nahath and Zerah, Shammah and Mizzah. These are the sons of Basmath Esau's wife.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 14] — And these are the sons of Oholibamah, the daughter of Anah, daughter of Zibeon, Esau's wife: and she bore to Esau Jeush and Jaalam and Korah.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 15] These are the chiefs of the sons of Esau. The sons of Eliphaz, the firstborn of Esau: chief Teman, chief Omar, chief Zepho, chief Kenaz,
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 16] chief Korah, chief Gatam, chief Amalek. These are the chiefs of Eliphaz in the land of Edom; these are the sons of Adah.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 17] And these are the sons of Reuel Esau's son: chief Nahath, chief Zerah, chief Shammah, chief Mizzah: these are the chiefs of Reuel in the land of Edom; these are the sons of Basmath Esau's wife.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 18] — And these are the sons of Oholibamah Esau's wife: chief Jeush, chief Jaalam, chief Korah; these are the chiefs of Oholibamah the daughter of Anah, Esau's wife.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 19] These are the sons of Esau, and these their chiefs: he is Edom.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 20] These are the sons of Seir the Horite, the inhabitant of the land: Lotan, and Shobal, and Zibeon, and Anah,
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 21] and Dishon, and Ezer, and Dishan. These are the chiefs of the Horites, the sons of Seir in the land of Edom.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 22] — And the sons of Lotan were Hori and Hemam; and Lotan's sister was Timna.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 23] — And these are the sons of Shobal: Alvan, and Manahath, and Ebal, Shepho and Onam.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 24] — And these are the sons of Zibeon: both Ajah and Anah. This is the Anah that found the warm springs in the wilderness as he fed the asses of Zibeon his father.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 25] — And these are the sons of Anah: Dishon, and Oholibamah the daughter of Anah.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 26] — And these are the sons of Dishon: Hemdan, and Eshban, and Ithran, and Cheran.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 27] — These are the sons of Ezer: Bilhan, and Zaavan, and Akan.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 28] — These are the sons of Dishan: Uz and Aran.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 29] These are the chiefs of the Horites: chief Lotan, chief Shobal, chief Zibeon, chief Anah,
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 30] chief Dishon, chief Ezer, chief Dishan. These are the chiefs of the Horites, according to their chiefs in the land of Seir.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 31] And these are the kings that reigned in the land of Edom before there reigned a king over the children of Israel.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 32] And Bela the son of Beor reigned in Edom; and the name of his city was Dinhabah.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 33] And Bela died; and Jobab the son of Zerah of Bozrah reigned in his stead.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 34] And Jobab died; and Husham of the land of the Temanites reigned in his stead.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 35] And Husham died; and Hadad the son of Bedad, who smote Midian in the fields of Moab, reigned in his stead. And the name of his city was Avith.
[DARBY | EN | OT | Genesis | Chapter 36 | Verse 36] And Hadad died; and Samlah of Masrekah reigned in his stead.
