[DARBY | EN | OT | Genesis | Chapter 30 | Verse 1] And when Rachel saw that she bore Jacob no children, Rachel envied her sister, and said to Jacob, Give me children, or else I die.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 2] And Jacob's anger was kindled against Rachel, and he said, Am I in God's stead, who has withheld from thee the fruit of the womb?
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 3] And she said, Behold, there is my maid, Bilhah: go in to her, in order that she may bear on my knees, and I may also be built up by her.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 4] And she gave him Bilhah her maidservant as wife, and Jacob went in to her.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 5] And Bilhah conceived, and bore Jacob a son.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 6] And Rachel said, God has done me justice, and has also heard my voice, and given me a son; therefore she called his name Dan.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 7] And Bilhah Rachel's maidservant again conceived, and bore Jacob a second son.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 8] And Rachel said, Wrestlings of God have I wrestled with my sister, and have prevailed; and she called his name Naphtali.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 9] And when Leah saw that she had ceased to bear, she took Zilpah her maidservant and gave her to Jacob as wife.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 10] And Zilpah Leah's maidservant bore Jacob a son.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 11] And Leah said, Fortunately! and she called his name Gad.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 12] And Zilpah Leah's maidservant bore Jacob a second son.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 13] And Leah said, Happy am I; for the daughters will call me blessed! and she called his name Asher.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 14] And Reuben went out in the days of wheat-harvest, and found mandrakes in the fields; and he brought them to his mother Leah. And Rachel said to Leah, Give me, I pray thee, of thy son's mandrakes.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 15] And she said to her, Is it [too] little that thou hast taken my husband, that thou wilt take my son's mandrakes also? And Rachel said, Therefore he shall lie with thee to-night for thy son's mandrakes.
[DARBY | EN | OT | Genesis | Chapter 30 | Verse 16] And when Jacob came from the fields in the evening, Leah went out to meet him, and said, Thou must come in to me, for indeed I have hired thee with my son's mandrakes. And he lay with her that night.
