[WEB | EN | OT | Lamentations | Chapter 4 | Verse 1] How the gold has become dim! The most pure gold has changed! The stones of the sanctuary are poured out at the head of every street.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 2] The precious sons of Zion, comparable to fine gold, how they are esteemed as earthen pitchers, the work of the hands of the potter!
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 3] Even the jackals offer their breast. They nurse their young ones. But the daughter of my people has become cruel, like the ostriches in the wilderness.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 4] The tongue of the nursing child clings to the roof of his mouth for thirst. The young children ask for bread, and no one breaks it for them.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 5] Those who ate delicacies are desolate in the streets. Those who were brought up in purple embrace dunghills.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 6] For the iniquity of the daughter of my people is greater than the sin of Sodom, which was overthrown as in a moment. No hands were laid on her.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 7] Her nobles were purer than snow. They were whiter than milk. They were more ruddy in body than rubies. Their polishing was like sapphire.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 8] Their appearance is blacker than a coal. They are not known in the streets. Their skin clings to their bones. It is withered. It has become like wood.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 9] Those who are killed with the sword are better than those who are killed with hunger; for these pine away, stricken through, for lack of the fruits of the field.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 10] The hands of the pitiful women have boiled their own children. They were their food in the destruction of the daughter of my people.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 11] The LORD has accomplished his wrath. He has poured out his fierce anger. He has kindled a fire in Zion, which has devoured its foundations.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 12] The kings of the earth didn’t believe, neither did all the inhabitants of the world, that the adversary and the enemy would enter into the gates of Jerusalem.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 13] It is because of the sins of her prophets and the iniquities of her priests, that have shed the blood of the just in the middle of her.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 14] They wander as blind men in the streets. They are polluted with blood, So that men can’t touch their garments.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 15] “Go away!” they cried to them. “Unclean! Go away! Go away! Don’t touch! When they fled away and wandered, men said among the nations, “They can’t live here any more.”
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 16] The LORD’s anger has scattered them. He will not pay attention to them any more. They didn’t respect the persons of the priests. They didn’t favor the elders.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 17] Our eyes still fail, looking in vain for our help. In our watching we have watched for a nation that could not save.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 18] They hunt our steps, so that we can’t go in our streets. Our end is near. Our days are fulfilled, for our end has come.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 19] Our pursuers were swifter than the eagles of the sky. They chased us on the mountains. They set an ambush for us in the wilderness.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 20] The breath of our nostrils, the anointed of the LORD, was taken in their pits; of whom we said, under his shadow we will live among the nations.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 21] Rejoice and be glad, daughter of Edom, who dwells in the land of Uz. The cup will pass through to you also. You will be drunken, and will make yourself naked.
[WEB | EN | OT | Lamentations | Chapter 4 | Verse 22] The punishment of your iniquity is accomplished, daughter of Zion. He will no more carry you away into captivity. He will visit your iniquity, daughter of Edom. He will uncover your sins.
