[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 1] Wherefore laying aside all malice, and all guile, and hypocrisies, and envies, and all evil speakings,
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 2] as newborn babes, desire the sincere milk of the word, that ye may grow thereby:
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 3] if so be ye have tasted that the Lord is gracious.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 4] To whom coming, as unto a living stone, disallowed indeed of men, but chosen of God, and precious,
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 5] ye also, as lively stones, are built up a spiritual house, a holy priesthood, to offer up spiritual sacrifices, acceptable to God by Jesus Christ.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 6] Wherefore also it is contained in the scripture, Behold, I lay in Sion a chief corner stone, elect, precious: and he that believeth on him shall not be confounded.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 7] Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 8] and a stone of stumbling, and a rock of offence, even to them which stumble at the word, being disobedient: whereunto also they were appointed.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 9] But ye are a chosen generation, a royal priesthood, a holy nation, a peculiar people; that ye should shew forth the praises of him who hath called you out of darkness into his marvellous light:
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 10] which in time past were not a people, but are now the people of God: which had not obtained mercy, but now have obtained mercy.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 11] Dearly beloved, I beseech you as strangers and pilgrims, abstain from fleshly lusts, which war against the soul;
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 12] having your conversation honest among the Gentiles: that, whereas they speak against you as evildoers, they may by your good works, which they shall behold, glorify God in the day of visitation.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 13] Submit yourselves to every ordinance of man for the Lord’s sake: whether it be to the king, as supreme;
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 14] or unto governors, as unto them that are sent by him for the punishment of evildoers, and for the praise of them that do well.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 15] For so is the will of God, that with well doing ye may put to silence the ignorance of foolish men:
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 16] as free, and not using your liberty for a cloke of maliciousness, but as the servants of God.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 17] Honour all men. Love the brotherhood. Fear God. Honour the king.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 18] Servants, be subject to your masters with all fear; not only to the good and gentle, but also to the froward.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 19] For this is thankworthy, if a man for conscience toward God endure grief, suffering wrongfully.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 20] For what glory is it, if, when ye be buffeted for your faults, ye shall take it patiently? but if, when ye do well, and suffer for it, ye take it patiently, this is acceptable with God.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 21] For even hereunto were ye called: because Christ also suffered for us, leaving us an example, that ye should follow his steps:
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 22] who did no sin, neither was guile found in his mouth:
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 23] who, when he was reviled, reviled not again; when he suffered, he threatened not; but committed himself to him that judgeth righteously:
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 24] who his own self bare our sins in his own body on the tree, that we, being dead to sins, should live unto righteousness: by whose stripes ye were healed.
[KJV | EN | NT | 1 Peter | Chapter 2 | Verse 25] For ye were as sheep going astray; but are now returned unto the Shepherd and Bishop of your souls.
