[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 1] ਸੋ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਸਾਰੇ ਦਲ ਅਫੇਕ ਵਿੱਚ ਇਕੱਠੇ ਹੋਏ ਸਨ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਨੇ ਇੱਕ ਪਾਣੀ ਦੇ ਸੋਤੇ ਦੇ ਨੇੜੇ ਜੋ ਯਿਜ਼ਰਏਲ ਵਿੱਚ ਹੈ ਆ ਡੇਰੇ ਲਾਏ
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 2] ਅਤੇ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਸਰਦਾਰ ਸੈਂਕੜਿਆਂ ਤੇ ਹਜ਼ਾਰਾਂ ਦੇ ਨਾਲ ਅੱਗੇ-ਅੱਗੇ ਜਾਂਦੇ ਸਨ ਪਰ ਦਾਊਦ ਆਪਣੇ ਮਨੁੱਖਾਂ ਸਮੇਤ ਪਿੱਛੇ-ਪਿੱਛੇ ਆਕੀਸ਼ ਨਾਲ ਆਉਂਦਾ ਸੀ
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 3] ਤਦ ਫ਼ਲਿਸਤੀ ਸਰਦਾਰਾਂ ਦੇ ਆਖਿਆ, ਇਨ੍ਹਾਂ ਇਬਰਾਨੀਆਂ ਦਾ ਇੱਥੇ ਕੀ ਕੰਮ? ਆਕੀਸ਼ ਨੇ ਫ਼ਲਿਸਤੀ ਸਰਦਾਰਾਂ ਨੂੰ ਆਖਿਆ, ਭਲਾ, ਇਹ ਦਾਊਦ ਇਸਰਾਏਲ ਦੇ ਰਾਜਾ ਸ਼ਾਊਲ ਦਾ ਦਾਸ ਨਹੀਂ ਜੋ ਐਨੇ ਦਿਨਾਂ ਅਤੇ ਐਨੇ ਸਾਲਾਂ ਤੋਂ ਮੇਰੇ ਨਾਲ ਹੈ ਅਤੇ ਜਦੋਂ ਦਾ ਉਹ ਮੇਰੇ ਕੋਲ ਆਇਆ ਹੈ ਮੈਂ ਉਹ ਦੇ ਵਿੱਚ ਕੋਈ ਖੋਟ ਨਹੀਂ ਵੇਖੀ?
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 4] ਤਦ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਹਾਕਮ ਉਹ ਦੇ ਨਾਲ ਗੁੱਸੇ ਹੋਏ ਅਤੇ ਫ਼ਲਿਸਤੀ ਹਾਕਮਾਂ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ ਕਿ ਇਸ ਮਨੁੱਖ ਨੂੰ ਐਥੋਂ ਮੋੜ ਦਿਓ ਜੋ ਉਹ ਆਪਣੇ ਥਾਂ ਵੱਲ ਜੋ ਤੁਸੀਂ ਉਹ ਦੇ ਲਈ ਠਹਿਰਾਇਆ ਹੈ ਮੁੜ ਜਾਵੇ ਪਰ ਸਾਡੇ ਨਾਲ ਰਲ ਕੇ ਲੜਾਈ ਵਿੱਚ ਨਾ ਜਾਵੇ ਕੀ ਜਾਣੀਏ ਜੋ ਉਹ ਲੜਾਈ ਵੇਲੇ ਸਾਡੇ ਨਾਲ ਵੈਰ ਕਰੇ ਕਿਉਂ ਜੋ ਉਹ ਆਪਣੇ ਮਾਲਕ ਨਾਲ ਕਿਵੇਂ ਮੇਲ ਕਰੇਗਾ? ਭਲਾ, ਇਨ੍ਹਾਂ ਲੋਕਾਂ ਦੇ ਸਿਰਾਂ ਨੂੰ ਵੱਡ ਕੇ ਨਹੀਂ ਕਰੇਗਾ?
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 5] ਭਲਾ, ਇਹ ਉਹ ਦਾਊਦ ਨਹੀਂ ਜਿਸ ਦੇ ਲਈ ਉਹ ਨੱਚਦੀਆਂ ਹੋਈਆਂ ਗਾਉਂਦੀਆਂ ਸਨ, ਸ਼ਾਊਲ ਨੇ ਆਪਣੇ ਹਜ਼ਾਰਾਂ ਨੂੰ ਮਾਰਿਆ, ਅਤੇ ਦਾਊਦ ਨੇ ਲੱਖਾਂ ਨੂੰ?
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 6] ਤਦ ਆਕੀਸ਼ ਨੇ ਦਾਊਦ ਨੂੰ ਸੱਦ ਕੇ ਆਖਿਆ, ਜਿਉਂਦੇ ਯਹੋਵਾਹ ਦੀ ਸਹੁੰ, ਸੱਚ-ਮੁੱਚ ਤੂੰ ਸਿੱਧਾ ਹੀ ਹੈਂ ਅਤੇ ਮੇਰੇ ਨਾਲ ਦਲ ਵਿੱਚ ਤੇਰਾ ਆਉਣਾ ਜਾਣਾ ਮੈਨੂੰ ਚੰਗਾ ਦਿੱਸਿਆ ਕਿਉਂ ਜੋ ਜਿਸ ਦਿਨ ਦਾ ਤੂੰ ਮੇਰੇ ਕੋਲ ਆਇਆ ਹੈਂ ਅੱਜ ਤੱਕ ਮੈਂ ਤੇਰੇ ਵਿੱਚ ਕੋਈ ਔਗੁਣ ਨਹੀਂ ਲੱਭਾ ਪਰ ਸਰਦਾਰ ਤੇਰੇ ਨਾਲ ਰਾਜ਼ੀ ਨਹੀਂ
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 7] ਸੋ ਹੁਣ ਤੂੰ ਮੁੜ ਅਤੇ ਸੁੱਖ ਨਾਲ ਚੱਲਿਆ ਜਾ ਜੋ ਫ਼ਲਿਸਤੀ ਪ੍ਰਧਾਨ ਤੇਰੇ ਨਾਲ ਗੁੱਸਾ ਨਾ ਹੋਣ।
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 8] ਤਦ ਦਾਊਦ ਨੇ ਆਕੀਸ਼ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਕੀ ਕੀਤਾ ਹੈ ਅਤੇ ਜਿਸ ਸਮੇਂ ਦਾ ਮੈਂ ਤੇਰੇ ਕੋਲ ਆਇਆ ਹਾਂ ਉਦੋਂ ਦਾ ਅੱਜ ਤੱਕ ਤੂੰ ਮੇਰੇ ਵਿੱਚ ਕੀ ਵੇਖਿਆ ਹੈ ਜੋ ਮੈਂ ਆਪਣੇ ਸੁਆਮੀ ਰਾਜਾ ਦੇ ਵੈਰੀਆਂ ਨਾਲ ਲੜਨ ਲਈ ਨਾ ਜਾਂਵਾਂ?
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 9] ਤਦ ਆਕੀਸ਼ ਨੇ ਦਾਊਦ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਇਹ ਤਾਂ ਮੈਂ ਜਾਣਦਾ ਹਾਂ ਅਤੇ ਤੂੰ ਮੇਰੇ ਵੇਖਣ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਦੇ ਦੂਤ ਵਰਗਾ ਭਲਾ ਹੈਂ ਪਰ ਫ਼ਲਿਸਤੀ ਹਾਕਮਾਂ ਨੇ ਕਿਹਾ ਕਿ ਉਹ ਸਾਡੇ ਨਾਲ ਲੜਾਈ ਵਿੱਚ ਨਾ ਜਾਏ
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 10] ਸੋ ਹੁਣ ਤੂੰ ਸਵੇਰੇ ਆਪਣੇ ਮਾਲਕ ਦੇ ਸੇਵਕਾਂ ਸਮੇਤ ਜੋ ਇੱਥੇ ਤੇਰੇ ਨਾਲ ਆਏ ਹਨ ਉੱਠ ਕੇ ਛੇਤੀ ਸਵੇਰ ਹੁੰਦੇ ਹੀ ਵਿਦਾ ਹੋ ਜਾਈਂ
[IRV | PA | OT | 1 Samuel | Chapter 29 | Verse 11] ਸੋ ਦਾਊਦ ਆਪਣਿਆਂ ਮਨੁੱਖਾਂ ਨਾਲ ਤੜਕੇ ਹੀ ਉੱਠਿਆ ਜੋ ਪਰਭਾਤ ਨੂੰ ਉੱਥੋਂ ਤੁਰ ਕੇ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਦੇਸ ਵਿੱਚ ਮੁੜ ਜਾਵੇ ਅਤੇ ਫ਼ਲਿਸਤੀਆਂ ਨੇ ਯਿਜ਼ਰਏਲ ਤੇ ਚੜਾਈ ਕੀਤੀ।
