[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 1] ਸੋ ਯਹੋਵਾਹ ਦਾ ਸੰਦੂਕ ਸੱਤ ਮਹੀਨਿਆਂ ਤੱਕ ਫ਼ਲਿਸਤੀਆਂ ਦੇ ਦੇਸ ਵਿੱਚ ਰਿਹਾ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 2] ਤਦ ਫ਼ਲਿਸਤੀਆਂ ਨੇ ਪੁਜਾਰੀਆਂ ਅਤੇ ਜੋਤਸ਼ੀਆਂ ਨੂੰ ਸੱਦਿਆ ਅਤੇ ਆਖਿਆ, ਕਿ ਯਹੋਵਾਹ ਦੇ ਇਸ ਸੰਦੂਕ ਨੂੰ ਅਸੀਂ ਕੀ ਕਰੀਏ? ਸਾਨੂੰ ਦੱਸੋ ਕਿ ਕਿਸ ਤਰ੍ਹਾਂ ਉਸ ਨੂੰ ਉਹ ਦੇ ਸਥਾਨ ਵਿੱਚ ਪਹੁੰਚਾਈਏ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 3] ਉਹਨਾਂ ਨੇ ਕਿਹਾ, ਜੇ ਤੁਸੀਂ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਵਾਪਸ ਭੇਜਦੇ ਹੋ ਤਾਂ ਖਾਲੀ ਨਾ ਭੇਜੋ ਸਗੋਂ ਇੱਕ ਦੋਸ਼ ਦੀ ਭੇਟ ਉਹ ਦੇ ਨਾਲ ਜ਼ਰੂਰ ਭੇਜ ਦਿਓ ਤਾਂ ਤੁਸੀਂ ਚੰਗੇ ਹੋ ਜਾਓਗੇ ਅਤੇ ਤੁਸੀਂ ਜਾਣ ਲਓਗੇ ਉਸਦਾ ਹੱਥ ਤੁਹਾਡੇ ਉੱਤੋਂ ਕਿਉਂ ਨਹੀਂ ਚੁੱਕਿਆ ਗਿਆ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 4] ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਪੁੱਛਿਆ ਅਸੀਂ ਦੋਸ਼ ਦੀ ਭੇਟ ਲਈ ਕੀ ਭੇਜੀਏ? ਉਹ ਬੋਲੇ, ਫ਼ਲਿਸਤੀ ਸਰਦਾਰਾਂ ਦੀ ਗਿਣਤੀ ਅਨੁਸਾਰ ਪੰਜ ਸੋਨੇ ਦੇ ਚੂਹੇ ਅਤੇ ਪੰਜ ਸੋਨੇ ਦੀਆਂ ਗਿਲ੍ਹਟੀਆਂ ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਸਭਨਾਂ ਉੱਤੇ ਅਤੇ ਤੁਹਾਡੇ ਸਰਦਾਰਾਂ ਉੱਤੇ ਇੱਕੋ ਜਿਹੀ ਬਵਾਂ ਹੈ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 5] ਸੋ ਤੁਸੀਂ ਆਪਣੀਆਂ ਗਿਲ੍ਹਟੀਆਂ ਦੀਆਂ ਮੂਰਤਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਚੂਹਿਆਂ ਦੀਆਂ ਮੂਰਤਾਂ ਜੋ ਦੇਸ ਨੂੰ ਵਿਗਾੜਦੀਆਂ ਹਨ ਬਣਾਓ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਹਿਮਾ ਕਰੋ। ਹੋ ਸਕਦਾ ਹੈ ਕਿ ਉਹ ਤੁਹਾਥੋਂ ਅਤੇ ਤੁਹਾਡੇ ਦੇਵਤਿਆਂ ਅਤੇ ਤੁਹਾਡੇ ਦੇਸ ਉੱਤੋਂ ਆਪਣਾ ਹੱਥ ਚੁੱਕ ਲਵੇ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 6] ਤੁਸੀਂ ਆਪਣੇ ਮਨ ਨੂੰ ਸਖ਼ਤ ਕਿਉਂ ਕਰਦੇ ਹੋ ਜਿਵੇਂ ਮਿਸਰੀਆਂ ਨੇ ਅਤੇ ਫ਼ਿਰਊਨ ਨੇ ਆਪਣੇ ਮਨਾਂ ਨੂੰ ਸਖ਼ਤ ਕੀਤਾ? ਜਿਸ ਵੇਲੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉਸ ਨੇ ਅਚਰਜ਼ ਸ਼ਕਤੀਆਂ ਦਿਖਾਈਆਂ। ਭਲਾ, ਉਹਨਾਂ ਨੇ ਉਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਜਾਣ ਨਹੀਂ ਦਿੱਤਾ ਅਤੇ ਉਹ ਚੱਲੇ ਨਾ ਗਏ?
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 7] ਹੁਣ ਤੁਸੀਂ ਇੱਕ ਨਵੀਂ ਗੱਡੀ ਬਣਾਓ ਅਤੇ ਦੋ ਲਵੇਰੀਆਂ ਗਊਆਂ ਨੂੰ ਗੱਡੀ ਹੇਠ ਜੋੜ ਲਓ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਵੱਛੀਆਂ ਨੂੰ ਪਿੱਛੇ ਘਰ ਰਹਿਣ ਦਿਓ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 8] ਯਹੋਵਾਹ ਦਾ ਸੰਦੂਕ ਲੈ ਕੇ ਉਸ ਗੱਡੀ ਦੇ ਉੱਤੇ ਰੱਖੋ ਅਤੇ ਸੋਨੇ ਦੀਆਂ ਵਸਤਾਂ ਜੋ ਦੋਸ਼ ਦੀ ਭੇਟ ਲਈ ਉਹ ਦੇ ਕੋਲ ਭੇਜਦੇ ਹੋ ਇੱਕ ਸੰਦੂਕ ਵਿੱਚ ਪਾ ਕੇ ਉਹ ਦੇ ਇੱਕ ਪਾਸੇ ਰੱਖ ਦਿਓ ਅਤੇ ਉਹ ਨੂੰ ਵਿਦਾ ਕਰ ਦਿਓ ਜੋ ਤੁਰ ਜਾਵੇ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 9] ਅਤੇ ਵੇਖੋ, ਜੇ ਉਹ ਆਪਣੇ ਦੇਸ ਦੇ ਰਾਹ ਬੈਤ ਸ਼ਮਸ਼ ਵੱਲ ਚੜ੍ਹੇ ਤਾਂ ਇਹ ਵੱਡੀ ਬਿਪਤਾ ਉਸੇ ਨੇ ਸਾਡੇ ਉੱਤੇ ਪਾਈ ਹੈ ਅਤੇ ਜੇ ਨਾ ਜਾਵੇ ਤਾਂ ਅਸੀਂ ਜਾਣਾਂਗੇ ਕਿ ਸਾਡੇ ਉੱਤੇ ਉਹ ਦਾ ਹੱਥ ਨਹੀਂ ਚੱਲਿਆ ਸਗੋਂ ਇਹ ਗੱਲ ਜੋ ਸਾਡੇ ਉੱਤੇ ਹੋਈ ਹੈ ਸੋ ਐਂਵੇਂ ਹੀ ਹੋਈ ਹੈ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 10] ਸੋ ਲੋਕਾਂ ਨੇ ਅਜਿਹਾ ਹੀ ਕੀਤਾ ਜੋ ਦੋ ਲਵੇਰੀਆਂ ਗਊਆਂ ਲਈਆਂ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਗੱਡੀ ਅੱਗੇ ਜੋਤਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਵੱਛੀਆਂ ਨੂੰ ਘਰ ਵਿੱਚ ਬੰਨ੍ਹਿਆ।
[IRV | PA | OT | 1 Samuel | Chapter 6 | Verse 11] ਅਤੇ ਯਹੋਵਾਹ ਦਾ ਸੰਦੂਕ ਅਤੇ ਸੋਨੇ ਦੇ ਚੂਹੇ ਅਤੇ ਆਪਣੀਆਂ ਗਿਲ੍ਹਟੀਆਂ ਦੀਆਂ ਮੂਰਤਾਂ ਦੇ ਸੰਦੂਕ ਨੂੰ ਗੱਡੀ ਵਿੱਚ ਰੱਖਿਆ।
