[IRV | PA | OT | Proverbs | Chapter 19 | Verse 1] ਪੁੱਠੀਆਂ ਗੱਲਾਂ ਕਰਨ ਵਾਲੇ ਮੂਰਖ ਨਾਲੋਂ, ਉਹ ਕੰਗਾਲ ਚੰਗਾ ਹੈ ਜਿਹੜਾ ਸਿੱਧੀ ਚਾਲ ਚੱਲਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 2] ਮਨੁੱਖ ਦਾ ਗਿਆਨ ਰਹਿਤ ਹੋਣਾ ਵੀ ਚੰਗਾ ਨਹੀਂ, ਅਤੇ ਜਿਹੜਾ ਕਾਹਲੀ ਕਰਦਾ ਹੈ ਉਹ ਕੁਰਾਹੇ ਪੈ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 3] ਆਦਮੀ ਦੀ ਮੂਰਖਤਾਈ ਉਹ ਨੂੰ ਗੁਮਰਾਹ ਕਰ ਦਿੰਦੀ ਹੈ, ਅਤੇ ਉਹ ਮਨ ਵਿੱਚ ਯਹੋਵਾਹ ਤੇ ਚਿੜਨ ਲੱਗਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 4] ਧਨੀ ਦੇ ਬਹੁਤ ਮਿੱਤਰ ਬਣ ਜਾਂਦੇ ਹਨ, ਪਰ ਗਰੀਬ ਦੇ ਮਿੱਤਰ ਉਸ ਤੋਂ ਅਲੱਗ ਹੋ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 5] ਝੂਠਾ ਗਵਾਹ ਨਿਰਦੋਸ਼ ਨਾ ਠਹਿਰੇਗਾ, ਅਤੇ ਜੋ ਝੂਠ ਮਾਰਦਾ ਹੈ ਉਹ ਨਹੀਂ ਬਚੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 6] ਪਰਉਪਕਾਰੀ ਦੇ ਬਹੁਤੇ ਲੋਕ ਤਰਲੇ ਕਰਦੇ ਹਨ, ਅਤੇ ਦਾਨੀ ਦੇ ਸੱਭੇ ਮਿੱਤਰ ਬਣ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 7] ਜਦੋਂ ਕੰਗਾਲ ਦੇ ਸਾਰੇ ਭਰਾ ਵੀ ਉਸ ਨਾਲ ਵੈਰ ਰੱਖਦੇ ਹਨ, ਤਾਂ ਉਹ ਦੇ ਮਿੱਤਰ ਕਿਉਂ ਨਾ ਉਸ ਤੋਂ ਦੂਰ ਹੋ ਜਾਣਗੇ? ਉਹ ਗੱਲਾਂ ਨਾਲ ਉਹਨਾਂ ਦਾ ਪਿੱਛਾ ਕਰਦਾ ਹੈ ਪਰ ਨਹੀਂ ਲੱਭਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 8] ਜਿਹੜਾ ਬੁੱਧ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰਦਾ ਹੈ ਉਹ ਆਪਣੀ ਜਾਨ ਨਾਲ ਪ੍ਰੀਤ ਰੱਖਦਾ ਹੈ, ਜਿਹੜਾ ਸਮਝ ਦੀ ਪਾਲਣਾ ਕਰਦਾ ਹੈ ਉਹ ਨੂੰ ਲਾਭ ਮਿਲੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 9] ਝੂਠਾ ਗਵਾਹ ਨਿਰਦੋਸ਼ ਨਾ ਠਹਿਰੇਗਾ, ਅਤੇ ਜਿਹੜਾ ਝੂਠ ਬੋਲਦਾ ਹੈ ਉਹ ਦਾ ਨਾਸ ਹੋਵੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 10] ਮੌਜ ਮਾਣਨਾ ਮੂਰਖ ਨੂੰ ਨਹੀਂ ਫੱਬਦਾ, ਤਾਂ ਸਰਦਾਰਾਂ ਉੱਤੇ ਸੇਵਕਾਂ ਦਾ ਹੁਕਮ ਚਲਾਉਣਾ ਕਿਵੇਂ ਫੱਬੇ?
[IRV | PA | OT | Proverbs | Chapter 19 | Verse 11] ਸਮਝ ਆਦਮੀ ਨੂੰ ਕ੍ਰੋਧ ਵਿੱਚ ਧੀਮਾ ਬਣਾਉਂਦੀ ਹੈ, ਅਤੇ ਅਪਰਾਧ ਤੋਂ ਮੂੰਹ ਫ਼ੇਰ ਲੈਣ ਵਿੱਚ ਉਹ ਦੀ ਸ਼ਾਨ ਹੈ।
