[IRV | PA | OT | Proverbs | Chapter 23 | Verse 1] ਜਦ ਤੂੰ ਕਿਸੇ ਹਾਕਮ ਦੇ ਨਾਲ ਰੋਟੀ ਖਾਣ ਬੈਠੇਂ, ਤਾਂ ਚੰਗੀ ਤਰ੍ਹਾਂ ਸੋਚ ਕਿ ਤੇਰੇ ਸਾਹਮਣੇ ਕੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 2] ਜੇ ਤੂੰ ਪੇਟੂ ਹੈਂ, ਤਾਂ ਆਪਣੇ ਗਲੇ ਉੱਤੇ ਛੁਰੀ ਰੱਖ!
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 3] ਉਹ ਦੇ ਸੁਆਦਲੇ ਭੋਜਨ ਦਾ ਲੋਭ ਨਾ ਕਰੀਂ, ਕਿਉਂ ਜੋ ਉਹ ਧੋਖੇ ਦੀ ਰੋਟੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 4] ਧਨਵਾਨ ਹੋਣ ਦੀ ਖੇਚਲ ਨਾ ਕਰ, ਆਪਣੀ ਸਿਆਣਪ ਨੂੰ ਛੱਡ ਦੇ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 5] ਕੀ ਤੂੰ ਉਸ ਚੀਜ਼ ਉੱਤੇ ਆਪਣੀ ਨਿਗਾਹ ਲਾਵੇਂਗਾ ਜੋ ਹੈ ਹੀ ਨਹੀਂ? ਉਹ ਨੂੰ ਜ਼ਰੂਰ ਖੰਭ ਲੱਗਦੇ ਅਤੇ ਉਕਾਬ ਵਾਂਗੂੰ ਅਕਾਸ਼ ਵੱਲ ਉੱਡ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 6] ਤੂੰ ਬਦ ਨਜ਼ਰ ਵਾਲੇ ਦੀ ਰੋਟੀ ਨਾ ਖਾਹ, ਨਾ ਉਹ ਦੇ ਸੁਆਦਲੇ ਭੋਜਨ ਦਾ ਲੋਭ ਕਰ,
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 7] ਕਿਉਂ ਜੋ ਜਿਹੇ ਉਹ ਦੇ ਮਨ ਦੇ ਵਿਚਾਰ ਹਨ ਤਿਹਾ ਉਹ ਆਪ ਹੈ, ਉਹ ਤੈਨੂੰ ਆਖਦਾ ਤਾਂ ਹੈ “ਖਾਹ, ਪੀ” ਪਰ ਉਹ ਦਾ ਮਨ ਤੇਰੀ ਵੱਲ ਨਹੀਂ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 8] ਜੋ ਗਰਾਹੀ ਤੂੰ ਖਾਧੀ ਹੈ ਉਹ ਨੂੰ ਉਗਲ ਦੇਵੇਂਗਾ, ਅਤੇ ਆਪਣੀਆਂ ਮਿੱਠੀਆਂ ਗੱਲਾਂ ਨੂੰ ਗੁਆ ਬੈਠੇਂਗਾ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 9] ਮੂਰਖ ਦੇ ਸਾਹਮਣੇ ਨਾ ਬੋਲ, ਕਿਉਂ ਜੋ ਉਹ ਤੇਰੇ ਸਿਆਣੇ ਬੋਲ ਨੂੰ ਤੁੱਛ ਹੀ ਜਾਣੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 10] ਪੁਰਾਣੇ ਬੰਨਿਆਂ ਨੂੰ ਨਾ ਸਰਕਾ, ਅਤੇ ਯਤੀਮਾਂ ਦੇ ਖੇਤ ਵਿੱਚ ਨਾ ਵੜ,
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 11] ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਦਾ ਛੁਡਾਉਣ ਵਾਲਾ ਸਮਰੱਥ ਹੈ, ਉਹਨਾਂ ਦਾ ਮੁਕੱਦਮਾ ਤੇਰੇ ਨਾਲ ਓਹੋ ਲੜੇਗਾ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 12] ਆਪਣਾ ਮਨ ਸਿੱਖਿਆ ਵੱਲ, ਅਤੇ ਆਪਣੇ ਕੰਨ ਗਿਆਨ ਦੀਆਂ ਗੱਲਾਂ ਵੱਲ ਲਾ।
[IRV | PA | OT | Proverbs | Chapter 23 | Verse 13] ਬਾਲਕ ਦੇ ਤਾੜਨ ਦੇਣ ਤੋਂ ਨਾ ਰੁੱਕ, ਭਾਵੇਂ ਤੂੰ ਸੋਟੀ ਨਾਲ ਉਹ ਨੂੰ ਮਾਰੇਂ ਤਾਂ ਉਹ ਨਾ ਮਰੇਗਾ।
