[IRV | PA | OT | Proverbs | Chapter 30 | Verse 1] ਯਾਕਹ ਦੇ ਪੁੱਤਰ ਆਗੂਰ ਦੀਆਂ ਕਹਾਉਤਾਂ, ਉਹ ਮਨੁੱਖ ਈਥੀਏਲ, ਹਾਂ ਈਥੀਏਲ ਅਤੇ ਉੱਕਾਲ ਨੂੰ ਆਖਦਾ,
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 2] ਸੱਚੀਂ ਮੁੱਚੀਂ ਮੈਂ ਹੋਰ ਮਨੁੱਖਾਂ ਨਾਲੋਂ ਪਸ਼ੂ ਵਰਗਾ ਹਾਂ, ਅਤੇ ਮੇਰੇ ਵਿੱਚ ਆਦਮੀ ਜਿਹੀ ਸਮਝ ਨਹੀਂ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 3] ਮੈਂ ਬੁੱਧ ਦੀ ਸਿੱਖਿਆ ਨਹੀਂ ਪਾਈ, ਨਾ ਹੀ ਮੈਨੂੰ ਪਵਿੱਤਰ ਪੁਰਖ ਦਾ ਗਿਆਨ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 4] ਅਕਾਸ਼ ਉੱਤੇ ਕੌਣ ਚੜਿਆ ਅਤੇ ਫੇਰ ਹੇਠਾਂ ਉਤਰਿਆ? ਕਿਹ ਨੇ ਪੌਣ ਨੂੰ ਆਪਣੀ ਮੁੱਠੀ ਵਿੱਚ ਸਮੇਟਿਆ? ਕਿਹ ਨੇ ਪਾਣੀਆਂ ਨੂੰ ਚਾਦਰ ਵਿੱਚ ਬੰਨਿਆ? ਕਿਹ ਨੇ ਧਰਤੀ ਦੇ ਸਾਰੇ ਬੰਨੇ ਠਹਿਰਾਏ? ਉਹ ਦਾ ਕੀ ਨਾਮ ਅਤੇ ਉਹ ਦੇ ਪੁੱਤਰ ਦਾ ਕੀ ਨਾਮ ਹੈ? ਜੇ ਤੂੰ ਜਾਣਦਾ ਹੈਂ, ਤਾਂ ਦੱਸ!
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 5] ਪਰਮੇਸ਼ੁਰ ਦਾ ਹਰੇਕ ਬਚਨ ਤਾਇਆ ਹੋਇਆ ਹੈ, ਜਿਹੜੇ ਉਹ ਦੀ ਸ਼ਰਨ ਵਿੱਚ ਆਉਂਦੇ ਹਨ ਉਹ ਉਹਨਾਂ ਦੀ ਢਾਲ਼ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 6] ਤੂੰ ਉਹ ਦੇ ਬਚਨਾਂ ਵਿੱਚ ਕੁਝ ਨਾ ਵਧਾ, ਕਿਤੇ ਐਉਂ ਨਾ ਹੋਵੇ ਭਈ ਉਹ ਤੈਨੂੰ ਤਾੜਨਾ ਦੇਵੇ ਅਤੇ ਤੂੰ ਝੂਠਾ ਨਿੱਕਲੇਂ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 7] ਮੈਂ ਤੇਰੇ ਤੋਂ ਦੋ ਵਰ ਮੰਗੇ ਹਨ, ਮੇਰੇ ਮਰਨ ਤੋਂ ਪਹਿਲਾਂ ਉਹਨਾਂ ਨੂੰ ਮੈਨੂੰ ਦੇਣ ਤੋਂ ਨਾ ਮੁੱਕਰੀਂ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 8] ਮਿੱਥਿਆ ਅਤੇ ਝੂਠ ਨੂੰ ਮੇਰੇ ਤੋਂ ਦੂਰ ਕਰ ਦੇ, ਮੈਨੂੰ ਨਾ ਤਾਂ ਗਰੀਬੀ ਨਾ ਧਨ ਦੇ, ਮੇਰੀ ਰੋਜ਼ ਦੀ ਰੋਟੀ ਮੈਨੂੰ ਖਿਲਾ,
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 9] ਕਿਤੇ ਮੈਂ ਰੱਜ ਪੁੱਜ ਕੇ ਮੁੱਕਰ ਜਾਂਵਾਂ ਅਤੇ ਆਖਾਂ “ਯਹੋਵਾਹ ਕੌਣ ਹੈ?” ਅਥਵਾ ਕਿਤੇ ਮੈਂ ਥੁੜਿਆ ਹੋਇਆ ਹੋਵਾਂ ਤੇ ਚੋਰੀ ਕਰਾਂ, ਅਤੇ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਮ ਦੀ ਬਦਨਾਮੀ ਕਰਾਂਵਾਂ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 10] ਦਾਸ ਦੀ ਉਹ ਦੇ ਸੁਆਮੀ ਦੇ ਅੱਗੇ ਨਿੰਦਿਆ ਨਾ ਕਰ, ਕਿਤੇ ਉਹ ਤੈਨੂੰ ਸਰਾਪ ਦੇਵੇ ਅਤੇ ਤੂੰ ਦੋਸ਼ੀ ਠਹਿਰੇਂ।
[IRV | PA | OT | Proverbs | Chapter 30 | Verse 11] ਅਜਿਹੇ ਲੋਕ ਵੀ ਹਨ ਜਿਹੜੇ ਆਪਣੇ ਪਿਉ ਨੂੰ ਫਿਟਕਾਰਦੇ, ਅਤੇ ਆਪਣੀ ਮਾਂ ਨੂੰ ਮੁਬਾਰਕ ਨਹੀਂ ਕਹਿੰਦੇ।
