[IRV | PA | OT | Proverbs | Chapter 14 | Verse 1] ਬੁੱਧਵਾਨ ਇਸਤਰੀ ਤਾਂ ਆਪਣਾ ਘਰ ਬਣਾਉਂਦੀ ਹੈ, ਪਰ ਮੂਰਖ ਆਪਣੇ ਹੱਥੀਂ ਹੀ ਉਹ ਨੂੰ ਢਾਹ ਦਿੰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 2] ਜਿਹੜਾ ਸਿੱਧੀ ਚਾਲ ਚੱਲਦਾ ਹੈ ਉਹ ਯਹੋਵਾਹ ਦਾ ਭੈਅ ਮੰਨਦਾ ਹੈ, ਪਰ ਜਿਹੜਾ ਟੇਢੀ ਚਾਲ ਚੱਲਦਾ ਹੈ, ਉਹ ਉਸ ਨੂੰ ਤੁੱਛ ਜਾਣਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 3] ਮੂਰਖ ਦੇ ਮੂੰਹ ਵਿੱਚ ਹੰਕਾਰ ਦੀ ਲਾਠੀ ਹੈ, ਪਰ ਬੁੱਧਵਾਨਾਂ ਦੇ ਬੋਲ ਉਹਨਾਂ ਦੀ ਰੱਖਿਆ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 4] ਜਿੱਥੇ ਬਲ਼ਦ ਨਹੀਂ ਉੱਥੇ ਖੁਰਲੀ ਸੁਥਰੀ ਰਹਿੰਦੀ ਹੈ, ਪਰ ਬਲ਼ਦ ਦੇ ਜ਼ੋਰ ਨਾਲ ਬਹੁਤਾ ਅਨਾਜ ਪੈਦਾ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 5] ਵਫ਼ਾਦਾਰ ਗਵਾਹ ਝੂਠ ਨਹੀਂ ਬੋਲਦਾ, ਪਰ ਝੂਠਾ ਗਵਾਹ ਝੂਠ ਹੀ ਮਾਰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 6] ਠੱਠਾ ਕਰਨ ਵਾਲਾ ਬੁੱਧ ਨੂੰ ਭਾਲਦਾ ਹੈ ਪਰ ਉਹ ਉਸ ਨੂੰ ਨਹੀਂ ਲੱਭਦੀ, ਪਰੰਤੂ ਸਮਝ ਵਾਲੇ ਨੂੰ ਗਿਆਨ ਸਹਿਜ ਨਾਲ ਹੀ ਮਿਲ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 7] ਮੂਰਖ ਤੋਂ ਦੂਰ ਹੋ ਜਾ, ਕਿਉਂ ਜੋ ਤੂੰ ਉਹ ਦੇ ਬੁੱਲ੍ਹਾਂ ਤੋਂ ਗਿਆਨ ਨਾ ਪਾਏਂਗਾ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 8] ਸਿਆਣੇ ਦੀ ਬੁੱਧ ਆਪਣੇ ਰਾਹ ਨੂੰ ਸਮਝਣਾ ਹੈ, ਪਰ ਮੂਰਖ ਦੀ ਮੂਰਖਤਾਈ ਛਲ ਹੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 9] ਮੂਰਖ ਪਾਪ ਕਰ ਕੇ ਹੱਸਦੇ ਹਨ, ਪਰ ਸਚਿਆਰਾਂ ਦੇ ਵਿਚਕਾਰ ਰਜ਼ਾਮੰਦੀ ਹੁੰਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 10] ਮਨ ਆਪ ਹੀ ਆਪਣੀ ਕੁੜੱਤਣ ਜਾਣਦਾ ਹੈ, ਉਹ ਦੀ ਖੁਸ਼ੀ ਵਿੱਚ ਕੋਈ ਪਰਾਇਆ ਲੱਤ ਅੜਾ ਨਹੀਂ ਸਕਦਾ।
[IRV | PA | OT | Proverbs | Chapter 14 | Verse 11] ਦੁਸ਼ਟਾਂ ਦਾ ਘਰ ਉੱਜੜ ਜਾਵੇਗਾ, ਪਰ ਸਚਿਆਰਾਂ ਦਾ ਤੰਬੂ ਅਬਾਦ ਰਹੇਗਾ।
