[IRV | PA | OT | Proverbs | Chapter 11 | Verse 1] ਛਲ ਵਾਲੀ ਤੱਕੜੀ ਤੋਂ ਯਹੋਵਾਹ ਨੂੰ ਘਿਣ ਆਉਂਦੀ ਹੈ, ਪਰੰਤੂ ਪੂਰੇ ਤੋਲ ਤੋਂ ਉਹ ਪਰਸੰਨ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 2] ਹੰਕਾਰ ਦੇ ਨਾਲ ਨਿਰਾਦਰ ਆਉਂਦਾ ਹੈ, ਪਰ ਨਿਮਰਤਾ ਦੇ ਨਾਲ ਬੁੱਧ ਆਉਂਦੀ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 3] ਸਿੱਧਿਆਂ ਦੀ ਖ਼ਰਾਈ ਉਹਨਾਂ ਦੀ ਅਗਵਾਈ ਕਰੇਗੀ, ਪਰ ਕਪਟੀਆਂ ਦੀ ਟੇਢੀ ਚਾਲ ਉਨ੍ਹਾਂ ਦਾ ਨਾਸ ਕਰੇਗੀ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 4] ਕਹਿਰ ਦੇ ਦਿਨ ਧਨ ਤੋਂ ਕੁਝ ਲਾਭ ਨਹੀਂ ਹੁੰਦਾ, ਪਰ ਨੇਕੀ ਦੇ ਕੰਮ ਮੌਤ ਤੋਂ ਬਚਾ ਲੈਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 5] ਖਰੇ ਮਨੁੱਖ ਦਾ ਰਾਹ ਧਾਰਮਿਕਤਾ ਦੇ ਕਾਰਨ ਸਿੱਧਾ ਰਹਿੰਦਾ ਹੈ, ਪਰ ਦੁਸ਼ਟ ਮਨੁੱਖ ਆਪਣੀ ਦੁਸ਼ਟਤਾਈ ਨਾਲ ਹੀ ਡਿੱਗ ਪੈਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 6] ਸਿੱਧਿਆਂ ਦੀ ਸਿਧਿਆਈ ਉਹਨਾਂ ਨੂੰ ਛੁਡਾਉਂਦੀ ਹੈ, ਪਰ ਛਲੀਏ ਆਪਣੀ ਹੀ ਲੋਚ ਵਿੱਚ ਫਸ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 7] ਜਦ ਦੁਸ਼ਟ ਮਰਦਾ ਹੈ, ਤਦ ਉਹ ਦੀ ਆਸ ਵੀ ਮਿਟ ਜਾਂਦੀ ਹੈ, ਅਤੇ ਬੁਰਿਆਰਾਂ ਦੀ ਆਸ ਦਾ ਨਾਸ ਹੋ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 8] ਧਰਮੀ ਬਿਪਤਾ ਤੋਂ ਛੁਡਾਇਆ ਜਾਂਦਾ ਹੈ, ਪਰ ਦੁਸ਼ਟ ਉਸੇ ਵਿੱਚ ਫਸ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 9] ਕੁਧਰਮੀ ਆਪਣੇ ਮੂੰਹ ਨਾਲ ਆਪਣੇ ਗੁਆਂਢੀ ਦਾ ਨਾਸ ਕਰਦਾ ਹੈ, ਪਰ ਧਰਮੀ ਗਿਆਨ ਦੇ ਕਾਰਨ ਛੁਡਾਏ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 10] ਜਦ ਧਰਮੀਆਂ ਨੂੰ ਸੁੱਖ ਹੁੰਦਾ ਹੈ, ਤਦ ਨਗਰ ਦੇ ਲੋਕ ਪ੍ਰਸੰਨ ਹੁੰਦੇ ਹਨ, ਪਰ ਜਦ ਦੁਸ਼ਟਾਂ ਦਾ ਨਾਸ ਹੁੰਦਾ, ਤਾਂ ਜੈਕਾਰੇ ਹੁੰਦੇ ਹਨ!
[IRV | PA | OT | Proverbs | Chapter 11 | Verse 11] ਸਚਿਆਰਾਂ ਦੀਆਂ ਅਸੀਸਾਂ ਨਾਲ ਨਗਰ ਦਾ ਵਾਧਾ ਹੁੰਦਾ ਹੈ, ਪਰ ਦੁਸ਼ਟਾਂ ਦੇ ਬੋਲਾਂ ਨਾਲ ਉਹ ਢਹਿ ਜਾਂਦਾ ਹੈ।
